"ple0016","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","17-34","(noch) kein Abschluss","","","",""
"Ja","2009","17-34","Hauptschule","1","","",""
"Ja","2009","17-34","Realschule","2","","",""
"Ja","2009","17-34","(Fach-)Abitur","1","","",""
"Ja","2009","17-34","AkademikerIn","","","",""
"Ja","2009","35-65","(noch) kein Abschluss","2","","",""
"Ja","2009","35-65","Hauptschule","45","0.0154435738359996","0.0110951351896085","0.0197920124823907"
"Ja","2009","35-65","Realschule","28","","",""
"Ja","2009","35-65","(Fach-)Abitur","9","","",""
"Ja","2009","35-65","AkademikerIn","14","","",""
"Ja","2009","66 +","(noch) kein Abschluss","3","","",""
"Ja","2009","66 +","Hauptschule","125","0.050320250584277","0.0417373504710348","0.0589031506975192"
"Ja","2009","66 +","Realschule","22","","",""
"Ja","2009","66 +","(Fach-)Abitur","6","","",""
"Ja","2009","66 +","AkademikerIn","27","","",""
"Nein","2009","17-34","(noch) kein Abschluss","338","1","1","1"
"Nein","2009","17-34","Hauptschule","630","0.999631160424335","0.998132952599462","1.00112936824921"
"Nein","2009","17-34","Realschule","1117","0.997719599160957","0.994924849606425","1.00051434871549"
"Nein","2009","17-34","(Fach-)Abitur","919","0.999172139793001","0.997313681414518","1.00103059817148"
"Nein","2009","17-34","AkademikerIn","536","1","1","1"
"Nein","2009","35-65","(noch) kein Abschluss","90","0.968561813699756","0.932904666796136","1.00421896060338"
"Nein","2009","35-65","Hauptschule","3044","0.984556426164","0.980207987517609","0.988904864810392"
"Nein","2009","35-65","Realschule","3107","0.99000032399107","0.986517432443736","0.993483215538404"
"Nein","2009","35-65","(Fach-)Abitur","907","0.985634674502209","0.977928903894361","0.993340445110057"
"Nein","2009","35-65","AkademikerIn","2604","0.99270232258976","0.989441965867137","0.995962679312382"
"Nein","2009","66 +","(noch) kein Abschluss","51","0.900012953288446","0.820002365378147","0.980023541198746"
"Nein","2009","66 +","Hauptschule","2367","0.949679749415723","0.941096849302481","0.958262649528965"
"Nein","2009","66 +","Realschule","536","0.955176694862011","0.938008493876613","0.97234489584741"
"Nein","2009","66 +","(Fach-)Abitur","162","0.966881122201015","0.939821744978321","0.993940499423709"
"Nein","2009","66 +","AkademikerIn","854","0.963482218840589","0.951096130313473","0.975868307367706"
"Ja","2010","17-34","(noch) kein Abschluss","","","",""
"Ja","2010","17-34","Hauptschule","","","",""
"Ja","2010","17-34","Realschule","","","",""
"Ja","2010","17-34","(Fach-)Abitur","","","",""
"Ja","2010","17-34","AkademikerIn","","","",""
"Ja","2010","35-65","(noch) kein Abschluss","","","",""
"Ja","2010","35-65","Hauptschule","","","",""
"Ja","2010","35-65","Realschule","","","",""
"Ja","2010","35-65","(Fach-)Abitur","","","",""
"Ja","2010","35-65","AkademikerIn","","","",""
"Ja","2010","66 +","(noch) kein Abschluss","","","",""
"Ja","2010","66 +","Hauptschule","","","",""
"Ja","2010","66 +","Realschule","","","",""
"Ja","2010","66 +","(Fach-)Abitur","","","",""
"Ja","2010","66 +","AkademikerIn","","","",""
"Nein","2010","17-34","(noch) kein Abschluss","","","",""
"Nein","2010","17-34","Hauptschule","","","",""
"Nein","2010","17-34","Realschule","","","",""
"Nein","2010","17-34","(Fach-)Abitur","","","",""
"Nein","2010","17-34","AkademikerIn","","","",""
"Nein","2010","35-65","(noch) kein Abschluss","","","",""
"Nein","2010","35-65","Hauptschule","","","",""
"Nein","2010","35-65","Realschule","","","",""
"Nein","2010","35-65","(Fach-)Abitur","","","",""
"Nein","2010","35-65","AkademikerIn","","","",""
"Nein","2010","66 +","(noch) kein Abschluss","","","",""
"Nein","2010","66 +","Hauptschule","","","",""
"Nein","2010","66 +","Realschule","","","",""
"Nein","2010","66 +","(Fach-)Abitur","","","",""
"Nein","2010","66 +","AkademikerIn","","","",""
"Ja","2011","17-34","(noch) kein Abschluss","","","",""
"Ja","2011","17-34","Hauptschule","1","","",""
"Ja","2011","17-34","Realschule","1","","",""
"Ja","2011","17-34","(Fach-)Abitur","","","",""
"Ja","2011","17-34","AkademikerIn","","","",""
"Ja","2011","35-65","(noch) kein Abschluss","5","","",""
"Ja","2011","35-65","Hauptschule","73","0.0225969700409701","0.0177130549622719","0.0274808851196682"
"Ja","2011","35-65","Realschule","50","0.0141177981347595","0.0102730328360244","0.0179625634334945"
"Ja","2011","35-65","(Fach-)Abitur","7","","",""
