"plh0194","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Stimme voll zu","2003","(noch) kein Abschluss","392","0.4506027131918","0.417859112347889","0.483346314035711",""
"Stimme voll zu","2003","Hauptschule","4340","0.515003334239049","0.50431821271113","0.525688455766967",""
"Stimme voll zu","2003","Realschule","2613","0.454797107820909","0.441948735679608","0.46764547996221",""
"Stimme voll zu","2003","(Fach-)Abitur","884","0.378595700213683","0.359194572406431","0.397996828020934",""
"Stimme voll zu","2003","AkademikerIn","1413","0.35040159487009","0.336209101167571","0.364594088572608",""
"Stimme eher zu","2003","(noch) kein Abschluss","382","0.424352005723627","0.391826211609689","0.456877799837565",""
"Stimme eher zu","2003","Hauptschule","3287","0.386408380589578","0.375997965475514","0.396818795703643",""
"Stimme eher zu","2003","Realschule","2590","0.445165335057744","0.432341951065977","0.457988719049511",""
"Stimme eher zu","2003","(Fach-)Abitur","1162","0.472125408567314","0.452156879400682","0.492093937733945",""
"Stimme eher zu","2003","AkademikerIn","2125","0.470588693749758","0.455740605215294","0.485436782284222",""
"Lehne eher ab","2003","(noch) kein Abschluss","103","0.113760316911995","0.0928646000956039","0.134656033728386",""
"Lehne eher ab","2003","Hauptschule","659","0.0834159747972607","0.0775042279868976","0.0893277216076238",""
"Lehne eher ab","2003","Realschule","478","0.0838065241636089","0.0766567438735298","0.090956304453688",""
"Lehne eher ab","2003","(Fach-)Abitur","307","0.130996221409546","0.117500620473525","0.144491822345568",""
"Lehne eher ab","2003","AkademikerIn","700","0.151651721475031","0.140981732717276","0.162321710232786",""
"Lehne voll ab","2003","(noch) kein Abschluss","10","","","",""
"Lehne voll ab","2003","Hauptschule","118","0.015172310374112","0.012558879281396","0.017785741466828",""
"Lehne voll ab","2003","Realschule","89","0.016231032957738","0.0129705658481419","0.0194915000673341",""
"Lehne voll ab","2003","(Fach-)Abitur","48","0.018282669809457","0.012923900669063","0.0236414389498511",""
"Lehne voll ab","2003","AkademikerIn","103","0.0273579899051215","0.0225054199787147","0.0322105598315283",""
"Stimme voll zu","2004","(noch) kein Abschluss","","","","",""
"Stimme voll zu","2004","Hauptschule","","","","",""
"Stimme voll zu","2004","Realschule","","","","",""
"Stimme voll zu","2004","(Fach-)Abitur","","","","",""
"Stimme voll zu","2004","AkademikerIn","","","","",""
"Stimme eher zu","2004","(noch) kein Abschluss","","","","",""
"Stimme eher zu","2004","Hauptschule","","","","",""
"Stimme eher zu","2004","Realschule","","","","",""
"Stimme eher zu","2004","(Fach-)Abitur","","","","",""
"Stimme eher zu","2004","AkademikerIn","","","","",""
"Lehne eher ab","2004","(noch) kein Abschluss","","","","",""
"Lehne eher ab","2004","Hauptschule","","","","",""
"Lehne eher ab","2004","Realschule","","","","",""
"Lehne eher ab","2004","(Fach-)Abitur","","","","",""
"Lehne eher ab","2004","AkademikerIn","","","","",""
"Lehne voll ab","2004","(noch) kein Abschluss","","","","",""
"Lehne voll ab","2004","Hauptschule","","","","",""
"Lehne voll ab","2004","Realschule","","","","",""
