"m11104","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","kein Migrationshintergrund","maennlich","2236","","",""
"Fast nie oder nie","1984","kein Migrationshintergrund","weiblich","2924","","",""
"Fast nie oder nie","1984","direkter Migrationshintergrund","maennlich","1132","","",""
"Fast nie oder nie","1984","direkter Migrationshintergrund","weiblich","1303","","",""
"Fast nie oder nie","1984","indirekter Migrationshintergrund","maennlich","17","","",""
"Fast nie oder nie","1984","indirekter Migrationshintergrund","weiblich","42","0.715421382449621","0.60487610481598","0.825966660083261"
"Fast nie oder nie","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1984","kein Migrationshintergrund","maennlich","846","0.201372883926218","0.189032800153384","0.213712967699052"
"Mehrmals im Jahr","1984","kein Migrationshintergrund","weiblich","796","0.160524777229659","0.149756134287955","0.171293420171364"
"Mehrmals im Jahr","1984","direkter Migrationshintergrund","maennlich","356","0.189962785024945","0.171641532403415","0.208284037646474"
"Mehrmals im Jahr","1984","direkter Migrationshintergrund","weiblich","186","","",""
"Mehrmals im Jahr","1984","indirekter Migrationshintergrund","maennlich","13","","",""
"Mehrmals im Jahr","1984","indirekter Migrationshintergrund","weiblich","11","","",""
"Mehrmals im Jahr","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1984","kein Migrationshintergrund","maennlich","975","0.22811812147741","0.215205901893467","0.241030341061352"
"Mindestens einmal im Monat","1984","kein Migrationshintergrund","weiblich","744","0.160211844550575","0.149451698137136","0.170971990964015"
"Mindestens einmal im Monat","1984","direkter Migrationshintergrund","maennlich","273","","",""
"Mindestens einmal im Monat","1984","direkter Migrationshintergrund","weiblich","76","0.085642887076553","0.0717786973303993","0.0995070768227068"
"Mindestens einmal im Monat","1984","indirekter Migrationshintergrund","maennlich","31","0.413893913341721","0.290294670826706","0.537493155856737"
"Mindestens einmal im Monat","1984","indirekter Migrationshintergrund","weiblich","11","","",""
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1984","kein Migrationshintergrund","maennlich","","","",""
