"m11104","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","Schleswig-Holstein","maennlich","96","0.513983413442156","0.442728094797188","0.585238732087125"
"Fast nie oder nie","1984","Schleswig-Holstein","weiblich","124","0.647352344483813","0.580462387233485","0.714242301734141"
"Fast nie oder nie","1984","Hamburg","maennlich","89","0.615043340051813","0.536384379606369","0.693702300497257"
"Fast nie oder nie","1984","Hamburg","weiblich","102","0.624896454354293","0.548922381875048","0.700870526833538"
"Fast nie oder nie","1984","Niedersachsen","maennlich","334","0.57858490673701","0.538842026546068","0.618327786927952"
"Fast nie oder nie","1984","Niedersachsen","weiblich","413","0.669735063198589","0.63256500118924","0.706905125207938"
"Fast nie oder nie","1984","Bremen","maennlich","46","0.7411849600675","0.633032632523773","0.849337287611228"
"Fast nie oder nie","1984","Bremen","weiblich","52","0.734694905235131","0.629760007459145","0.839629803011117"
"Fast nie oder nie","1984","Nordrhein-Westfalen","maennlich","905","0.572262156016425","0.547913059513877","0.596611252518974"
"Fast nie oder nie","1984","Nordrhein-Westfalen","weiblich","1149","0.698618833364188","0.676267529331311","0.720970137397065"
"Fast nie oder nie","1984","Hessen","maennlich","363","0.587453337097102","0.548765350787122","0.626141323407082"
"Fast nie oder nie","1984","Hessen","weiblich","429","0.689053442763413","0.652500102869515","0.725606782657312"
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","maennlich","243","0.605569570279991","0.55849187985237","0.652647260707613"
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","weiblich","316","0.730516996345723","0.688725781606699","0.772308211084747"
"Fast nie oder nie","1984","Baden-Wuerttemberg","maennlich","692","0.622977018995969","0.594389038382256","0.651564999609682"
"Fast nie oder nie","1984","Baden-Wuerttemberg","weiblich","821","0.704987267496475","0.678170768496531","0.731803766496419"
"Fast nie oder nie","1984","Bayern","maennlich","521","0.544385125343319","0.513011660478029","0.575758590208609"
"Fast nie oder nie","1984","Bayern","weiblich","719","0.665836128842591","0.637586237571199","0.694086020113983"
"Fast nie oder nie","1984","Saarland","maennlich","","","",""
"Fast nie oder nie","1984","Saarland","weiblich","","","",""
"Fast nie oder nie","1984","Berlin","maennlich","96","0.51824904118708","0.447755393447323","0.588742688926838"
