"m11104","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","kein Migrationshintergrund","5160","0.628450884880674","0.61819090297017","0.638710866791178"
"Fast nie oder nie","1984","direkter Migrationshintergrund","2435","","",""
"Fast nie oder nie","1984","indirekter Migrationshintergrund","59","0.570911825179346","0.484145565394856","0.657678084963835"
"Fast nie oder nie","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","kein Migrationshintergrund","1642","","",""
"Mehrmals im Jahr","1984","direkter Migrationshintergrund","542","0.160962651945648","0.148473292224895","0.173452011666401"
"Mehrmals im Jahr","1984","indirekter Migrationshintergrund","24","","",""
"Mehrmals im Jahr","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","kein Migrationshintergrund","1719","","",""
"Mindestens einmal im Monat","1984","direkter Migrationshintergrund","349","0.120413650214953","0.1093534224653","0.131473877964606"
"Mindestens einmal im Monat","1984","indirekter Migrationshintergrund","42","0.265346604071009","0.187946579834094","0.342746628307924"
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","kein Migrationshintergrund","4322","0.575714212430101","0.564797027101781","0.58663139775842"
"Fast nie oder nie","1985","direkter Migrationshintergrund","2083","","",""
"Fast nie oder nie","1985","indirekter Migrationshintergrund","52","0.437332588557792","0.354267294085424","0.52039788303016"
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","kein Migrationshintergrund","1104","","",""
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","300","0.104649440748569","0.0934661991657675","0.115832682331371"
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","27","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","420","0.0493579954244162","0.044573179641557","0.0541428112072753"
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","110","","",""
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","10","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","2027","","",""
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","385","0.173462200526598","0.15962856013862","0.187295840914575"
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","48","0.331073499558527","0.252271140677623","0.409875858439431"
