"pli0093_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","Westdeutschland","27","","",""
"Taeglich","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1990","Hauptschule","Westdeutschland","91","0.0154882330591358","0.0121684641772121","0.0188080019410595"
"Taeglich","1990","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1990","Realschule","Westdeutschland","58","0.0369552439920787","0.0277630304506346","0.0461474575335228"
"Taeglich","1990","Realschule","Ostdeutschland","","","",""
"Taeglich","1990","(Fach-)Abitur","Westdeutschland","29","","",""
"Taeglich","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1990","AkademikerIn","Westdeutschland","42","0.0613670410529125","0.0434981761526956","0.0792359059531293"
"Taeglich","1990","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Westdeutschland","47","0.0985143271744621","0.0782647695428063","0.118763884806118"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Hauptschule","Westdeutschland","326","0.0657135217976784","0.059052147150437","0.0723748964449199"
"Min 1x pro Woche","1990","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Realschule","Westdeutschland","208","","",""
"Min 1x pro Woche","1990","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Westdeutschland","125","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","AkademikerIn","Westdeutschland","122","","",""
"Min 1x pro Woche","1990","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Westdeutschland","32","0.0534070866113327","0.0381290517704496","0.0686851214522159"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Hauptschule","Westdeutschland","454","0.0880147650673299","0.0803980426731405","0.0956314874615192"
"Min 1x pro Monat","1990","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Realschule","Westdeutschland","285","","",""
"Min 1x pro Monat","1990","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Westdeutschland","131","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","AkademikerIn","Westdeutschland","134","","",""
"Min 1x pro Monat","1990","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1990","(noch) kein Abschluss","Westdeutschland","138","","",""
"Seltener","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1990","Hauptschule","Westdeutschland","1378","","",""
"Seltener","1990","Hauptschule","Ostdeutschland","","","",""
"Seltener","1990","Realschule","Westdeutschland","546","0.340047362873397","0.316964752426561","0.363129973320233"
"Seltener","1990","Realschule","Ostdeutschland","","","",""
"Seltener","1990","(Fach-)Abitur","Westdeutschland","215","","",""
"Seltener","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1990","AkademikerIn","Westdeutschland","237","","",""
"Seltener","1990","AkademikerIn","Ostdeutschland","","","",""
"Nie","1990","(noch) kein Abschluss","Westdeutschland","588","0.5647361752381","0.53104737699653","0.59842497347967"
"Nie","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1990","Hauptschule","Westdeutschland","3066","0.558495018819471","0.545145244851706","0.571844792787236"
"Nie","1990","Hauptschule","Ostdeutschland","","","",""
"Nie","1990","Realschule","Westdeutschland","521","0.327769694086716","0.304897792475598","0.350641595697834"
"Nie","1990","Realschule","Ostdeutschland","","","",""
"Nie","1990","(Fach-)Abitur","Westdeutschland","244","","",""
"Nie","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1990","AkademikerIn","Westdeutschland","158","","",""
"Nie","1990","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1991","Hauptschule","Westdeutschland","","","",""
"Taeglich","1991","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1991","Realschule","Westdeutschland","","","",""
"Taeglich","1991","Realschule","Ostdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1991","Hauptschule","Westdeutschland","","","",""
"Seltener","1991","Hauptschule","Ostdeutschland","","","",""
"Seltener","1991","Realschule","Westdeutschland","","","",""
"Seltener","1991","Realschule","Ostdeutschland","","","",""
"Seltener","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1991","AkademikerIn","Westdeutschland","","","",""
"Seltener","1991","AkademikerIn","Ostdeutschland","","","",""
"Nie","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1991","Hauptschule","Westdeutschland","","","",""
"Nie","1991","Hauptschule","Ostdeutschland","","","",""
"Nie","1991","Realschule","Westdeutschland","","","",""
"Nie","1991","Realschule","Ostdeutschland","","","",""
"Nie","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1991","AkademikerIn","Westdeutschland","","","",""
"Nie","1991","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1992","Hauptschule","Westdeutschland","","","",""
"Taeglich","1992","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1992","Realschule","Westdeutschland","","","",""
"Taeglich","1992","Realschule","Ostdeutschland","","","",""
"Taeglich","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1992","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1992","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1992","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1992","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1992","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1992","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1992","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1992","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1992","Hauptschule","Westdeutschland","","","",""
"Seltener","1992","Hauptschule","Ostdeutschland","","","",""
"Seltener","1992","Realschule","Westdeutschland","","","",""
"Seltener","1992","Realschule","Ostdeutschland","","","",""
"Seltener","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1992","AkademikerIn","Westdeutschland","","","",""
"Seltener","1992","AkademikerIn","Ostdeutschland","","","",""
"Nie","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1992","Hauptschule","Westdeutschland","","","",""
"Nie","1992","Hauptschule","Ostdeutschland","","","",""
"Nie","1992","Realschule","Westdeutschland","","","",""
"Nie","1992","Realschule","Ostdeutschland","","","",""
"Nie","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1992","AkademikerIn","Westdeutschland","","","",""
"Nie","1992","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1993","Hauptschule","Westdeutschland","","","",""
"Taeglich","1993","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1993","Realschule","Westdeutschland","","","",""
"Taeglich","1993","Realschule","Ostdeutschland","","","",""
"Taeglich","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1993","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1993","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1993","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1993","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1993","Hauptschule","Westdeutschland","","","",""
"Seltener","1993","Hauptschule","Ostdeutschland","","","",""
"Seltener","1993","Realschule","Westdeutschland","","","",""
"Seltener","1993","Realschule","Ostdeutschland","","","",""
"Seltener","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1993","AkademikerIn","Westdeutschland","","","",""
"Seltener","1993","AkademikerIn","Ostdeutschland","","","",""
"Nie","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1993","Hauptschule","Westdeutschland","","","",""
"Nie","1993","Hauptschule","Ostdeutschland","","","",""
"Nie","1993","Realschule","Westdeutschland","","","",""
"Nie","1993","Realschule","Ostdeutschland","","","",""
"Nie","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1993","AkademikerIn","Westdeutschland","","","",""
"Nie","1993","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1994","Hauptschule","Westdeutschland","","","",""
"Taeglich","1994","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1994","Realschule","Westdeutschland","","","",""
"Taeglich","1994","Realschule","Ostdeutschland","","","",""
