"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","62.71","55","59","30","50","80","100","100","56.4","69.02","10","100","50","75"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","75.11","75","70","40","50","100","100","100","69.29","80.93","22","100","50","80"
"1984","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Westdeutschland","62.74","55","70","30","50","80","100","100","56.68","68.8","15","100","50","70"
"1984","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Hauptschule","Westdeutschland","63.3","57.5","787","30","50","80","100","100","61.7","64.9","10","100","60","60"
"1984","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","63.66","55","51","30","50","80","100","100","56.91","70.41","15","100","50","70"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","80.27","90","62","50","50","100","100","100","73.71","86.83","20","100","50","80"
"1985","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1985","AkademikerIn","Westdeutschland","60.42","55","62","30","40","80","100","100","54","66.84","10","100","50","70"
"1985","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Hauptschule","Westdeutschland","64.1","57.5","677","30","50","80","100","100","62.4","65.8","10","100","60","60"
"1985","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"1986","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1986","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"1986","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"1986","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Westdeutschland","64.07","55","51","30","40","90","100","100","57.28","70.86","30","100","50","80"
"1987","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Westdeutschland","77.04","75","65","40","60","100","100","100","70.53","83.55","10","100","50","80"
"1987","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1987","AkademikerIn","Westdeutschland","62.21","55","57","30","50","80","100","100","55.73","68.69","10","100","50","70"
"1987","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Hauptschule","Westdeutschland","63.56","57.5","627","30","50","80","100","100","61.82","65.3","15","100","60","60"
"1987","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","Westdeutschland","61.33","55","57","30","40","80","100","100","54.73","67.93","20","100","50","70"
"1988","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(noch) kein Abschluss","Westdeutschland","74.38","75","68","40","50","100","100","100","68.08","80.68","20","100","50","70"
"1988","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1988","AkademikerIn","Westdeutschland","64","55","53","35","50","80","100","100","57.68","70.32","30","100","50","80"
"1988","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Hauptschule","Westdeutschland","65.63","57.5","690","40","50","80","100","100","63.92","67.34","10","100","60","60"
"1988","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","Westdeutschland","64.88","55","49","30","50","90","100","100","57.85","71.91","20","100","50","80"
"1989","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(noch) kein Abschluss","Westdeutschland","70.56","67.5","73","30","50","100","100","100","64.81","76.31","20","100","50","70"
"1989","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1989","AkademikerIn","Westdeutschland","64.04","55","56","30","50","90","100","100","57.45","70.63","20","100","50","70"
"1989","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Hauptschule","Westdeutschland","63.58","57.5","675","30","50","80","100","100","61.85","65.31","10","100","60","60"
"1989","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"1990","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1990","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"1990","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"1990","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","Westdeutschland","63.11","55","57","30","50","80","100","100","56.84","69.38","20","100","50","80"
"1991","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1991","(noch) kein Abschluss","Westdeutschland","68.95","57.5","77","40","50","100","100","100","63.45","74.45","30","100","50","70"
"1991","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1991","AkademikerIn","Westdeutschland","62.69","55","59","30","50","80","100","100","56.43","68.95","20","100","50","70"
"1991","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Hauptschule","Westdeutschland","62.78","57.5","679","30","50","80","100","100","61.05","64.51","20","100","50","60"
"1991","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","Westdeutschland","63.08","55","53","30","40","80","100","100","55.85","70.31","10","100","50","80"
"1992","(noch) kein Abschluss","Ostdeutschland","79.96","65","4","30","30","100","100","100","24.27","135.65","30","100","",""
"1992","(noch) kein Abschluss","Westdeutschland","67.18","55","75","30","40","100","100","100","61.52","72.84","20","100","50","60"
"1992","AkademikerIn","Ostdeutschland","56.02","45","54","25","50","70","80","100","50.23","61.81","20","100","50","66"
"1992","AkademikerIn","Westdeutschland","63.63","55","60","30","50","80","100","100","57.09","70.17","20","100","50","70"
"1992","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1992","Hauptschule","Westdeutschland","62.96","55","701","30","50","80","100","100","61.24","64.68","10","100","50","60"
"1992","Realschule","Ostdeutschland","54.16","45","45","30","40","60","90","100","48.05","60.27","20","100","50","60"
"1992","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1993","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1993","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"1993","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1993","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"1993","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1993","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"1993","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1993","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"1993","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1993","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1994","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1994","(Fach-)Abitur","Westdeutschland","59.29","45","48","30","35","80","100","100","51.78","66.8","20","100","50","70"
"1994","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1994","(noch) kein Abschluss","Westdeutschland","67.2","65","67","30","50","100","100","100","61.2","73.2","20","100","50","60"
"1994","AkademikerIn","Ostdeutschland","57.03","45","55","30","50","70","100","100","50.82","63.24","20","100","50","60"
"1994","AkademikerIn","Westdeutschland","61.81","55","56","30","50","80","100","100","55.09","68.53","20","100","50","70"
"1994","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1994","Hauptschule","Westdeutschland","61.71","57.5","680","30","50","80","100","100","59.98","63.44","10","100","50","60"
"1994","Realschule","Ostdeutschland","54.37","45","49","30","40","60","80","100","48.29","60.45","20","100","50","60"
"1994","Realschule","Westdeutschland","","","","","","","","","","","","","",""
