"year","bildungsniveau","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund","63.03","55","49","30","50","80","100","100","55.78","70.28","10","100","50","80"
"1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","62.04","47.5","53","30","40","80","100","100","55.82","68.26","22","100","50","70"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","AkademikerIn","direkter Migrationshintergrund","61.9","55","7","50","50","70","70","100","43.62","80.18","40","100","",""
"1984","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","AkademikerIn","kein Migrationshintergrund","62.79","55","63","30","50","80","100","100","56.21","69.37","15","100","50","80"
"1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","Hauptschule","direkter Migrationshintergrund","53.47","45","73","30","40","70","80","100","48.68","58.26","20","100","50","60"
"1984","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","Hauptschule","kein Migrationshintergrund","63.82","57.5","711","30","50","80","100","100","62.14","65.5","10","100","60","60"
"1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","Realschule","direkter Migrationshintergrund","59.31","45","8","40","50","60","100","100","43.83","74.79","40","100","",""
"1984","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","direkter Migrationshintergrund","48.43","45","8","30","40","60","60","80","34.3","62.56","30","80","",""
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund","64.21","55","43","30","50","90","100","100","56.59","71.83","15","100","50","80"
"1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","60.54","46.5","40","40","50","80","100","100","52.88","68.2","20","100","50","70"
