year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,63,76.2080815427286,73.12005370658012,79.29610937887709,50.0,80.33609483184203,100.0,22.0,100.0,80.0,60.0,100.0
1984,Lower Secondary Level,294,65.47122297504865,64.22416822437827,66.71827772571902,50.0,70.0,80.0,10.0,100.0,70.0,70.0,80.0
1984,Upper Secondary Level,577,61.52471526869301,60.64509328018299,62.404337257203025,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1984,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,First Stage of Tertiary Education,87,60.14680847083184,57.96097274996445,62.33264419169924,50.0,60.0,80.0,20.0,100.0,60.0,60.0,70.0
1984,Second Stage of Tertiary Education,70,62.73646365566371,59.96477175960223,65.5081555517252,50.0,60.0,80.0,15.0,100.0,60.0,50.0,70.0
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,56,82.94847901047032,80.16370429121902,85.73325372972162,60.0,100.0,100.0,20.0,100.0,100.0,100.0,120.25
1985,Lower Secondary Level,243,65.3441703524857,63.98454081962427,66.70379988534714,50.0,70.0,80.0,10.0,100.0,70.0,70.0,80.0
1985,Upper Secondary Level,507,62.41829585426363,61.49613246330296,63.3404592452243,50.0,60.0,80.0,15.0,100.0,60.0,60.0,60.0
1985,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,First Stage of Tertiary Education,88,59.064047042994595,56.87017574731832,61.25791833867087,47.13513315175391,60.0,80.0,15.0,100.0,60.0,60.0,70.0
1985,Second Stage of Tertiary Education,62,60.423028021741246,57.445462977258174,63.40059306622432,40.0,60.0,80.0,10.0,100.0,60.0,50.0,70.0
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,,,,,,,,,,,,
1986,Lower Secondary Level,,,,,,,,,,,,
1986,Upper Secondary Level,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,First Stage of Tertiary Education,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,60,80.60295613918453,77.92715004886267,83.27876222950638,60.0,91.26266996476134,100.0,10.0,100.0,90.0,80.0,110.0
1987,Lower Secondary Level,223,66.38436993648205,64.9257878271512,67.8429520458129,50.0,70.0,80.0,20.0,100.0,70.0,70.0,80.0
1987,Upper Secondary Level,482,61.957076187688074,61.03684116056337,62.87731121481278,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1987,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1987,First Stage of Tertiary Education,78,56.9282458239634,54.59523573254194,59.261255915384865,40.0,60.0,70.0,10.0,100.0,60.0,60.0,70.0
1987,Second Stage of Tertiary Education,57,62.20799298519964,59.24315740730097,65.1728285630983,50.0,60.0,80.0,10.0,100.0,60.0,50.0,70.0
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,63,78.3554907040553,75.37575823731272,81.33522317079787,60.0,90.0,100.0,20.0,100.0,90.0,80.0,120.0
1988,Lower Secondary Level,244,66.51780629298925,65.09089434601472,67.94471823996378,50.0,66.48151232673584,90.0,20.0,100.0,70.0,70.0,80.0
1988,Upper Secondary Level,524,63.86811138885114,62.95947419976044,64.77674857794183,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1988,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1988,First Stage of Tertiary Education,71,63.236870293446614,60.75047611600691,65.72326447088632,50.0,60.0,80.0,20.0,100.0,60.0,50.0,70.0
1988,Second Stage of Tertiary Education,53,63.99701570942737,61.12152132002899,66.87251009882576,50.0,60.0,80.0,30.0,100.0,60.0,50.0,70.0
1989,Pre-primary Level,,,,,,,,,,,,
1989,Primary Level,69,72.6487583717494,69.76809738402305,75.52941935947574,50.0,70.0,100.0,20.0,100.0,70.0,40.0,80.0
1989,Lower Secondary Level,234,66.84694593771079,65.49585814491535,68.19803373050622,50.0,69.83731738351672,80.0,20.0,100.0,70.0,70.0,80.0
1989,Upper Secondary Level,516,60.97285674807044,60.056054063356775,61.88965943278411,50.0,60.0,80.0,10.0,100.0,60.0,60.0,70.0
1989,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1989,First Stage of Tertiary Education,68,62.23711723569105,59.72751961206274,64.74671485931937,50.0,60.0,80.0,20.0,100.0,60.0,50.0,70.0
1989,Second Stage of Tertiary Education,56,64.03675531667439,60.975212430798315,67.09829820255047,50.0,60.0,89.3198760821978,20.0,100.0,60.0,50.0,70.0
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,,,,,,,,,,,,
1990,Lower Secondary Level,,,,,,,,,,,,
1990,Upper Secondary Level,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1990,First Stage of Tertiary Education,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,,,,,,,,,,,,
1991,Pre-primary Level,,,,,,,,,,,,
1991,Primary Level,69,71.17182945445383,68.30641561494025,74.0372432939674,50.0,70.0,100.0,30.0,100.0,70.0,40.0,80.25
1991,Lower Secondary Level,238,65.29367372616935,63.88030669824297,66.70704075409571,50.0,60.0,80.0,20.0,100.0,60.0,50.0,60.0
1991,Upper Secondary Level,523,60.25572798846035,59.35180318096015,61.159652795960554,50.0,60.0,70.0,20.0,100.0,60.0,60.0,70.0
1991,Post-secondary Non-tertiary Level,30,61.80032627261769,58.186172459722165,65.4144800855132,50.0,60.0,80.0,20.0,100.0,60.0,40.0,70.0
1991,First Stage of Tertiary Education,61,64.4681326432432,61.64984536240077,67.28641992408562,50.0,60.0,80.0,20.0,100.0,60.0,50.0,70.0
1991,Second Stage of Tertiary Education,59,62.687853561432085,59.865053565521215,65.51065355734295,50.0,60.0,80.0,20.0,100.0,60.0,50.0,70.0
1992,Pre-primary Level,,,,,,,,,,,,
1992,Primary Level,75,69.23269303482039,66.3327012971719,72.13268477246888,50.0,70.0,100.0,20.0,100.0,70.0,50.0,90.0
1992,Lower Secondary Level,276,65.68416168609939,64.32887641660706,67.03944695559171,50.0,60.0,90.0,15.0,100.0,60.0,50.0,60.0
1992,Upper Secondary Level,685,60.000587385638205,59.178961388303755,60.822213382972656,50.0,60.0,79.8478923116429,10.0,100.0,60.0,60.0,70.0
1992,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1992,First Stage of Tertiary Education,76,63.409799412741414,60.755052988864335,66.06454583661849,50.0,60.0,80.0,10.0,100.0,60.0,50.0,70.0
1992,Second Stage of Tertiary Education,114,61.43825557226667,59.425290304497516,63.45122084003582,50.0,60.0,80.0,20.0,100.0,60.0,53.0,70.0
1993,Pre-primary Level,,,,,,,,,,,,
1993,Primary Level,,,,,,,,,,,,
1993,Lower Secondary Level,,,,,,,,,,,,
1993,Upper Secondary Level,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1993,First Stage of Tertiary Education,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,,,,,,,,,,,,
1994,Pre-primary Level,,,,,,,,,,,,
1994,Primary Level,64,69.21939099105967,66.16732893452397,72.27145304759537,50.0,70.0,100.0,20.0,100.0,70.0,50.0,85.125
1994,Lower Secondary Level,269,64.81582548898986,63.48011858429515,66.15153239368456,50.0,60.0,80.0,20.0,100.0,60.0,50.0,60.0
1994,Upper Secondary Level,658,59.224269714255406,58.38751777264113,60.06102165586968,50.0,50.0,80.0,10.0,100.0,50.0,40.0,50.0
1994,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1994,First Stage of Tertiary Education,80,62.9021128092652,60.37525139012152,65.42897422840888,50.0,52.476035321339126,80.0,20.0,100.0,60.0,50.0,70.0
