year,pgisced97,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,West,,,,,,,,,,,,
1984,Primary Level,West,63,76.2080815427286,73.12005370658012,79.29610937887709,50.0,80.0,100.0,22.0,100.0,80.0,60.0,100.0
1984,Lower Secondary Level,West,294,65.47122297504865,64.22416822437827,66.71827772571902,50.0,70.0,80.0,10.0,100.0,70.0,70.0,80.0
1984,Upper Secondary Level,West,577,61.52471526869301,60.64509328018299,62.404337257203025,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1984,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1984,First Stage of Tertiary Education,West,87,60.14680847083184,57.96097274996445,62.33264419169924,50.0,60.0,80.0,20.0,100.0,60.0,60.0,70.0
1984,Second Stage of Tertiary Education,West,70,62.73646365566372,59.964771759602236,65.5081555517252,50.0,60.0,80.0,15.0,100.0,60.0,50.0,70.0
1985,Pre-primary Level,West,,,,,,,,,,,,
1985,Primary Level,West,56,82.94847901047032,80.16370429121902,85.73325372972162,60.0,100.0,100.0,20.0,100.0,100.0,100.0,120.0
1985,Lower Secondary Level,West,243,65.3441703524857,63.98454081962427,66.70379988534714,50.0,70.0,80.0,10.0,100.0,70.0,70.0,80.0
1985,Upper Secondary Level,West,507,62.418295854263654,61.496132463302985,63.340459245224324,50.0,60.0,80.0,15.0,100.0,60.0,60.0,60.0
1985,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1985,First Stage of Tertiary Education,West,88,59.064047042994595,56.87017574731832,61.25791833867087,46.35315973621688,60.0,80.0,15.0,100.0,60.0,60.0,70.0
1985,Second Stage of Tertiary Education,West,62,60.42302802174123,57.44546297725816,63.4005930662243,40.0,60.0,80.0,10.0,100.0,60.0,50.0,70.0
1986,Pre-primary Level,West,,,,,,,,,,,,
1986,Primary Level,West,,,,,,,,,,,,
1986,Lower Secondary Level,West,,,,,,,,,,,,
1986,Upper Secondary Level,West,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1986,First Stage of Tertiary Education,West,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,West,,,,,,,,,,,,
1987,Pre-primary Level,West,,,,,,,,,,,,
1987,Primary Level,West,60,80.60295613918454,77.92715004886269,83.2787622295064,60.0,90.0,100.0,10.0,100.0,90.0,80.0,110.0
1987,Lower Secondary Level,West,223,66.38436993648203,64.92578782715118,67.84295204581288,50.0,70.0,80.0,20.0,100.0,70.0,70.0,80.0
1987,Upper Secondary Level,West,482,61.957076187688074,61.03684116056337,62.87731121481278,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1987,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1987,First Stage of Tertiary Education,West,78,56.92824582396339,54.59523573254192,59.26125591538485,40.0,60.0,70.0,10.0,100.0,60.0,60.0,70.0
1987,Second Stage of Tertiary Education,West,57,62.20799298519964,59.24315740730097,65.1728285630983,50.0,60.0,80.0,10.0,100.0,60.0,50.0,70.0
1988,Pre-primary Level,West,,,,,,,,,,,,
1988,Primary Level,West,63,78.3554907040553,75.37575823731272,81.33522317079787,60.0,90.0,100.0,20.0,100.0,90.0,80.0,120.0
1988,Lower Secondary Level,West,244,66.51780629298925,65.09089434601472,67.94471823996378,50.0,68.25022542024642,90.0,20.0,100.0,70.0,70.0,80.0
1988,Upper Secondary Level,West,524,63.86811138885114,62.95947419976044,64.77674857794183,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1988,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1988,First Stage of Tertiary Education,West,71,63.236870293446614,60.75047611600691,65.72326447088632,50.0,60.0,80.0,20.0,100.0,60.0,50.0,70.0
1988,Second Stage of Tertiary Education,West,53,63.99701570942739,61.121521320029004,66.87251009882577,50.0,60.0,80.0,30.0,100.0,60.0,50.0,70.0
1989,Pre-primary Level,West,,,,,,,,,,,,
1989,Primary Level,West,69,72.64875837174941,69.76809738402306,75.52941935947575,50.0,70.0,100.0,20.0,100.0,70.0,40.0,80.0
1989,Lower Secondary Level,West,234,66.84694593771079,65.49585814491535,68.19803373050622,50.0,68.83086766360232,80.0,20.0,100.0,70.0,70.0,80.0
1989,Upper Secondary Level,West,516,60.972856748070434,60.05605406335677,61.8896594327841,50.0,60.0,80.0,10.0,100.0,60.0,60.0,70.0
1989,Post-secondary Non-tertiary Level,West,,,,,,,,,,,,
1989,First Stage of Tertiary Education,West,68,62.23711723569105,59.72751961206274,64.74671485931937,50.0,60.0,80.0,20.0,100.0,60.0,50.0,70.0
1989,Second Stage of Tertiary Education,West,56,64.03675531667439,60.975212430798315,67.09829820255047,50.0,60.0,89.333094176532,20.0,100.0,60.0,50.0,70.0
