"hlc0083_h","year","hhtyp","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1-Pers.- Haushalt","Staedtischer Raum","73","0.0639078663528826","0.0485709776436128","0.0792447550621525"
"Ja","1995","1-Pers.- Haushalt","Laendlicher Raum","50","0.124313658965212","0.0915262571655757","0.157101060764848"
"Ja","1995","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","54","0.0177789237383958","0.0125095744925843","0.0230482729842072"
"Ja","1995","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Ja","1995","Alleinerziehende","Staedtischer Raum","149","0.277678640004969","0.240552597911547","0.314804682098391"
"Ja","1995","Alleinerziehende","Laendlicher Raum","79","0.182315695238941","0.137646101523251","0.226985288954632"
"Ja","1995","Paar mit Kind(ern)","Staedtischer Raum","431","0.0602188756071896","0.0542169703740261","0.0662207808403531"
"Ja","1995","Paar mit Kind(ern)","Laendlicher Raum","368","0.0932994602489077","0.083680185260619","0.102918735237196"
"Ja","1995","Sonstige","Staedtischer Raum","45","0.0956003157655817","0.0738642823582119","0.117336349172951"
"Ja","1995","Sonstige","Laendlicher Raum","38","0.12002242658827","0.0880137659802185","0.152031087196321"
"Nein","1995","1-Pers.- Haushalt","Staedtischer Raum","904","0.936092133647117","0.920755244937848","0.951429022356387"
"Nein","1995","1-Pers.- Haushalt","Laendlicher Raum","339","0.875686341034788","0.842898939235152","0.908473742834424"
"Nein","1995","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2362","0.982221076261604","0.976951727015793","0.987490425507416"
"Nein","1995","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1114","0.985096604491237","0.978056826155792","0.992136382826683"
"Nein","1995","Alleinerziehende","Staedtischer Raum","410","0.722321359995031","0.685195317901609","0.759447402088453"
"Nein","1995","Alleinerziehende","Laendlicher Raum","208","0.817684304761059","0.773014711045369","0.862353898476749"
"Nein","1995","Paar mit Kind(ern)","Staedtischer Raum","5604","0.93978112439281","0.933779219159647","0.945783029625974"
"Nein","1995","Paar mit Kind(ern)","Laendlicher Raum","3144","0.906700539751092","0.897081264762803","0.916319814739381"
