year,quintil_oecd,sampreg,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Full-time,0.4496877168632894,16099,0.44200319701011037,0.4573722367164684
1984,1st Quintile,West,Part-time,0.3518390006939625,16099,0.34446216588813805,0.359215835499787
1984,1st Quintile,West,Either,0.1193615544760583,16099,0.1143532851582583,0.1243698237938583
1984,1st Quintile,West,I'm not sure yet,0.0791117279666898,16099,0.07494226109564424,0.08328119483773537
1984,2nd Quintile,West,Full-time,0.4482758620689655,16099,0.44059357926211584,0.4559581448758152
1984,2nd Quintile,West,Part-time,0.3689655172413793,16099,0.36151174605168424,0.3764192884310744
1984,2nd Quintile,West,Either,0.09310344827586207,16099,0.08861477102374453,0.09759212552797962
1984,2nd Quintile,West,I'm not sure yet,0.0896551724137931,16099,0.0852420369285561,0.0940683078990301
1984,3rd Quintile,West,Part-time,0.4111111111111111,16099,0.4035104230589665,0.4187117991632557
1984,3rd Quintile,West,Full-time,0.4,16099,0.39243232901896025,0.4075676709810398
1984,3rd Quintile,West,Either,0.13333333333333333,16099,0.1280822122078743,0.13858445445879236
1984,3rd Quintile,West,I'm not sure yet,0.05555555555555555,16099,0.052017142109031904,0.0590939690020792
1984,4th Quintile,West,Full-time,0.56,16099,0.5523320905987357,0.5676679094012644
1984,4th Quintile,West,Part-time,0.24,16099,0.23340265739113644,0.24659734260886354
1984,4th Quintile,West,Either,0.12,16099,0.11498017496380604,0.12501982503619394
1984,4th Quintile,West,I'm not sure yet,0.08,16099,0.07580921357614548,0.08419078642385452
1984,5th Quintile,West,Either,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,5th Quintile,West,Part-time,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,5th Quintile,West,Full-time,0.2222222222222222,16099,0.21580010646201192,0.2286443379824325
1984,5th Quintile,West,I'm not sure yet,0.1111111111111111,16099,0.10625644791328683,0.11596577430893538
1985,1st Quintile,West,Full-time,0.517304189435337,14443,0.5091545737640939,0.52545380510658
1985,1st Quintile,West,Part-time,0.33788706739526414,14443,0.3301730753646787,0.34560105942584957
1985,1st Quintile,West,Either,0.08561020036429873,14443,0.08104714425767047,0.09017325647092699
1985,1st Quintile,West,I'm not sure yet,0.05919854280510018,14443,0.05534968501605421,0.06304740059414615
1985,2nd Quintile,West,Full-time,0.5141509433962265,14443,0.5059997092951745,0.5223021774972785
1985,2nd Quintile,West,Part-time,0.33490566037735847,14443,0.32720850531850376,0.3426028154362132
1985,2nd Quintile,West,I'm not sure yet,0.09905660377358491,14443,0.09418448535097808,0.10392872219619174
1985,2nd Quintile,West,Either,0.05188679245283019,14443,0.04826948122747778,0.0555041036781826
1985,3rd Quintile,West,Full-time,0.5753424657534246,14443,0.5672810745386976,0.5834038569681517
1985,3rd Quintile,West,Part-time,0.3150684931506849,14443,0.3074922583492266,0.3226447279521432
1985,3rd Quintile,West,Either,0.0684931506849315,14443,0.06437365583612746,0.07261264553373555
1985,3rd Quintile,West,I'm not sure yet,0.0410958904109589,14443,0.03785835779020213,0.044333423031715675
1985,4th Quintile,West,Full-time,0.5862068965517241,14443,0.5781745127522276,0.5942392803512205
