year,plb0240,quintil_oecd,proportion,n,lower_confidence,upper_confidence
1984,Full-time,1st Quintile,0.7807228915662651,16099,0.7743314072771832,0.7871143758553469
1984,Full-time,2nd Quintile,0.1566265060240964,16099,0.1510121593622406,0.16224085268595217
1984,Full-time,3rd Quintile,0.043373493975903614,16099,0.04022690490138264,0.046520083050424585
1984,Full-time,4th Quintile,0.016867469879518072,16099,0.014878227852760337,0.018856711906275806
1984,Full-time,5th Quintile,0.0024096385542168677,16099,0.0016522675137612313,0.003167009594672504
1984,Part-time,1st Quintile,0.7681818181818182,16099,0.7616630973772275,0.7747005389864089
1984,Part-time,2nd Quintile,0.1621212121212121,16099,0.15642787185975543,0.1678145523826688
1984,Part-time,3rd Quintile,0.05606060606060606,16099,0.05250709582290817,0.05961411629830395
1984,Part-time,4th Quintile,0.00909090909090909,16099,0.007624763208645181,0.010557054973173
1984,Part-time,5th Quintile,0.004545454545454545,16099,0.0035063577684438475,0.005584551322465243
1984,Either,1st Quintile,0.7926267281105991,16099,0.7863639450583416,0.7988895111628566
1984,Either,2nd Quintile,0.12442396313364056,16099,0.11932530879806173,0.12952261746921936
1984,Either,3rd Quintile,0.055299539170506916,16099,0.05176880971390727,0.05883026862710656
1984,Either,5th Quintile,0.013824884792626729,16099,0.012021184393623137,0.01562858519163032
1984,Either,4th Quintile,0.013824884792626729,16099,0.012021184393623137,0.01562858519163032
1984,I'm not sure yet,1st Quintile,0.7702702702702703,16099,0.7637721642928891,0.7767683762476515
1984,I'm not sure yet,2nd Quintile,0.17567567567567569,16099,0.1697972437254385,0.18155410762591287
1984,I'm not sure yet,3rd Quintile,0.033783783783783786,16099,0.030992860321354076,0.03657470724621349
1984,I'm not sure yet,4th Quintile,0.013513513513513514,16099,0.011729959231585626,0.015297067795441403
1984,I'm not sure yet,5th Quintile,0.006756756756756757,16099,0.005491281747318472,0.008022231766195043
1985,Full-time,1st Quintile,0.7706919945725916,14443,0.7638358905524932,0.77754809859269
1985,Full-time,2nd Quintile,0.14789687924016282,14443,0.1421072207286438,0.15368653775168184
1985,Full-time,3rd Quintile,0.05698778833107191,14443,0.05320704734527651,0.06076852931686731
1985,Full-time,4th Quintile,0.023066485753052916,14443,0.02061826493381795,0.025514706572287882
1985,Full-time,5th Quintile,0.0013568521031207597,14443,0.000756510023873589,0.0019571941823679304
1985,Part-time,1st Quintile,0.7761506276150628,14443,0.7693526721863894,0.7829485830437363
1985,Part-time,2nd Quintile,0.14853556485355648,14443,0.1427355935062275,0.15433553620088547
1985,Part-time,3rd Quintile,0.04811715481171548,14443,0.04462680395342559,0.051607505670005376
1985,Part-time,4th Quintile,0.01882845188284519,14443,0.016611750739929453,0.021045153025760925
1985,Part-time,5th Quintile,0.008368200836820083,14443,0.00688254355612943,0.009853858117510736
1985,Either,1st Quintile,0.831858407079646,14443,0.8257589714895793,0.8379578426697126
1985,Either,2nd Quintile,0.09734513274336283,14443,0.09251070191459669,0.10217956357212897
1985,Either,3rd Quintile,0.04424778761061947,14443,0.04089392087466829,0.04760165434657065
1985,Either,4th Quintile,0.017699115044247787,14443,0.015548684552324953,0.01984954553617062
1985,Either,5th Quintile,0.008849557522123894,14443,0.0073221394190625,0.010376975625185287
1985,I'm not sure yet,1st Quintile,0.7222222222222222,14443,0.7149173682438924,0.729527076200552
1985,I'm not sure yet,2nd Quintile,0.23333333333333334,14443,0.22643539910552285,0.24023126756114382
1985,I'm not sure yet,3rd Quintile,0.03333333333333333,14443,0.030405778016189596,0.03626088865047707
1985,I'm not sure yet,4th Quintile,0.011111111111111112,14443,0.009401568778046033,0.01282065344417619
1986,Full-time,1st Quintile,0.696078431372549,13742,0.6883881726889756,0.7037686900561224
1986,Full-time,2nd Quintile,0.2030812324929972,13742,0.1963549822337579,0.20980748275223648
1986,Full-time,3rd Quintile,0.056022408963585436,13742,0.052177440063184706,0.05986737786398617
1986,Full-time,4th Quintile,0.04061624649859944,13742,0.03731576599107332,0.04391672700612556
1986,Full-time,5th Quintile,0.004201680672268907,13742,0.0031201762111650352,0.005283185133372779
1986,Part-time,1st Quintile,0.7136659436008677,13742,0.7061078008804383,0.721224086321297
1986,Part-time,2nd Quintile,0.19088937093275488,13742,0.18431845477438402,0.19746028709112573
1986,Part-time,3rd Quintile,0.07158351409978309,13742,0.06727319891588496,0.07589382928368121
1986,Part-time,4th Quintile,0.01735357917570499,13742,0.015170224611459145,0.019536933739950836
1986,Part-time,5th Quintile,0.006507592190889371,13742,0.005163207556010017,0.007851976825768724
1986,Either,1st Quintile,0.7475728155339806,13742,0.7403096505202834,0.7548359805476778
1986,Either,2nd Quintile,0.1650485436893204,13742,0.1588417464133162,0.1712553409653246
1986,Either,3rd Quintile,0.05825242718446602,13742,0.054336312814461774,0.06216854155447027
1986,Either,4th Quintile,0.02912621359223301,13742,0.026314607330208295,0.031937819854257726
1986,I'm not sure yet,1st Quintile,0.7640449438202247,13742,0.7569458127211464,0.771144074919303
1986,I'm not sure yet,2nd Quintile,0.15730337078651685,13742,0.15121591609035123,0.16339082548268247
1986,I'm not sure yet,3rd Quintile,0.056179775280898875,13742,0.052329730882304554,0.060029819679493196
1986,I'm not sure yet,5th Quintile,0.011235955056179775,13742,0.009473644556633269,0.012998265555726281
1986,I'm not sure yet,4th Quintile,0.011235955056179775,13742,0.009473644556633269,0.012998265555726281
1987,Full-time,1st Quintile,0.6586826347305389,13496,0.6506829875001323,0.6666822819609455
1987,Full-time,2nd Quintile,0.22305389221556887,13496,0.2160303873564159,0.23007739707472186
1987,Full-time,3rd Quintile,0.08682634730538923,13496,0.08207566500255958,0.09157702960821887
1987,Full-time,4th Quintile,0.020958083832335328,13496,0.01854134363284412,0.023374824031826537
1987,Full-time,5th Quintile,0.010479041916167664,13496,0.008761027420539148,0.01219705641179618
1987,Part-time,1st Quintile,0.6888888888888889,13496,0.6810782620835906,0.6966995156941872
1987,Part-time,2nd Quintile,0.19595959595959597,13496,0.18926266624753058,0.20265652567166137
1987,Part-time,3rd Quintile,0.07878787878787878,13496,0.07424257345481505,0.08333318412094251
1987,Part-time,4th Quintile,0.030303030303030304,13496,0.02741092177652931,0.0331951388295313
1987,Part-time,5th Quintile,0.006060606060606061,13496,0.0047511482321681816,0.00737006388904394
1987,Either,1st Quintile,0.6484848484848484,13496,0.6404296642480863,0.6565400327216105
1987,Either,2nd Quintile,0.24848484848484848,13496,0.24119409585304327,0.2557756011166537
1987,Either,3rd Quintile,0.06666666666666667,13496,0.06245817670751457,0.07087515662581877
1987,Either,4th Quintile,0.030303030303030304,13496,0.02741092177652931,0.0331951388295313
1987,Either,5th Quintile,0.006060606060606061,13496,0.0047511482321681816,0.00737006388904394
1987,I'm not sure yet,1st Quintile,0.6666666666666666,13496,0.6587133682187889,0.6746199651145444
1987,I'm not sure yet,2nd Quintile,0.21568627450980393,13496,0.20874706981373675,0.2226254792058711
1987,I'm not sure yet,3rd Quintile,0.0784313725490196,13496,0.0738954849389258,0.08296726015911342
1987,I'm not sure yet,4th Quintile,0.029411764705882353,13496,0.026561195498496018,0.03226233391326869
1987,I'm not sure yet,5th Quintile,0.00980392156862745,13496,0.0081416037824397,0.011466239354815201
1988,Full-time,1st Quintile,0.6087613293051359,12817,0.6003122906924836,0.6172103679177883
1988,Full-time,2nd Quintile,0.2688821752265861,12817,0.26120612917212477,0.2765582212810474
1988,Full-time,3rd Quintile,0.09063444108761329,12817,0.08566418506101355,0.09560469711421303
1988,Full-time,4th Quintile,0.0256797583081571,12817,0.02294128061422499,0.02841823600208921
1988,Full-time,5th Quintile,0.006042296072507553,12817,0.004700619513101951,0.0073839726319131545
1988,Part-time,1st Quintile,0.6329113924050633,12817,0.6245665183010718,0.6412562665090549
1988,Part-time,2nd Quintile,0.24050632911392406,12817,0.23310707038380635,0.24790558784404176
1988,Part-time,3rd Quintile,0.09282700421940929,12817,0.08780305659030903,0.09785095184850955
1988,Part-time,4th Quintile,0.029535864978902954,12817,0.0266047863347653,0.03246694362304061
