year,pgisced97,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Full-time,0.74791,125,125,0.67149,0.82434
1984,Primary Level,Full-time,0.60674,102,134,0.52373,0.68976
1984,Primary Level,Part-time,0.15639,32,134,0.09466,0.21812
1984,Lower Secondary Level,Full-time,0.49452,303,602,0.45454,0.53449
1984,Lower Secondary Level,Part-time,0.33974,186,602,0.30187,0.37760
1984,Lower Secondary Level,Either,0.11179,73,602,0.08660,0.13698
1984,Lower Secondary Level,I'm not sure yet,0.05396,40,602,0.03589,0.07202
1984,Upper Secondary Level,Full-time,0.38948,365,885,0.35734,0.42163
1984,Upper Secondary Level,Part-time,0.41811,352,885,0.38559,0.45062
1984,Upper Secondary Level,Either,0.11300,99,885,0.09213,0.13387
1984,Upper Secondary Level,I'm not sure yet,0.07941,69,885,0.06159,0.09723
1984,Post-secondary Non-tertiary Level,Full-time,0.52255,32,32,0.34672,0.69839
1984,First Stage of Tertiary Education,Part-time,0.53716,39,39,0.37862,0.69570
1984,Second Stage of Tertiary Education,Part-time,0.44991,31,31,0.27189,0.62793
1985,Pre-primary Level,Full-time,0.78288,105,105,0.70364,0.86211
1985,Primary Level,Full-time,0.54538,93,130,0.45946,0.63131
1985,Primary Level,Part-time,0.24609,37,130,0.17176,0.32042
1985,Lower Secondary Level,Full-time,0.61953,279,426,0.57337,0.66568
1985,Lower Secondary Level,Part-time,0.24861,114,426,0.20752,0.28970
1985,Lower Secondary Level,Either,0.07742,33,426,0.05201,0.10283
1985,Upper Secondary Level,Full-time,0.46869,303,635,0.42984,0.50753
1985,Upper Secondary Level,Part-time,0.39047,241,635,0.35249,0.42845
1985,Upper Secondary Level,Either,0.08071,49,635,0.05951,0.10191
1985,Upper Secondary Level,I'm not sure yet,0.06013,42,635,0.04163,0.07864
1986,Pre-primary Level,Full-time,0.77338,112,112,0.69550,0.85126
1986,Primary Level,Full-time,0.54437,79,114,0.45254,0.63619
1986,Primary Level,Part-time,0.34593,35,114,0.25822,0.43363
1986,Lower Secondary Level,Full-time,0.61497,266,440,0.56945,0.66049
1986,Lower Secondary Level,Part-time,0.21169,100,440,0.17348,0.24991
1986,Lower Secondary Level,Either,0.09783,35,440,0.07004,0.12562
