year,regtyp,sampreg,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Full-time,0.5475223395613322,14443,0.5394047543034763,0.5556399248191881
1985,Urban regions,West,Part-time,0.30787977254264826,14443,0.3003512680280732,0.3154082770572233
1985,Urban regions,West,Either,0.07554833468724614,14443,0.07123828856011374,0.07985838081437854
1985,Urban regions,West,I'm not sure yet,0.06904955320877336,14443,0.06491459538185179,0.07318451103569493
1985,Rural regions,West,Full-time,0.5701754385964912,14443,0.5621016526204425,0.5782492245725399
1985,Rural regions,West,Part-time,0.2982456140350877,14443,0.2907844435012763,0.3057067845688991
1985,Rural regions,West,Either,0.07894736842105263,14443,0.0745495386120307,0.08334519823007455
1985,Rural regions,West,I'm not sure yet,0.05263157894736842,14443,0.04898982988290219,0.05627332801183465
1986,Urban regions,West,Full-time,0.5523964256701869,13742,0.5440825542778289,0.5607102970625448
1986,Urban regions,West,Part-time,0.30463038180341184,13742,0.2969350816770934,0.31232568192973026
1986,Urban regions,West,I'm not sure yet,0.07392363931762795,13742,0.06954896055163783,0.07829831808361808
1986,Urban regions,West,Either,0.06904955320877336,13742,0.06481044192187735,0.07328866449566937
1986,Rural regions,West,Full-time,0.5610561056105611,13742,0.5527587681823531,0.569353443038769
1986,Rural regions,West,Part-time,0.29372937293729373,13742,0.28611401430080796,0.3013447315737795
1986,Rural regions,West,Either,0.0858085808580858,13742,0.08112567928985867,0.09049148242631294
1986,Rural regions,West,I'm not sure yet,0.0594059405940594,13742,0.05545366561177685,0.06335821557634196
1987,Urban regions,West,Full-time,0.4945054945054945,13496,0.48607025696642114,0.5029407320445679
1987,Urban regions,West,Part-time,0.3194662480376766,13496,0.3115995793120854,0.3273329167632678
1987,Urban regions,West,Either,0.10596546310832025,13496,0.10077252848746619,0.11115839772917431
1987,Urban regions,West,I'm not sure yet,0.08006279434850863,13496,0.07548403308211739,0.08464155561489987
1987,Rural regions,West,Full-time,0.5115511551155115,13496,0.5031176596676771,0.519984650563346
1987,Rural regions,West,Part-time,0.30363036303630364,13496,0.29587242959308657,0.3113882964795207
1987,Rural regions,West,Either,0.1254125412541254,13496,0.11982493694838994,0.13100014555986086
1987,Rural regions,West,I'm not sure yet,0.0594059405940594,13496,0.05541780798453327,0.06339407320358553
1988,Urban regions,West,Full-time,0.49465899753492193,12817,0.48600317976928065,0.5033148153005632
1988,Urban regions,West,Part-time,0.3188167625308135,12817,0.3107487710856366,0.32688475397599037
1988,Urban regions,West,I'm not sure yet,0.0961380443714051,12817,0.09103462127902517,0.10124146746378501
1988,Urban regions,West,Either,0.09038619556285948,12817,0.0854220734753508,0.09535031765036817
1988,Rural regions,West,Full-time,0.5782312925170068,12817,0.5696815929895074,0.5867809920445062
1988,Rural regions,West,Part-time,0.2925170068027211,12817,0.28464117483364404,0.3003928387717981
1988,Rural regions,West,Either,0.1054421768707483,12817,0.1001250837063608,0.1107592700351358
1988,Rural regions,West,I'm not sure yet,0.023809523809523808,12817,0.021170121957118745,0.02644892566192887
1989,Urban regions,West,Full-time,0.48861480075901326,12393,0.4798139383220962,0.49741566319593034
1989,Urban regions,West,Part-time,0.3387096774193548,12393,0.3303771311725088,0.34704222366620086
1989,Urban regions,West,I'm not sure yet,0.10056925996204934,12393,0.09527403595646103,0.10586448396763765
1989,Urban regions,West,Either,0.07210626185958255,12393,0.06755215245930328,0.07666037125986182
1989,Rural regions,West,Full-time,0.5092936802973977,12393,0.5004920562191931,0.5180953043756024
1989,Rural regions,West,Part-time,0.3345724907063197,12393,0.32626512485948855,0.3428798565531509
1989,Rural regions,West,Either,0.09293680297397769,12393,0.08782492493157339,0.09804868101638199
1989,Rural regions,West,I'm not sure yet,0.06319702602230483,12393,0.05891311642322462,0.06748093562138505
1990,Urban regions,East,Full-time,0.42452830188679247,18165,0.41734037452953693,0.431716229244048
1990,Urban regions,East,Part-time,0.3113207547169811,18165,0.304587099042154,0.31805441039180826
1990,Urban regions,East,Either,0.18867924528301888,18165,0.18298944885306573,0.19436904171297203
1990,Urban regions,East,I'm not sure yet,0.07547169811320754,18165,0.0716302892300695,0.07931310699634558
1990,Rural regions,East,Full-time,0.5138888888888888,18165,0.5066204564488213,0.5211573213289564
1990,Rural regions,East,Part-time,0.3148148148148148,18165,0.3080606767635386,0.32156895286609105
1990,Rural regions,East,Either,0.12962962962962962,18165,0.12474487717942453,0.1345143820798347
1990,Rural regions,East,I'm not sure yet,0.041666666666666664,18165,0.03876069720169224,0.044572636131641086
1991,Urban regions,West,Full-time,0.4593406593406593,17756,0.4520105103323636,0.466670808348955
1991,Urban regions,West,Part-time,0.3659340659340659,17756,0.3588488656040042,0.3730192662641276
1991,Urban regions,West,Either,0.09010989010989011,17756,0.08589812439044192,0.0943216558293383
1991,Urban regions,West,I'm not sure yet,0.08461538461538462,17756,0.08052174153722998,0.08870902769353926
1991,Urban regions,East,Full-time,0.5128205128205128,17756,0.5054684248575355,0.52017260078349
1991,Urban regions,East,Part-time,0.2692307692307692,17756,0.26270643838656826,0.27575510007497017
1991,Urban regions,East,Either,0.1794871794871795,17756,0.17384245297265394,0.18513190600170504
1991,Urban regions,East,I'm not sure yet,0.038461538461538464,17756,0.03563288230179829,0.041290194621278635
1991,Rural regions,West,Full-time,0.46502057613168724,17756,0.45768408955141276,0.4723570627119617
1991,Rural regions,West,Part-time,0.35802469135802467,17756,0.35097290485886345,0.3650764778571859
