"plh0196","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Leute sind hilfsbereit","2003","7831","0.359869414760348","0.353503244480671","0.366235585040025"
"Leute verfolgen Eigeninteresse","2003","14004","","",""
"Leute sind hilfsbereit","2004","","","",""
"Leute verfolgen Eigeninteresse","2004","","","",""
"Leute sind hilfsbereit","2005","","","",""
"Leute verfolgen Eigeninteresse","2005","","","",""
"Leute sind hilfsbereit","2006","","","",""
"Leute verfolgen Eigeninteresse","2006","","","",""
"Leute sind hilfsbereit","2007","","","",""
"Leute verfolgen Eigeninteresse","2007","","","",""
"Leute sind hilfsbereit","2008","7216","0.368247912374928","0.361394867154482","0.375100957595373"
"Leute verfolgen Eigeninteresse","2008","11813","","",""
"Leute sind hilfsbereit","2009","","","",""
"Leute verfolgen Eigeninteresse","2009","","","",""
"Leute sind hilfsbereit","2010","","","",""
"Leute verfolgen Eigeninteresse","2010","","","",""
"Leute sind hilfsbereit","2011","","","",""
"Leute verfolgen Eigeninteresse","2011","","","",""
"Leute sind hilfsbereit","2012","","","",""
"Leute verfolgen Eigeninteresse","2012","","","",""
"Leute sind hilfsbereit","2013","10997","","",""
"Leute verfolgen Eigeninteresse","2013","14016","","",""
"Leute sind hilfsbereit","2014","","","",""
"Leute verfolgen Eigeninteresse","2014","","","",""
"Leute sind hilfsbereit","2015","","","",""
"Leute verfolgen Eigeninteresse","2015","","","",""
"Leute sind hilfsbereit","2016","","","",""
"Leute verfolgen Eigeninteresse","2016","","","",""
"Leute sind hilfsbereit","2017","","","",""
"Leute verfolgen Eigeninteresse","2017","","","",""
"Leute sind hilfsbereit","2018","13215","","",""
"Leute verfolgen Eigeninteresse","2018","14889","","",""
