"plh0196","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","342","0.369712588400386","0.337872873159536","0.401552303641237"
"Leute sind hilfsbereit","2003","Hauptschule","3195","0.386296309975362","0.375842200415601","0.396750419535123"
"Leute sind hilfsbereit","2003","Realschule","1762","0.307166423067541","0.295197764212865","0.319135081922217"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","748","0.316842698776582","0.298127693981262","0.335557703571901"
"Leute sind hilfsbereit","2003","AkademikerIn","1690","0.394349506596644","0.379716810043746","0.408982203149542"
"Leute verfolgen Eigeninteresse","2003","(noch) kein Abschluss","541","0.630287411599614","0.598447696358763","0.662127126840464"
"Leute verfolgen Eigeninteresse","2003","Hauptschule","5138","0.613703690024638","0.603249580464877","0.624157799584399"
"Leute verfolgen Eigeninteresse","2003","Realschule","3945","0.692833576932459","0.680864918077783","0.704802235787135"
"Leute verfolgen Eigeninteresse","2003","(Fach-)Abitur","1626","0.683157301223418","0.664442296428099","0.701872306018738"
"Leute verfolgen Eigeninteresse","2003","AkademikerIn","2595","0.605650493403356","0.591017796850458","0.620283189956254"
"Leute sind hilfsbereit","2004","(noch) kein Abschluss","","","",""
"Leute sind hilfsbereit","2004","Hauptschule","","","",""
"Leute sind hilfsbereit","2004","Realschule","","","",""
"Leute sind hilfsbereit","2004","(Fach-)Abitur","","","",""
"Leute sind hilfsbereit","2004","AkademikerIn","","","",""
"Leute verfolgen Eigeninteresse","2004","(noch) kein Abschluss","","","",""
"Leute verfolgen Eigeninteresse","2004","Hauptschule","","","",""
"Leute verfolgen Eigeninteresse","2004","Realschule","","","",""
"Leute verfolgen Eigeninteresse","2004","(Fach-)Abitur","","","",""
"Leute verfolgen Eigeninteresse","2004","AkademikerIn","","","",""
"Leute sind hilfsbereit","2005","(noch) kein Abschluss","","","",""
"Leute sind hilfsbereit","2005","Hauptschule","","","",""
"Leute sind hilfsbereit","2005","Realschule","","","",""
"Leute sind hilfsbereit","2005","(Fach-)Abitur","","","",""
"Leute sind hilfsbereit","2005","AkademikerIn","","","",""
"Leute verfolgen Eigeninteresse","2005","(noch) kein Abschluss","","","",""
"Leute verfolgen Eigeninteresse","2005","Hauptschule","","","",""
"Leute verfolgen Eigeninteresse","2005","Realschule","","","",""
"Leute verfolgen Eigeninteresse","2005","(Fach-)Abitur","","","",""
"Leute verfolgen Eigeninteresse","2005","AkademikerIn","","","",""
"Leute sind hilfsbereit","2006","(noch) kein Abschluss","","","",""
"Leute sind hilfsbereit","2006","Hauptschule","","","",""
"Leute sind hilfsbereit","2006","Realschule","","","",""
"Leute sind hilfsbereit","2006","(Fach-)Abitur","","","",""
"Leute sind hilfsbereit","2006","AkademikerIn","","","",""
"Leute verfolgen Eigeninteresse","2006","(noch) kein Abschluss","","","",""
"Leute verfolgen Eigeninteresse","2006","Hauptschule","","","",""
"Leute verfolgen Eigeninteresse","2006","Realschule","","","",""
"Leute verfolgen Eigeninteresse","2006","(Fach-)Abitur","","","",""
"Leute verfolgen Eigeninteresse","2006","AkademikerIn","","","",""
"Leute sind hilfsbereit","2007","(noch) kein Abschluss","","","",""
"Leute sind hilfsbereit","2007","Hauptschule","","","",""
"Leute sind hilfsbereit","2007","Realschule","","","",""
"Leute sind hilfsbereit","2007","(Fach-)Abitur","","","",""
"Leute sind hilfsbereit","2007","AkademikerIn","","","",""
"Leute verfolgen Eigeninteresse","2007","(noch) kein Abschluss","","","",""
"Leute verfolgen Eigeninteresse","2007","Hauptschule","","","",""
"Leute verfolgen Eigeninteresse","2007","Realschule","","","",""
"Leute verfolgen Eigeninteresse","2007","(Fach-)Abitur","","","",""
"Leute verfolgen Eigeninteresse","2007","AkademikerIn","","","",""
"Leute sind hilfsbereit","2008","(noch) kein Abschluss","205","0.332310478414447","0.292395996350343","0.372224960478552"
"Leute sind hilfsbereit","2008","Hauptschule","2613","0.389446077987401","0.377790006150733","0.401102149824068"
"Leute sind hilfsbereit","2008","Realschule","1717","0.320643857204027","0.307782820822126","0.333504893585927"
"Leute sind hilfsbereit","2008","(Fach-)Abitur","755","0.342060029693479","0.321955820311052","0.362164239075906"
"Leute sind hilfsbereit","2008","AkademikerIn","1761","0.417683875251479","0.402610004022548","0.432757746480411"
"Leute verfolgen Eigeninteresse","2008","(noch) kein Abschluss","330","0.667689521585553","0.627775039521448","0.707604003649657"
"Leute verfolgen Eigeninteresse","2008","Hauptschule","4110","0.610553922012599","0.598897850175932","0.622209993849266"
"Leute verfolgen Eigeninteresse","2008","Realschule","3342","0.679356142795973","0.666495106414073","0.692217179177874"
"Leute verfolgen Eigeninteresse","2008","(Fach-)Abitur","1384","0.657939970306521","0.637835760924094","0.678044179688948"
"Leute verfolgen Eigeninteresse","2008","AkademikerIn","2351","0.58231612474852","0.567242253519589","0.597389995977452"
