year,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Westdeutschland,,,,,,,,,,,,
1985,Westdeutschland,,,,,,,,,,,,
1986,Westdeutschland,,,,,,,,,,,,
1987,Westdeutschland,,,,,,,,,,,,
1988,Westdeutschland,,,,,,,,,,,,
1989,Westdeutschland,,,,,,,,,,,,
1990,Westdeutschland,,,,,,,,,,,,
1990,Ostdeutschland,,,,,,,,,,,,
1991,Westdeutschland,,,,,,,,,,,,
1991,Ostdeutschland,,,,,,,,,,,,
1992,Westdeutschland,,,,,,,,,,,,
1992,Ostdeutschland,,,,,,,,,,,,
1993,Westdeutschland,,,,,,,,,,,,
1993,Ostdeutschland,,,,,,,,,,,,
1994,Westdeutschland,,,,,,,,,,,,
1994,Ostdeutschland,,,,,,,,,,,,
1995,Westdeutschland,,,,,,,,,,,,
1995,Ostdeutschland,,,,,,,,,,,,
1996,Westdeutschland,,,,,,,,,,,,
1996,Ostdeutschland,,,,,,,,,,,,
1997,Westdeutschland,,,,,,,,,,,,
1997,Ostdeutschland,,,,,,,,,,,,
1998,Westdeutschland,,,,,,,,,,,,
1998,Ostdeutschland,,,,,,,,,,,,
1999,Westdeutschland,,,,,,,,,,,,
1999,Ostdeutschland,,,,,,,,,,,,
2000,Westdeutschland,,,,,,,,,,,,
2000,Ostdeutschland,,,,,,,,,,,,
2001,Westdeutschland,,,,,,,,,,,,
2001,Ostdeutschland,,,,,,,,,,,,
2002,Westdeutschland,,,,,,,,,,,,
2002,Ostdeutschland,,,,,,,,,,,,
2003,Westdeutschland,,,,,,,,,,,,
2003,Ostdeutschland,,,,,,,,,,,,
2004,Westdeutschland,,,,,,,,,,,,
2004,Ostdeutschland,,,,,,,,,,,,
2005,Westdeutschland,,,,,,,,,,,,
2005,Ostdeutschland,,,,,,,,,,,,
2006,Westdeutschland,7.599753197975726,7.584242179398617,7.615264216552836,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,16399.0
2006,Ostdeutschland,7.409507133908845,7.381302214847193,7.437712052970498,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5164.0
2007,Westdeutschland,7.585393001368101,7.569459917301883,7.601326085434319,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,15236.0
2007,Ostdeutschland,7.391595838896221,7.362962091393738,7.420229586398703,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,4923.0
2008,Westdeutschland,7.676762142339024,7.660105991187939,7.69341829349011,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,14431.0
2008,Ostdeutschland,7.560401010620761,7.532076301225907,7.588725720015614,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4728.0
2009,Westdeutschland,7.661271091619017,7.644036732732364,7.6785054505056705,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,13393.0
2009,Ostdeutschland,7.538914648094334,7.508798145415364,7.569031150773304,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4494.0
2010,Westdeutschland,7.738567730400203,7.723991248734621,7.753144212065785,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,18381.0
2010,Ostdeutschland,7.490488510382482,7.4623808188572855,7.518596201907679,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5426.0
2011,Westdeutschland,7.8067575603421115,7.793083567450785,7.820431553233438,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,19806.0
2011,Ostdeutschland,7.580902886244188,7.555055092522952,7.606750679965424,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5736.0
2012,Westdeutschland,7.879599818731711,7.866425125679991,7.89277451178343,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,20208.0
2012,Ostdeutschland,7.660900553948304,7.635804372697793,7.685996735198815,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5876.0
2013,Westdeutschland,7.863498276695863,7.850098750357202,7.876897803034525,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,19577.0
2013,Ostdeutschland,7.6255936410529745,7.599021282314338,7.652165999791611,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5648.0
2014,Westdeutschland,7.873916003935662,7.861228433077901,7.886603574793423,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,21245.0
2014,Ostdeutschland,7.676542137668286,7.6515268068404,7.701557468496172,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5523.0
2015,Westdeutschland,7.851827296180987,7.838490159066896,7.865164433295079,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,19564.0
2015,Ostdeutschland,7.572829883276463,7.546059536368657,7.5996002301842696,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5187.0
2016,Westdeutschland,7.877676066552513,7.864380890188879,7.890971242916147,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,18912.0
2016,Ostdeutschland,7.6718817352620405,7.6456462792603626,7.6981171912637185,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4964.0
2017,Westdeutschland,7.8911462558721945,7.878445823534857,7.903846688209532,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,20588.0
2017,Ostdeutschland,7.620402808951722,7.5955948508675375,7.645210767035906,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5532.0
2018,Westdeutschland,7.877543841391013,7.864610684804641,7.890476997977385,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,19868.0
2018,Ostdeutschland,7.640045934750282,7.61515062503266,7.664941244467904,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5422.0
2019,-2,7.286749386972473,7.04561039937143,7.527888374573516,6.0,8.0,9.0,2.0,10.0,8.0,8.0,9.0,73.0
2019,Westdeutschland,7.9053121731804294,7.892292681574358,7.918331664786501,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,19821.0
2019,Ostdeutschland,7.701378013567061,7.676182658924566,7.726573368209556,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5478.0
2020,Westdeutschland,7.787505893098177,7.77432041122066,7.8006913749756945,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,19946.0
2020,Ostdeutschland,7.650749117157716,7.625231856784676,7.676266377530755,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5256.0
2021,Westdeutschland,7.923249151723238,7.908234532975081,7.938263770471394,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,13399.0
2021,Ostdeutschland,7.822962504549533,7.793678698596684,7.852246310502382,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3588.0
