"plb0196_h","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1986","","","",""
"Nein","1986","4304","1","1","1"
"Ja","1987","","","",""
"Nein","1987","","","",""
"Ja","1988","","","",""
"Nein","1988","4010","1","1","1"
"Ja","1989","","","",""
"Nein","1989","3839","1","1","1"
"Ja","1990","","","",""
"Nein","1990","3699","1","1","1"
"Ja","1991","","","",""
"Nein","1991","5647","1","1","1"
"Ja","1992","","","",""
"Nein","1992","5024","1","1","1"
"Ja","1993","","","",""
"Nein","1993","4944","1","1","1"
"Ja","1994","","","",""
"Nein","1994","4588","1","1","1"
"Ja","1995","","","",""
"Nein","1995","4582","1","1","1"
"Ja","1996","","","",""
"Nein","1996","4448","1","1","1"
"Ja","1997","","","",""
"Nein","1997","1425","","",""
"Ja","1998","","","",""
"Nein","1998","1501","","",""
"Ja","1999","","","",""
"Nein","1999","1407","","",""
"Ja","2000","","","",""
"Nein","2000","2511","","",""
"Ja","2001","","","",""
"Nein","2001","","","",""
"Ja","2002","5596","0.69168911199353","0.681524547334233","0.701853676652826"
"Nein","2002","2333","","",""
"Ja","2003","5299","0.696571546594029","0.686205500554146","0.706937592633911"
"Nein","2003","2257","","",""
"Ja","2004","5168","0.70158281199427","0.69107206000632","0.71209356398222"
"Nein","2004","2112","","",""
"Ja","2005","4797","0.700885556956775","0.689960216404093","0.711810897509457"
"Nein","2005","1950","","",""
"Ja","2006","5441","0.720079003941025","0.709884226106204","0.730273781775846"
"Nein","2006","2009","","",""
"Ja","2007","5148","0.742751834825872","0.732469955132081","0.753033714519662"
"Nein","2007","1795","","",""
"Ja","2008","4965","0.724653662622801","0.714055429219016","0.735251896026585"
"Nein","2008","1859","","",""
"Ja","2009","4283","0.709662332979931","0.698212080269345","0.721112585690517"
"Nein","2009","1754","","",""
"Ja","2010","5777","0.681943119676818","0.671960478685613","0.691925760668024"
"Nein","2010","2584","","",""
"Ja","2011","7498","0.741850227655172","0.733325784616152","0.750374670694193"
"Nein","2011","2626","","",""
"Ja","2012","7421","0.717109117675231","0.708428973755824","0.725789261594639"
"Nein","2012","2922","","",""
"Ja","2013","7967","0.725091350781084","0.716741890689985","0.733440810872182"
"Nein","2013","3017","0.274908649218916","0.266559189127817","0.283258109310015"
"Ja","2014","7175","0.72870553509774","0.719975702008702","0.737435368186777"
"Nein","2014","2790","","",""
"Ja","2015","7256","0.763340697832169","0.754793374247944","0.771888021416394"
"Nein","2015","2243","","",""
"Ja","2016","6876","0.763126675846527","0.754355520128125","0.771897831564929"
"Nein","2016","2150","","",""
"Ja","2017","7388","0.762727960517793","0.754277347226954","0.771178573808632"
"Nein","2017","2347","","",""
"Ja","2018","7464","0.752570508812163","0.744178936998371","0.760962080625954"
"Nein","2018","2694","","",""
"Ja","2019","7007","0.770616928461341","0.762040160316055","0.779193696606628"
"Nein","2019","2224","","",""
"Ja","2020","6532","0.65571847849402","0.646508614037149","0.664928342950891"
"Nein","2020","3692","0.34428152150598","0.335071657049109","0.353491385962852"
