year,quintil_oecd,plb0196_h,proportion,n,lower_confidence,upper_confidence
1986,1. Quintil,Nein,0.4601457794498001,13742,0.4518124784047951,0.46847908049480513
1986,2. Quintil,Nein,0.3028450505525511,13742,0.29516248991279526,0.310527611192307
1986,3. Quintil,Nein,0.16482482953209499,13742,0.1586214092723147,0.17102824979187528
1986,4. Quintil,Nein,0.053609217023277686,13742,0.04984316701670214,0.05737526702985323
1986,5. Quintil,Nein,0.01857512344227604,13742,0.01631763526495657,0.02083261161959551
1988,1. Quintil,Nein,0.359201213346815,12817,0.35089520014466935,0.3675072265489606
1988,2. Quintil,Nein,0.3326592517694641,12817,0.3245021382859505,0.3408163652529777
1988,3. Quintil,Nein,0.19312436804853386,12817,0.18629021474111337,0.19995852135595435
1988,4. Quintil,Nein,0.08291203235591507,12817,0.07813809014717456,0.08768597456465559
1988,5. Quintil,Nein,0.03210313447927199,12817,0.029051369113619507,0.03515489984492447
1989,1. Quintil,Nein,0.33727034120734906,12393,0.32894647433152224,0.34559420808317587
1989,2. Quintil,Nein,0.3167979002624672,12393,0.3086069631807043,0.32498883734423006
1989,3. Quintil,Nein,0.2115485564304462,12393,0.20435803548145187,0.21873907737944054
1989,4. Quintil,Nein,0.09580052493438321,12393,0.0906186859239442,0.10098236394482221
1989,5. Quintil,Nein,0.03858267716535433,12393,0.035191738007125245,0.041973616323583415
1990,-6,Nein,0.3808316430020284,18165,0.3737699430588645,0.38789334294519223
1990,2. Quintil,Nein,0.19523326572008112,18165,0.18946891644565933,0.20099761499450292
1990,1. Quintil,Nein,0.18881000676132523,18165,0.18311869774922723,0.19450131577342322
1990,3. Quintil,Nein,0.1359026369168357,18165,0.13091914621973072,0.1408861276139407
1990,4. Quintil,Nein,0.07065584854631508,18165,0.06692935208145173,0.07438234501117844
1990,5. Quintil,Nein,0.02856659905341447,18165,0.026144041208271657,0.03098915689855728
1991,-6,Nein,0.35185847033595424,17756,0.3448341803364687,0.3588827603354398
1991,2. Quintil,Nein,0.18388134381701216,17756,0.17818325793670137,0.18957942969732294
1991,1. Quintil,Nein,0.1645818441744103,17756,0.15912770243386448,0.1700359859149561
1991,3. Quintil,Nein,0.16422444603288064,17756,0.15877506421950607,0.1696738278462552
1991,4. Quintil,Nein,0.09864188706218728,17756,0.0942559451537257,0.10302782897064885
1991,5. Quintil,Nein,0.0368120085775554,17756,0.034042301823014376,0.03958171533209642
1992,1. Quintil,Nein,0.30427796746334607,17350,0.2974316116907599,0.31112432323593225
1992,2. Quintil,Nein,0.2900180759188592,17350,0.28326591924030503,0.29677023259741336
1992,3. Quintil,Nein,0.20345450893753766,17350,0.19746425431260992,0.2094447635624654
1992,4. Quintil,Nein,0.1444065073307893,17350,0.13917612482958994,0.14963688983198867
1992,5. Quintil,Nein,0.05784294034946776,17350,0.05436923349299246,0.06131664720594306
1993,2. Quintil,Nein,0.29251839738348323,16993,0.28567841141496353,0.29935838335200293
1993,3. Quintil,Nein,0.2403924775143091,16993,0.2339674334896386,0.24681752153897957
1993,1. Quintil,Nein,0.22179067865903515,16993,0.21554411886138403,0.22803723845668628
1993,4. Quintil,Nein,0.1704824202780049,16993,0.16482818805920837,0.1761366524968014
1993,5. Quintil,Nein,0.07481602616516762,16993,0.07086024360196845,0.0787718087283668
1994,2. Quintil,Nein,0.28662420382165604,16642,0.2797540109681254,0.2934943966751867
1994,3. Quintil,Nein,0.2565341533055128,16642,0.24989891660600808,0.26316939000501754
1994,4. Quintil,Nein,0.18603118822754228,16642,0.18011897518914483,0.19194340126593973
1994,1. Quintil,Nein,0.17197452229299362,16642,0.16624118861437184,0.1777078559716154
1994,5. Quintil,Nein,0.0988359323522952,16642,0.09430160701398346,0.10337025769060693
1995,2. Quintil,Nein,0.2846458424989001,17246,0.27791104013418544,0.2913806448636148
1995,3. Quintil,Nein,0.2639683238011439,17246,0.25738968502692255,0.2705469625753652
1995,1. Quintil,Nein,0.1847778266608007,17246,0.17898520985923097,0.19057044346237043
1995,4. Quintil,Nein,0.1682798064232292,17246,0.1626961780514438,0.17386343479501462
1995,5. Quintil,Nein,0.09832820061592609,17246,0.09388418916000144,0.10277221207185075
1996,2. Quintil,Nein,0.28056248582445,16862,0.27378118720638733,0.28734378444251263
1996,3. Quintil,Nein,0.25425266500340216,16862,0.24768017187410912,0.2608251581326952
1996,4. Quintil,Nein,0.19777727375822182,16862,0.1917650213854465,0.20378952613099716
1996,1. Quintil,Nein,0.16897255613517803,16862,0.16331645327356023,0.17462865899679583
1996,5. Quintil,Nein,0.09843501927874801,16862,0.09393851655005829,0.10293152200743773
1997,3. Quintil,Nein,0.31148696264975334,16487,0.3044179090689666,0.3185560162305401
1997,2. Quintil,Nein,0.27906976744186046,16487,0.27222295759240556,0.28591657729131537
1997,4. Quintil,Nein,0.20789288231148698,16487,0.2016985140571464,0.21408725056582756
1997,1. Quintil,Nein,0.12684989429175475,16487,0.12176976503228795,0.13193002355122155
1997,5. Quintil,Nein,0.07470049330514447,16487,0.07068731780195536,0.07871366880833358
1998,2. Quintil,Nein,0.3074866310160428,18147,0.3007726385162744,0.3142006235158112
