"plb0196_h","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1986","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1986","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1986","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1986","kein Migrationshintergrund","Westdeutschland","2812","1","1","1"
"Nein","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1986","direkter Migrationshintergrund","Westdeutschland","1422","1","1","1"
"Nein","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1986","indirekter Migrationshintergrund","Westdeutschland","70","1","1","1"
"Nein","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1988","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1988","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1988","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1988","kein Migrationshintergrund","Westdeutschland","2643","1","1","1"
"Nein","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1988","direkter Migrationshintergrund","Westdeutschland","1278","1","1","1"
"Nein","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1988","indirekter Migrationshintergrund","Westdeutschland","89","1","1","1"
"Nein","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1989","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1989","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1989","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1989","kein Migrationshintergrund","Westdeutschland","2531","1","1","1"
"Nein","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1989","direkter Migrationshintergrund","Westdeutschland","1210","1","1","1"
"Nein","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1989","indirekter Migrationshintergrund","Westdeutschland","98","1","1","1"
"Nein","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1990","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1990","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1990","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1990","kein Migrationshintergrund","Westdeutschland","2397","1","1","1"
"Nein","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1990","direkter Migrationshintergrund","Westdeutschland","1184","1","1","1"
"Nein","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1990","indirekter Migrationshintergrund","Westdeutschland","118","1","1","1"
"Nein","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
