"plb0196_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1986","(noch) kein Abschluss","maennlich","","","",""
"Ja","1986","(noch) kein Abschluss","weiblich","","","",""
"Ja","1986","Hauptschule","maennlich","","","",""
"Ja","1986","Hauptschule","weiblich","","","",""
"Ja","1986","Realschule","maennlich","","","",""
"Ja","1986","Realschule","weiblich","","","",""
"Ja","1986","(Fach-)Abitur","maennlich","","","",""
"Ja","1986","(Fach-)Abitur","weiblich","","","",""
"Ja","1986","AkademikerIn","maennlich","","","",""
"Ja","1986","AkademikerIn","weiblich","","","",""
"Nein","1986","(noch) kein Abschluss","maennlich","206","","",""
"Nein","1986","(noch) kein Abschluss","weiblich","182","","",""
"Nein","1986","Hauptschule","maennlich","1481","","",""
"Nein","1986","Hauptschule","weiblich","1041","","",""
"Nein","1986","Realschule","maennlich","330","1","1","1"
"Nein","1986","Realschule","weiblich","383","1","1","1"
"Nein","1986","(Fach-)Abitur","maennlich","147","","",""
"Nein","1986","(Fach-)Abitur","weiblich","142","","",""
"Nein","1986","AkademikerIn","maennlich","228","","",""
"Nein","1986","AkademikerIn","weiblich","96","1","1","1"
"Ja","1987","(noch) kein Abschluss","maennlich","","","",""
"Ja","1987","(noch) kein Abschluss","weiblich","","","",""
"Ja","1987","Hauptschule","maennlich","","","",""
"Ja","1987","Hauptschule","weiblich","","","",""
"Ja","1987","Realschule","maennlich","","","",""
"Ja","1987","Realschule","weiblich","","","",""
"Ja","1987","(Fach-)Abitur","maennlich","","","",""
"Ja","1987","(Fach-)Abitur","weiblich","","","",""
"Ja","1987","AkademikerIn","maennlich","","","",""
"Ja","1987","AkademikerIn","weiblich","","","",""
"Nein","1987","(noch) kein Abschluss","maennlich","","","",""
"Nein","1987","(noch) kein Abschluss","weiblich","","","",""
"Nein","1987","Hauptschule","maennlich","","","",""
"Nein","1987","Hauptschule","weiblich","","","",""
"Nein","1987","Realschule","maennlich","","","",""
"Nein","1987","Realschule","weiblich","","","",""
"Nein","1987","(Fach-)Abitur","maennlich","","","",""
"Nein","1987","(Fach-)Abitur","weiblich","","","",""
"Nein","1987","AkademikerIn","maennlich","","","",""
"Nein","1987","AkademikerIn","weiblich","","","",""
"Ja","1988","(noch) kein Abschluss","maennlich","","","",""
"Ja","1988","(noch) kein Abschluss","weiblich","","","",""
"Ja","1988","Hauptschule","maennlich","","","",""
"Ja","1988","Hauptschule","weiblich","","","",""
"Ja","1988","Realschule","maennlich","","","",""
"Ja","1988","Realschule","weiblich","","","",""
"Ja","1988","(Fach-)Abitur","maennlich","","","",""
"Ja","1988","(Fach-)Abitur","weiblich","","","",""
"Ja","1988","AkademikerIn","maennlich","","","",""
"Ja","1988","AkademikerIn","weiblich","","","",""
"Nein","1988","(noch) kein Abschluss","maennlich","170","","",""
"Nein","1988","(noch) kein Abschluss","weiblich","154","","",""
"Nein","1988","Hauptschule","maennlich","1385","","",""
"Nein","1988","Hauptschule","weiblich","937","1","1","1"
"Nein","1988","Realschule","maennlich","331","1","1","1"
"Nein","1988","Realschule","weiblich","388","1","1","1"
"Nein","1988","(Fach-)Abitur","maennlich","141","","",""
"Nein","1988","(Fach-)Abitur","weiblich","110","","",""
"Nein","1988","AkademikerIn","maennlich","206","","",""
"Nein","1988","AkademikerIn","weiblich","104","","",""
"Ja","1989","(noch) kein Abschluss","maennlich","","","",""
"Ja","1989","(noch) kein Abschluss","weiblich","","","",""
"Ja","1989","Hauptschule","maennlich","","","",""
"Ja","1989","Hauptschule","weiblich","","","",""
"Ja","1989","Realschule","maennlich","","","",""
"Ja","1989","Realschule","weiblich","","","",""
"Ja","1989","(Fach-)Abitur","maennlich","","","",""
"Ja","1989","(Fach-)Abitur","weiblich","","","",""
"Ja","1989","AkademikerIn","maennlich","","","",""
"Ja","1989","AkademikerIn","weiblich","","","",""
"Nein","1989","(noch) kein Abschluss","maennlich","164","","",""
"Nein","1989","(noch) kein Abschluss","weiblich","140","","",""
"Nein","1989","Hauptschule","maennlich","1295","","",""
"Nein","1989","Hauptschule","weiblich","930","1","1","1"
"Nein","1989","Realschule","maennlich","300","1","1","1"
"Nein","1989","Realschule","weiblich","371","1","1","1"
"Nein","1989","(Fach-)Abitur","maennlich","162","","",""
"Nein","1989","(Fach-)Abitur","weiblich","101","","",""
"Nein","1989","AkademikerIn","maennlich","194","","",""
"Nein","1989","AkademikerIn","weiblich","101","","",""
"Ja","1990","(noch) kein Abschluss","maennlich","","","",""
"Ja","1990","(noch) kein Abschluss","weiblich","","","",""
"Ja","1990","Hauptschule","maennlich","","","",""
"Ja","1990","Hauptschule","weiblich","","","",""
"Ja","1990","Realschule","maennlich","","","",""
"Ja","1990","Realschule","weiblich","","","",""
"Ja","1990","(Fach-)Abitur","maennlich","","","",""
"Ja","1990","(Fach-)Abitur","weiblich","","","",""
"Ja","1990","AkademikerIn","maennlich","","","",""
"Ja","1990","AkademikerIn","weiblich","","","",""
"Nein","1990","(noch) kein Abschluss","maennlich","159","","",""
"Nein","1990","(noch) kein Abschluss","weiblich","141","","",""
"Nein","1990","Hauptschule","maennlich","1210","","",""
"Nein","1990","Hauptschule","weiblich","907","1","1","1"
"Nein","1990","Realschule","maennlich","281","","",""
"Nein","1990","Realschule","weiblich","381","1","1","1"
"Nein","1990","(Fach-)Abitur","maennlich","150","","",""
"Nein","1990","(Fach-)Abitur","weiblich","109","","",""
"Nein","1990","AkademikerIn","maennlich","169","","",""
"Nein","1990","AkademikerIn","weiblich","97","1","1","1"
"Ja","1991","(noch) kein Abschluss","maennlich","","","",""
"Ja","1991","(noch) kein Abschluss","weiblich","","","",""
"Ja","1991","Hauptschule","maennlich","","","",""
"Ja","1991","Hauptschule","weiblich","","","",""
"Ja","1991","Realschule","maennlich","","","",""
"Ja","1991","Realschule","weiblich","","","",""
"Ja","1991","(Fach-)Abitur","maennlich","","","",""
"Ja","1991","(Fach-)Abitur","weiblich","","","",""
"Ja","1991","AkademikerIn","maennlich","","","",""
"Ja","1991","AkademikerIn","weiblich","","","",""
"Nein","1991","(noch) kein Abschluss","maennlich","166","","",""
"Nein","1991","(noch) kein Abschluss","weiblich","150","","",""
"Nein","1991","Hauptschule","maennlich","1486","","",""
"Nein","1991","Hauptschule","weiblich","1223","","",""
"Nein","1991","Realschule","maennlich","735","1","1","1"
"Nein","1991","Realschule","weiblich","731","1","1","1"
"Nein","1991","(Fach-)Abitur","maennlich","189","","",""
"Nein","1991","(Fach-)Abitur","weiblich","133","","",""
"Nein","1991","AkademikerIn","maennlich","367","1","1","1"
"Nein","1991","AkademikerIn","weiblich","361","1","1","1"
"Ja","1992","(noch) kein Abschluss","maennlich","","","",""
"Ja","1992","(noch) kein Abschluss","weiblich","","","",""
"Ja","1992","Hauptschule","maennlich","","","",""
"Ja","1992","Hauptschule","weiblich","","","",""
"Ja","1992","Realschule","maennlich","","","",""
"Ja","1992","Realschule","weiblich","","","",""
"Ja","1992","(Fach-)Abitur","maennlich","","","",""
"Ja","1992","(Fach-)Abitur","weiblich","","","",""
"Ja","1992","AkademikerIn","maennlich","","","",""
"Ja","1992","AkademikerIn","weiblich","","","",""
"Nein","1992","(noch) kein Abschluss","maennlich","151","","",""
"Nein","1992","(noch) kein Abschluss","weiblich","133","","",""
"Nein","1992","Hauptschule","maennlich","1410","","",""
"Nein","1992","Hauptschule","weiblich","1072","","",""
"Nein","1992","Realschule","maennlich","594","1","1","1"
"Nein","1992","Realschule","weiblich","637","1","1","1"
"Nein","1992","(Fach-)Abitur","maennlich","192","","",""
"Nein","1992","(Fach-)Abitur","weiblich","120","","",""
"Nein","1992","AkademikerIn","maennlich","314","1","1","1"
"Nein","1992","AkademikerIn","weiblich","298","","",""
"Ja","1993","(noch) kein Abschluss","maennlich","","","",""
"Ja","1993","(noch) kein Abschluss","weiblich","","","",""
"Ja","1993","Hauptschule","maennlich","","","",""
"Ja","1993","Hauptschule","weiblich","","","",""
"Ja","1993","Realschule","maennlich","","","",""
"Ja","1993","Realschule","weiblich","","","",""
"Ja","1993","(Fach-)Abitur","maennlich","","","",""
"Ja","1993","(Fach-)Abitur","weiblich","","","",""
"Ja","1993","AkademikerIn","maennlich","","","",""
"Ja","1993","AkademikerIn","weiblich","","","",""
"Nein","1993","(noch) kein Abschluss","maennlich","151","","",""
"Nein","1993","(noch) kein Abschluss","weiblich","131","","",""
"Nein","1993","Hauptschule","maennlich","1362","","",""
"Nein","1993","Hauptschule","weiblich","1010","","",""
"Nein","1993","Realschule","maennlich","596","1","1","1"
"Nein","1993","Realschule","weiblich","649","1","1","1"
"Nein","1993","(Fach-)Abitur","maennlich","196","","",""
"Nein","1993","(Fach-)Abitur","weiblich","146","","",""
"Nein","1993","AkademikerIn","maennlich","296","","",""
"Nein","1993","AkademikerIn","weiblich","285","","",""
"Ja","1994","(noch) kein Abschluss","maennlich","","","",""
"Ja","1994","(noch) kein Abschluss","weiblich","","","",""
"Ja","1994","Hauptschule","maennlich","","","",""
"Ja","1994","Hauptschule","weiblich","","","",""
"Ja","1994","Realschule","maennlich","","","",""
"Ja","1994","Realschule","weiblich","","","",""
"Ja","1994","(Fach-)Abitur","maennlich","","","",""
"Ja","1994","(Fach-)Abitur","weiblich","","","",""
"Ja","1994","AkademikerIn","maennlich","","","",""
"Ja","1994","AkademikerIn","weiblich","","","",""
"Nein","1994","(noch) kein Abschluss","maennlich","132","","",""
"Nein","1994","(noch) kein Abschluss","weiblich","126","","",""
"Nein","1994","Hauptschule","maennlich","1192","","",""
"Nein","1994","Hauptschule","weiblich","887","1","1","1"
"Nein","1994","Realschule","maennlich","574","1","1","1"
"Nein","1994","Realschule","weiblich","614","1","1","1"
"Nein","1994","(Fach-)Abitur","maennlich","172","","",""
"Nein","1994","(Fach-)Abitur","weiblich","159","","",""
"Nein","1994","AkademikerIn","maennlich","306","1","1","1"
"Nein","1994","AkademikerIn","weiblich","286","","",""
"Ja","1995","(noch) kein Abschluss","maennlich","","","",""
"Ja","1995","(noch) kein Abschluss","weiblich","","","",""
"Ja","1995","Hauptschule","maennlich","","","",""
"Ja","1995","Hauptschule","weiblich","","","",""
"Ja","1995","Realschule","maennlich","","","",""
"Ja","1995","Realschule","weiblich","","","",""
"Ja","1995","(Fach-)Abitur","maennlich","","","",""
