year,hhtyp,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1985,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1985,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1985,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1985,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1985,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
1985,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
1985,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
1985,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1985,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1985,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
1985,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
1986,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1986,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1986,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1986,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1986,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1986,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
1986,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
1986,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
1986,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1986,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1986,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
1986,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
1987,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1987,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1987,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1987,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1987,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1987,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
1987,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
1987,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
1987,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1987,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1987,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
1987,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
1988,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1988,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1988,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1988,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1988,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1988,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
1988,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
1988,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
1988,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1988,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1988,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
1988,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
1989,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1989,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1989,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1989,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1989,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1989,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
1989,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
1989,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
1989,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1989,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1989,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
1989,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
1990,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1990,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1990,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1990,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1990,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1990,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
1990,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
1990,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
1990,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1990,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1990,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
1990,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
1991,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
1991,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
1991,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
1991,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
1991,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
1991,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
