"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund ","6.19","6","319","5.91","6.47"
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","6.96","7","766","6.79","7.13"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","7.64","7.3","7","5.98","9.3"
"1984","(noch) kein Abschluss","kein Migrationshintergrund ","6.06","6","95","5.54","6.58"
"1984","AkademikerInnen","direkter Migrationshintergrund","6.43","7","61","5.78","7.08"
"1984","AkademikerInnen","indirekter Migrationshintergrund","","","","",""
"1984","AkademikerInnen","kein Migrationshintergrund ","6.29","6","347","6.02","6.56"
"1984","Hauptschulabschluss","direkter Migrationshintergrund","","","","",""
"1984","Hauptschulabschluss","indirekter Migrationshintergrund","7.06","7","48","6.25","7.87"
"1984","Hauptschulabschluss","kein Migrationshintergrund ","7.13","8","3690","7.05","7.21"
"1984","Realschulabschluss","direkter Migrationshintergrund","","","","",""
"1984","Realschulabschluss","indirekter Migrationshintergrund","5.71","4.04","9","3.78","7.64"
"1984","Realschulabschluss","kein Migrationshintergrund ","","","","",""
"1985","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund ","","","","",""
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","7.13","7","553","6.95","7.31"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","6.31","7.31","9","3.63","8.99"
"1985","(noch) kein Abschluss","kein Migrationshintergrund ","6.46","6","73","5.95","6.97"
"1985","AkademikerInnen","direkter Migrationshintergrund","6.41","6","64","5.88","6.94"
"1985","AkademikerInnen","indirekter Migrationshintergrund","","","","",""
"1985","AkademikerInnen","kein Migrationshintergrund ","","","","",""
"1985","Hauptschulabschluss","direkter Migrationshintergrund","7.07","7","860","6.91","7.23"
"1985","Hauptschulabschluss","indirekter Migrationshintergrund","7.08","7","38","6.34","7.82"
"1985","Hauptschulabschluss","kein Migrationshintergrund ","7.11","7","3005","7.03","7.19"
"1985","Realschulabschluss","direkter Migrationshintergrund","6.67","7","95","6.18","7.16"
"1985","Realschulabschluss","indirekter Migrationshintergrund","","","","",""
"1985","Realschulabschluss","kein Migrationshintergrund ","6.94","7","958","6.8","7.08"
"1986","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1986","(Fach-)Abitur","kein Migrationshintergrund ","","","","",""
