"pgfamstd","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","(noch) kein Abschluss","Staedtischer Raum","582","0.360847947263874","0.328562794794374","0.393133099733375"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","(noch) kein Abschluss","Laendlicher Raum","74","0.247860986732423","0.176339387244539","0.319382586220307"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","Hauptschule","Staedtischer Raum","3122","0.642695583671002","0.628664782544058","0.656726384797947"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","Hauptschule","Laendlicher Raum","993","0.648441357181483","0.623712114036612","0.673170600326355"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","Realschule","Staedtischer Raum","672","0.482076164444103","0.454955515699159","0.509196813189046"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","Realschule","Laendlicher Raum","199","0.496368894934652","0.445764176950892","0.546973612918411"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","(Fach-)Abitur","Staedtischer Raum","274","0.357475456186279","0.320374333489692","0.394576578882866"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","(Fach-)Abitur","Laendlicher Raum","46","0.385206607311078","0.292124779859","0.478288434763157"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","AkademikerIn","Staedtischer Raum","415","0.655764766910191","0.617524365412528","0.694005168407855"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","AkademikerIn","Laendlicher Raum","88","0.735796434148905","0.654502705020042","0.817090163277769"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","(noch) kein Abschluss","Staedtischer Raum","24","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","Hauptschule","Staedtischer Raum","82","0.016739287395531","0.0129829599336651","0.0204956148573968"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","Hauptschule","Laendlicher Raum","23","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","Realschule","Staedtischer Raum","17","","",""
