"year","bildungsniveau","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2006","(Fach-)Abitur","direkter Migrationshintergrund","7.1","6.5","399","4","6","9","10","10","6.9","7.3","0","10","7","8"
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","7.33","7.5","150","5","6","9","10","10","7.02","7.64","0","10","8","8"
"2006","(Fach-)Abitur","kein Migrationshintergrund","7.67","7.5","1896","5","7","9","10","10","7.59","7.75","0","10","8","8"
"2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","7.32","7.5","183","4","6","9","10","10","7.01","7.63","1","10","7","8"
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","7.62","7.5","67","3","7","9","10","10","7.15","8.09","2","10","8","9"
"2006","(noch) kein Abschluss","kein Migrationshintergrund","7.6","7.5","399","5","7","9","10","10","7.42","7.78","0","10","8","9"
"2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","AkademikerIn","direkter Migrationshintergrund","7.25","7.5","366","4","6","9","10","10","7.05","7.45","0","10","8","8"
"2006","AkademikerIn","indirekter Migrationshintergrund","7.19","6.5","76","5","7","8","9","10","6.77","7.61","0","10","7","8"
"2006","AkademikerIn","kein Migrationshintergrund","7.46","7.5","4118","5","7","9","10","10","7.41","7.51","0","10","8","8"
"2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","Hauptschule","direkter Migrationshintergrund","7.2","7.5","1163","5","6","8","10","10","7.09","7.31","0","10","7","8"
"2006","Hauptschule","indirekter Migrationshintergrund","7.74","7.5","249","5","7","9","10","10","7.5","7.98","2","10","8","8"
"2006","Hauptschule","kein Migrationshintergrund","7.4","7.5","6628","5","6","9","10","10","7.35","7.45","0","10","8","8"
"2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","Realschule","direkter Migrationshintergrund","7.47","7.5","196","5","6","9","10","10","7.22","7.72","2","10","8","8"
"2006","Realschule","indirekter Migrationshintergrund","7.7","7.5","200","5","7","9","10","10","7.46","7.94","1","10","8","8"
"2006","Realschule","kein Migrationshintergrund","7.48","7.5","5332","5","7","9","10","10","7.43","7.53","0","10","8","8"
"2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
