"year","bildungsniveau","sex","mean","median","n","lower_confidence","upper_confidence"
"2006","(Fach-)Abitur","maennlich","7.46","7.5","1060","7.36","7.56"
"2006","(Fach-)Abitur","weiblich","7.6","7.5","1385","7.51","7.69"
"2006","(noch) kein Abschluss","maennlich","7.48","7.5","305","7.26","7.7"
"2006","(noch) kein Abschluss","weiblich","7.53","7.5","344","7.32","7.74"
"2006","AkademikerInnen","maennlich","7.38","7.5","2540","7.31","7.45"
"2006","AkademikerInnen","weiblich","7.5","7.5","2020","7.42","7.58"
"2006","Hauptschulabschluss","maennlich","7.36","7.5","3889","7.3","7.42"
"2006","Hauptschulabschluss","weiblich","7.4","7.5","4151","7.34","7.46"
"2006","Realschulabschluss","maennlich","7.43","7.5","2407","7.36","7.5"
"2006","Realschulabschluss","weiblich","7.54","7.5","3321","7.48","7.6"
"2007","(Fach-)Abitur","maennlich","","","","",""
"2007","(Fach-)Abitur","weiblich","","","","",""
"2007","(noch) kein Abschluss","maennlich","","","","",""
"2007","(noch) kein Abschluss","weiblich","","","","",""
"2007","AkademikerInnen","maennlich","","","","",""
"2007","AkademikerInnen","weiblich","","","","",""
"2007","Hauptschulabschluss","maennlich","","","","",""
"2007","Hauptschulabschluss","weiblich","","","","",""
"2007","Realschulabschluss","maennlich","","","","",""
"2007","Realschulabschluss","weiblich","","","","",""
"2008","(Fach-)Abitur","maennlich","","","","",""
"2008","(Fach-)Abitur","weiblich","","","","",""
"2008","(noch) kein Abschluss","maennlich","","","","",""
"2008","(noch) kein Abschluss","weiblich","","","","",""
"2008","AkademikerInnen","maennlich","","","","",""
"2008","AkademikerInnen","weiblich","","","","",""
"2008","Hauptschulabschluss","maennlich","","","","",""
"2008","Hauptschulabschluss","weiblich","","","","",""
"2008","Realschulabschluss","maennlich","","","","",""
"2008","Realschulabschluss","weiblich","","","","",""
"2009","(Fach-)Abitur","maennlich","","","","",""
"2009","(Fach-)Abitur","weiblich","","","","",""
"2009","(noch) kein Abschluss","maennlich","","","","",""
"2009","(noch) kein Abschluss","weiblich","","","","",""
"2009","AkademikerInnen","maennlich","","","","",""
"2009","AkademikerInnen","weiblich","","","","",""
"2009","Hauptschulabschluss","maennlich","","","","",""
"2009","Hauptschulabschluss","weiblich","","","","",""
"2009","Realschulabschluss","maennlich","","","","",""
"2009","Realschulabschluss","weiblich","","","","",""
"2010","(Fach-)Abitur","maennlich","","","","",""
"2010","(Fach-)Abitur","weiblich","","","","",""
"2010","(noch) kein Abschluss","maennlich","","","","",""
"2010","(noch) kein Abschluss","weiblich","","","","",""
"2010","AkademikerInnen","maennlich","","","","",""
"2010","AkademikerInnen","weiblich","","","","",""
"2010","Hauptschulabschluss","maennlich","","","","",""
"2010","Hauptschulabschluss","weiblich","","","","",""
"2010","Realschulabschluss","maennlich","","","","",""
"2010","Realschulabschluss","weiblich","","","","",""
"2011","(Fach-)Abitur","maennlich","7.7","7.5","1288","7.61","7.79"
"2011","(Fach-)Abitur","weiblich","7.83","7.5","1996","7.75","7.91"
"2011","(noch) kein Abschluss","maennlich","8.29","8.5","375","8.11","8.47"
"2011","(noch) kein Abschluss","weiblich","7.65","7.5","424","7.44","7.86"
"2011","AkademikerInnen","maennlich","7.45","7.5","2950","7.39","7.51"
"2011","AkademikerInnen","weiblich","7.69","7.5","2797","7.62","7.76"
"2011","Hauptschulabschluss","maennlich","7.36","7.5","3766","7.3","7.42"
"2011","Hauptschulabschluss","weiblich","7.5","7.5","4102","7.44","7.56"
"2011","Realschulabschluss","maennlich","7.65","7.5","2775","7.59","7.71"
"2011","Realschulabschluss","weiblich","7.58","7.5","4471","7.53","7.63"
"2012","(Fach-)Abitur","maennlich","7.98","7.5","362","7.8","8.16"
"2012","(Fach-)Abitur","weiblich","8.32","8.5","761","8.2","8.44"
"2012","(noch) kein Abschluss","maennlich","8.21","7.5","158","7.93","8.49"
"2012","(noch) kein Abschluss","weiblich","7.86","7.5","190","7.53","8.19"
"2012","AkademikerInnen","maennlich","7.85","7.5","684","7.73","7.97"
