"year","alter_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"2006","16-34 Jahre alt","direkter Migrationshintergrund","7.59","8","539","7.43","7.75"
"2006","16-34 Jahre alt","indirekter Migrationshintergrund","7.66","8","622","7.51","7.81"
"2006","16-34 Jahre alt","kein Migrationshintergrund ","7.77","8","3963","7.72","7.82"
"2006","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"2006","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2006","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"2006","66 und Ã¤lter","direkter Migrationshintergrund","7.02","7","392","6.8","7.24"
"2006","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"2006","66 und Ã¤lter","kein Migrationshintergrund ","7.41","8","4040","7.35","7.47"
"2007","16-34 Jahre alt","direkter Migrationshintergrund","","","","",""
"2007","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2007","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"2007","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"2007","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2007","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"2007","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"2007","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"2007","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"2008","16-34 Jahre alt","direkter Migrationshintergrund","","","","",""
"2008","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2008","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"2008","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"2008","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2008","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"2008","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"2008","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"2008","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"2009","16-34 Jahre alt","direkter Migrationshintergrund","","","","",""
"2009","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2009","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"2009","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"2009","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2009","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"2009","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"2009","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"2009","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"2010","16-34 Jahre alt","direkter Migrationshintergrund","","","","",""
"2010","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2010","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"2010","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"2010","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"2010","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"2010","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"2010","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"2010","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"2011","16-34 Jahre alt","direkter Migrationshintergrund","8.02","8","797","7.89","8.15"
"2011","16-34 Jahre alt","indirekter Migrationshintergrund","7.93","8","738","7.8","8.06"
"2011","16-34 Jahre alt","kein Migrationshintergrund ","8.01","8","4779","7.96","8.06"
