year,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,,,,,,,,,,,,
1984,direkter Migrationshintergrund,,,,,,,,,,,,
1984,indirekter Migrationshintergrund,,,,,,,,,,,,
1985,kein Migrationshintergrund,,,,,,,,,,,,
1985,direkter Migrationshintergrund,,,,,,,,,,,,
1985,indirekter Migrationshintergrund,,,,,,,,,,,,
1986,kein Migrationshintergrund,,,,,,,,,,,,
1986,direkter Migrationshintergrund,,,,,,,,,,,,
1986,indirekter Migrationshintergrund,,,,,,,,,,,,
1987,kein Migrationshintergrund,,,,,,,,,,,,
1987,direkter Migrationshintergrund,,,,,,,,,,,,
1987,indirekter Migrationshintergrund,,,,,,,,,,,,
1988,kein Migrationshintergrund,,,,,,,,,,,,
1988,direkter Migrationshintergrund,,,,,,,,,,,,
1988,indirekter Migrationshintergrund,,,,,,,,,,,,
1989,kein Migrationshintergrund,,,,,,,,,,,,
1989,direkter Migrationshintergrund,,,,,,,,,,,,
1989,indirekter Migrationshintergrund,,,,,,,,,,,,
1990,kein Migrationshintergrund,,,,,,,,,,,,
1990,direkter Migrationshintergrund,,,,,,,,,,,,
1990,indirekter Migrationshintergrund,,,,,,,,,,,,
1991,kein Migrationshintergrund,,,,,,,,,,,,
1991,direkter Migrationshintergrund,,,,,,,,,,,,
1991,indirekter Migrationshintergrund,,,,,,,,,,,,
1992,kein Migrationshintergrund,,,,,,,,,,,,
1992,direkter Migrationshintergrund,,,,,,,,,,,,
1992,indirekter Migrationshintergrund,,,,,,,,,,,,
1993,kein Migrationshintergrund,,,,,,,,,,,,
1993,direkter Migrationshintergrund,,,,,,,,,,,,
1993,indirekter Migrationshintergrund,,,,,,,,,,,,
1994,kein Migrationshintergrund,,,,,,,,,,,,
1994,direkter Migrationshintergrund,,,,,,,,,,,,
1994,indirekter Migrationshintergrund,,,,,,,,,,,,
1995,kein Migrationshintergrund,,,,,,,,,,,,
1995,direkter Migrationshintergrund,,,,,,,,,,,,
1995,indirekter Migrationshintergrund,,,,,,,,,,,,
1996,kein Migrationshintergrund,,,,,,,,,,,,
1996,direkter Migrationshintergrund,,,,,,,,,,,,
1996,indirekter Migrationshintergrund,,,,,,,,,,,,
1997,kein Migrationshintergrund,,,,,,,,,,,,
1997,direkter Migrationshintergrund,,,,,,,,,,,,
1997,indirekter Migrationshintergrund,,,,,,,,,,,,
1998,kein Migrationshintergrund,,,,,,,,,,,,
1998,direkter Migrationshintergrund,,,,,,,,,,,,
1998,indirekter Migrationshintergrund,,,,,,,,,,,,
1999,kein Migrationshintergrund,,,,,,,,,,,,
1999,direkter Migrationshintergrund,,,,,,,,,,,,
1999,indirekter Migrationshintergrund,,,,,,,,,,,,
2000,kein Migrationshintergrund,,,,,,,,,,,,
2000,direkter Migrationshintergrund,,,,,,,,,,,,
2000,indirekter Migrationshintergrund,,,,,,,,,,,,
2001,kein Migrationshintergrund,,,,,,,,,,,,
2001,direkter Migrationshintergrund,,,,,,,,,,,,
2001,indirekter Migrationshintergrund,,,,,,,,,,,,
2002,kein Migrationshintergrund,,,,,,,,,,,,
2002,direkter Migrationshintergrund,,,,,,,,,,,,
2002,indirekter Migrationshintergrund,,,,,,,,,,,,
2003,kein Migrationshintergrund,,,,,,,,,,,,
2003,direkter Migrationshintergrund,,,,,,,,,,,,
2003,indirekter Migrationshintergrund,,,,,,,,,,,,
2004,kein Migrationshintergrund,,,,,,,,,,,,
2004,direkter Migrationshintergrund,,,,,,,,,,,,
2004,indirekter Migrationshintergrund,,,,,,,,,,,,
2005,kein Migrationshintergrund,,,,,,,,,,,,
2005,direkter Migrationshintergrund,,,,,,,,,,,,
2005,indirekter Migrationshintergrund,,,,,,,,,,,,
2006,kein Migrationshintergrund,7.468436874953537,7.455009703405411,7.481864046501663,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,18654.0
