"year","sampreg","sex","mean","median","n","lower_confidence","upper_confidence"
"2006","Ostdeutschland, neue Bundeslaender","maennlich","7.28","7.5","2511","7.21","7.35"
"2006","Ostdeutschland, neue Bundeslaender","weiblich","7.34","7.5","2729","7.27","7.41"
"2006","Westdeutschland, alte Bundeslaender","maennlich","7.44","7.5","7905","7.4","7.48"
"2006","Westdeutschland, alte Bundeslaender","weiblich","7.51","7.5","8698","7.47","7.55"
"2007","Ostdeutschland, neue Bundeslaender","maennlich","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","weiblich","","","","",""
"2007","Westdeutschland, alte Bundeslaender","maennlich","","","","",""
"2007","Westdeutschland, alte Bundeslaender","weiblich","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","maennlich","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","weiblich","","","","",""
"2008","Westdeutschland, alte Bundeslaender","maennlich","","","","",""
"2008","Westdeutschland, alte Bundeslaender","weiblich","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","maennlich","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","weiblich","","","","",""
"2009","Westdeutschland, alte Bundeslaender","maennlich","","","","",""
"2009","Westdeutschland, alte Bundeslaender","weiblich","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","maennlich","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","weiblich","","","","",""
"2010","Westdeutschland, alte Bundeslaender","maennlich","","","","",""
"2010","Westdeutschland, alte Bundeslaender","weiblich","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","maennlich","7.51","7.5","2614","7.44","7.58"
"2011","Ostdeutschland, neue Bundeslaender","weiblich","7.48","7.5","3154","7.41","7.55"
"2011","Westdeutschland, alte Bundeslaender","maennlich","7.54","7.5","8964","7.5","7.58"
"2011","Westdeutschland, alte Bundeslaender","weiblich","7.64","7.5","10944","7.6","7.68"
"2012","Ostdeutschland, neue Bundeslaender","maennlich","8.05","7.5","525","7.9","8.2"
"2012","Ostdeutschland, neue Bundeslaender","weiblich","8.02","7.5","804","7.89","8.15"
"2012","Westdeutschland, alte Bundeslaender","maennlich","7.99","7.5","2367","7.92","8.06"
"2012","Westdeutschland, alte Bundeslaender","weiblich","8.13","7.5","3433","8.07","8.19"
"2013","Ostdeutschland, neue Bundeslaender","maennlich","8.14","7.5","512","7.98","8.3"
"2013","Ostdeutschland, neue Bundeslaender","weiblich","8.06","7.5","765","7.94","8.18"
"2013","Westdeutschland, alte Bundeslaender","maennlich","7.96","7.5","2268","7.89","8.03"
"2013","Westdeutschland, alte Bundeslaender","weiblich","8.1","7.5","3250","8.04","8.16"
"2014","Ostdeutschland, neue Bundeslaender","maennlich","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","weiblich","","","","",""
"2014","Westdeutschland, alte Bundeslaender","maennlich","","","","",""
"2014","Westdeutschland, alte Bundeslaender","weiblich","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","maennlich","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","weiblich","","","","",""
"2015","Westdeutschland, alte Bundeslaender","maennlich","","","","",""
"2015","Westdeutschland, alte Bundeslaender","weiblich","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","maennlich","7.43","7.5","2269","7.35","7.51"
"2016","Ostdeutschland, neue Bundeslaender","weiblich","7.53","7.5","2727","7.46","7.6"
"2016","Westdeutschland, alte Bundeslaender","maennlich","7.58","7.5","8718","7.54","7.62"
"2016","Westdeutschland, alte Bundeslaender","weiblich","7.72","7.5","10303","7.68","7.76"
