"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2006","Ostdeutschland","maennlich","7.28","7.5","2511","5","6","8","9","10","7.21","7.35","0","10","8","8"
"2006","Ostdeutschland","weiblich","7.34","7.5","2729","5","6","9","10","10","7.27","7.41","0","10","8","8"
"2006","Westdeutschland","maennlich","7.44","7.5","7905","5","6","9","10","10","7.4","7.48","0","10","8","8"
"2006","Westdeutschland","weiblich","7.51","7.5","8698","5","7","9","10","10","7.47","7.55","0","10","8","8"
"2007","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2007","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2007","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2007","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2008","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2008","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2008","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2008","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2009","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2009","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2009","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2009","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2010","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2010","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2010","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2010","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2011","Ostdeutschland","maennlich","7.51","7.5","2614","5","7","9","10","10","7.44","7.58","0","10","8","8"
"2011","Ostdeutschland","weiblich","7.48","7.5","3154","5","7","9","10","10","7.41","7.55","0","10","8","8"
"2011","Westdeutschland","maennlich","7.54","7.5","8964","5","7","9","10","10","7.5","7.58","0","10","8","8"
"2011","Westdeutschland","weiblich","7.64","7.5","10944","5","7","9","10","10","7.6","7.68","0","10","8","8"
"2012","Ostdeutschland","maennlich","8.05","7.5","525","6","7","9","10","10","7.9","8.2","0","10","8","8"
"2012","Ostdeutschland","weiblich","8.02","7.5","804","6","7","9","10","10","7.89","8.15","0","10","8","8"
"2012","Westdeutschland","maennlich","7.99","7.5","2367","6","7","9","10","10","7.92","8.06","0","10","8","8"
"2012","Westdeutschland","weiblich","8.13","7.5","3433","6","7","9","10","10","8.07","8.19","0","10","8","8"
"2013","Ostdeutschland","maennlich","8.14","7.5","512","6","7","9","10","10","7.98","8.3","0","10","8","9"
"2013","Ostdeutschland","weiblich","8.06","7.5","765","6","7","9","10","10","7.94","8.18","0","10","8","8"
"2013","Westdeutschland","maennlich","7.96","7.5","2268","6","7","9","10","10","7.89","8.03","0","10","8","8"
"2013","Westdeutschland","weiblich","8.1","7.5","3250","6","8","9","10","10","8.04","8.16","0","10","8","8"
"2014","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2014","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2014","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2014","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2015","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2015","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2015","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2015","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2016","Ostdeutschland","maennlich","7.43","7.5","2269","5","7","9","9","10","7.35","7.51","0","10","8","8"
"2016","Ostdeutschland","weiblich","7.53","7.5","2727","5","7","9","10","10","7.46","7.6","0","10","8","8"
"2016","Westdeutschland","maennlich","7.58","7.5","8718","5","7","9","10","10","7.54","7.62","0","10","8","8"
"2016","Westdeutschland","weiblich","7.72","7.5","10303","5","7","9","10","10","7.68","7.76","0","10","8","8"
