"e11103","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"nicht erwerbstätig","1984","(Fach-)Abitur","363","0.467121253104746","0.433930489681561","0.500312016527932",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","575","0.641835430489626","0.61557954431887","0.668091316660381",""
"nicht erwerbstätig","1984","AkademikerIn","160","0.228485289840714","0.199207669595919","0.257762910085508",""
"nicht erwerbstätig","1984","Hauptschule","2861","0.465353935902577","0.453871502799369","0.476836369005784",""
"nicht erwerbstätig","1984","Realschule","649","0.374304687358798","0.352457954540162","0.396151420177434",""
"Teilzeit","1984","(Fach-)Abitur","180","0.207164987172165","0.180203874108913","0.234126100235417",""
"Teilzeit","1984","(noch) kein Abschluss","131","0.0919957562663186","0.0761686556867606","0.107822856845877",""
"Teilzeit","1984","AkademikerIn","165","0.200056561954233","0.172160648563762","0.227952475344704",""
"Teilzeit","1984","Hauptschule","1066","0.140236975818795","0.132243609950266","0.148230341687324",""
"Teilzeit","1984","Realschule","336","0.164446845151042","0.147713135527992","0.181180554774092",""
"Vollzeit","1984","(Fach-)Abitur","325","0.325713759723089","0.294537182766168","0.35689033668001",""
"Vollzeit","1984","(noch) kein Abschluss","575","0.266168813244056","0.24196687253722","0.290370753950891",""
"Vollzeit","1984","AkademikerIn","465","0.571458148205054","0.536949862812547","0.60596643359756",""
"Vollzeit","1984","Hauptschule","3322","0.394409088278629","0.383158579250809","0.405659597306449",""
"Vollzeit","1984","Realschule","900","0.46124846749016","0.438744756527035","0.483752178453285",""
"nicht erwerbstätig","1985","(Fach-)Abitur","318","0.432682164187635","0.398067634096343","0.467296694278926",""
"nicht erwerbstätig","1985","(noch) kein Abschluss","539","0.695522689225165","0.668165817277987","0.722879561172343",""
"nicht erwerbstätig","1985","AkademikerIn","150","0.226701727935072","0.196835831810593","0.25656762405955",""
"nicht erwerbstätig","1985","Hauptschule","2523","0.465702216081196","0.453520252967003","0.477884179195388",""
"nicht erwerbstätig","1985","Realschule","627","0.37953662617137","0.357211460125017","0.401861792217724",""
"Teilzeit","1985","(Fach-)Abitur","181","0.239594165141481","0.20977320900711","0.269415121275852",""
"Teilzeit","1985","(noch) kein Abschluss","111","0.0817188237120704","0.0654340318102751","0.0980036156138656",""
"Teilzeit","1985","AkademikerIn","145","0.180798179339344","0.153346615122843","0.208249743555846",""
"Teilzeit","1985","Hauptschule","1056","0.153127462154623","0.144333046079169","0.161921878230077",""
"Teilzeit","1985","Realschule","339","0.170791729457392","0.153478622699727","0.188104836215056",""
"Vollzeit","1985","(Fach-)Abitur","288","0.327723670670884","0.294930112570207","0.360517228771562",""
"Vollzeit","1985","(noch) kein Abschluss","437","0.222758487062764","0.198022545684598","0.247494428440931",""
"Vollzeit","1985","AkademikerIn","460","0.592500092725584","0.557450531652071","0.627549653799097",""
"Vollzeit","1985","Hauptschule","2862","0.381170321764181","0.369309451715424","0.393031191812937",""
"Vollzeit","1985","Realschule","849","0.449671644371238","0.426785719245494","0.472557569496982",""
"nicht erwerbstätig","1986","(Fach-)Abitur","317","0.417932980719648","0.383924891686389","0.451941069752907",""
"nicht erwerbstätig","1986","(noch) kein Abschluss","521","0.663022338325735","0.634127772688539","0.691916903962931",""
"nicht erwerbstätig","1986","AkademikerIn","144","0.224583649506677","0.194697929261636","0.254469369751718",""
"nicht erwerbstätig","1986","Hauptschule","2308","0.461185526500204","0.448665740490738","0.47370531250967",""
"nicht erwerbstätig","1986","Realschule","588","0.370610661114878","0.348123487265345","0.393097834964412",""
"Teilzeit","1986","(Fach-)Abitur","198","0.258477668843746","0.228290940812583","0.288664396874909",""
"Teilzeit","1986","(noch) kein Abschluss","113","0.091273746105343","0.0736685442422632","0.108878947968423",""
"Teilzeit","1986","AkademikerIn","132","0.162499249357793","0.136079696428194","0.188918802287392",""
"Teilzeit","1986","Hauptschule","1006","0.149719624355586","0.140758554002421","0.15868069470875",""
"Teilzeit","1986","Realschule","343","0.177530944610009","0.159739424834215","0.195322464385803",""
"Vollzeit","1986","(Fach-)Abitur","293","0.323589350436606","0.291330808101942","0.355847892771271",""
"Vollzeit","1986","(noch) kein Abschluss","394","0.245703915568922","0.219387393153687","0.272020437984156",""
"Vollzeit","1986","AkademikerIn","473","0.61291710113553","0.57803440506504","0.64779979720602",""
"Vollzeit","1986","Hauptschule","2776","0.38909484914421","0.376849981956414","0.401339716332006",""
"Vollzeit","1986","Realschule","841","0.451858394275113","0.428686379677159","0.475030408873066",""
"nicht erwerbstätig","1987","(Fach-)Abitur","285","0.391087771047085","0.356841344953494","0.425334197140675",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","485","0.605601171770003","0.575355809836276","0.63584653370373",""
"nicht erwerbstätig","1987","AkademikerIn","143","0.232795733637262","0.202387642975192","0.263203824299332",""
"nicht erwerbstätig","1987","Hauptschule","2258","0.452913919366563","0.440335390699495","0.46549244803363",""
"nicht erwerbstätig","1987","Realschule","554","0.345541430232009","0.323318244598472","0.367764615865546",""
"Teilzeit","1987","(Fach-)Abitur","177","0.238233608550133","0.208337600056549","0.268129617043717",""
"Teilzeit","1987","(noch) kein Abschluss","125","0.124216605421389","0.103804593839431","0.144628617003346",""
"Teilzeit","1987","AkademikerIn","147","0.17792776364245","0.150409375688677","0.205446151596223",""
"Teilzeit","1987","Hauptschule","984","0.153367150694405","0.144261564509405","0.162472736879405",""
"Teilzeit","1987","Realschule","343","0.174663426057885","0.156920236020578","0.192406616095193",""
"Vollzeit","1987","(Fach-)Abitur","318","0.370678620402782","0.336783607646198","0.404573633159367",""
"Vollzeit","1987","(noch) kein Abschluss","393","0.270182222808608","0.242701178736307","0.29766326688091",""
"Vollzeit","1987","AkademikerIn","452","0.589276502720288","0.553878360071349","0.624674645369227",""
"Vollzeit","1987","Hauptschule","2774","0.393718929939032","0.381372985177608","0.406064874700457",""
"Vollzeit","1987","Realschule","862","0.479795143710106","0.456448186017171","0.503142101403041",""
"nicht erwerbstätig","1988","(Fach-)Abitur","277","0.4000986530008","0.364728428996852","0.435468877004748",""
"nicht erwerbstätig","1988","(noch) kein Abschluss","462","0.671244279890885","0.640689291387143","0.701799268394626",""
"nicht erwerbstätig","1988","AkademikerIn","130","0.210607354917331","0.180445167119292","0.24076954271537",""
"nicht erwerbstätig","1988","Hauptschule","2113","0.449230144071259","0.436366607010163","0.462093681132355",""
"nicht erwerbstätig","1988","Realschule","511","0.331646138053904","0.309272498491418","0.354019777616391",""
"Teilzeit","1988","(Fach-)Abitur","174","0.237489583725035","0.206766873786337","0.268212293663733",""
"Teilzeit","1988","(noch) kein Abschluss","109","0.093417697070359","0.0744888848139109","0.112346509326807",""
"Teilzeit","1988","AkademikerIn","145","0.209873830044198","0.179750227956513","0.239997432131884",""
"Teilzeit","1988","Hauptschule","1014","0.158514985100963","0.149070044505195","0.167959925696731",""
"Teilzeit","1988","Realschule","360","0.194611492453078","0.175797416631977","0.21342556827418",""
"Vollzeit","1988","(Fach-)Abitur","286","0.362411763274165","0.327707275569659","0.397116250978671",""
"Vollzeit","1988","(noch) kein Abschluss","337","0.235338023038756","0.207745846196137","0.262930199881376",""
"Vollzeit","1988","AkademikerIn","427","0.579518815038471","0.543002529953686","0.616035100123255",""
"Vollzeit","1988","Hauptschule","2617","0.392254870827778","0.379628289179412","0.404881452476143",""
"Vollzeit","1988","Realschule","830","0.473742369493018","0.45001408989469","0.497470649091346",""
"nicht erwerbstätig","1989","(Fach-)Abitur","281","0.388251678589075","0.353465599318688","0.423037757859463",""
"nicht erwerbstätig","1989","(noch) kein Abschluss","451","0.649783921912106","0.618408170981173","0.681159672843039",""
"nicht erwerbstätig","1989","AkademikerIn","125","0.21686846808488","0.186295617001901","0.247441319167859",""
"nicht erwerbstätig","1989","Hauptschule","2018","0.449769195957996","0.436614795238342","0.46292359667765",""
"nicht erwerbstätig","1989","Realschule","482","0.330172235210355","0.307487881944019","0.352856588476692",""
"Teilzeit","1989","(Fach-)Abitur","162","0.215866699024184","0.186500334027908","0.24523306402046",""
"Teilzeit","1989","(noch) kein Abschluss","128","0.131886296393281","0.109631186128541","0.15414140665802",""
"Teilzeit","1989","AkademikerIn","137","0.182997557083511","0.154312567047945","0.211682547119076",""
"Teilzeit","1989","Hauptschule","910","0.151059754266255","0.141590479646738","0.160529028885771",""
"Teilzeit","1989","Realschule","334","0.185145381368839","0.166409632288768","0.203881130448909",""
"Vollzeit","1989","(Fach-)Abitur","311","0.395881622386741","0.360975137877275","0.430788106896206",""
"Vollzeit","1989","(noch) kein Abschluss","309","0.218329781694613","0.191158515251392","0.245501048137834",""
"Vollzeit","1989","AkademikerIn","436","0.600133974831609","0.563792567672673","0.636475381990546",""
