"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","17-34","(Fach-)Abitur","7.14","7.5","998","4","6","9","10","10","7.01","7.27","0","10","7","8"
"2008","17-34","(noch) kein Abschluss","7.57","7.5","388","5","6","9","10","10","7.36","7.78","1","10","8","8"
"2008","17-34","AkademikerIn","7.35","7.5","527","5","6","9","10","10","7.19","7.51","1","10","8","8"
"2008","17-34","Hauptschule","7.24","7.5","724","4","6","9","10","10","7.07","7.41","0","10","7","8"
"2008","17-34","Realschule","7.14","7.5","1266","4","6","9","10","10","7.02","7.26","0","10","8","8"
"2008","35-65","(Fach-)Abitur","6.7","6.5","987","3","5","8","9","10","6.56","6.84","0","10","7","7"
"2008","35-65","(noch) kein Abschluss","5.85","6.5","100","2","4","8","9","10","5.34","6.36","0","10","6","7"
"2008","35-65","AkademikerIn","6.91","6.5","2794","4","6","8","9","10","6.83","6.99","0","10","7","8"
"2008","35-65","Hauptschule","6.5","6.5","3455","3","5","8","9","10","6.42","6.58","0","10","7","7"
"2008","35-65","Realschule","6.61","6.5","3300","3","5","8","9","10","6.53","6.69","0","10","7","7"
"2008","66 +","(Fach-)Abitur","6.78","7.5","183","3","5","9","10","10","6.4","7.16","0","10","7","8"
"2008","66 +","(noch) kein Abschluss","6.32","6.5","55","3","5","8","9","10","5.71","6.93","0","10","6","8"
"2008","66 +","AkademikerIn","6.81","6.5","866","3","5","8","10","10","6.66","6.96","0","10","7","7"
"2008","66 +","Hauptschule","6.36","6.5","2622","3","5","8","9","10","6.27","6.45","0","10","7","7"
"2008","66 +","Realschule","6.62","6.5","548","3","5","8","10","10","6.43","6.81","0","10","7","7"
"2009","17-34","(Fach-)Abitur","7.26","7.5","917","5","6","9","10","10","7.13","7.39","0","10","8","8"
"2009","17-34","(noch) kein Abschluss","7.62","7.5","337","5","7","9","10","10","7.41","7.83","1","10","8","8"
"2009","17-34","AkademikerIn","7.34","7.5","536","5","6","9","10","10","7.17","7.51","0","10","7","8"
"2009","17-34","Hauptschule","7.25","7.5","631","4","6","9","10","10","7.08","7.42","1","10","7","8"
"2009","17-34","Realschule","7.08","7.5","1119","4","6","9","10","10","6.96","7.2","0","10","7","8"
"2009","35-65","(Fach-)Abitur","6.62","6.5","915","3","5","8","9","10","6.47","6.77","0","10","7","7"
"2009","35-65","(noch) kein Abschluss","5.75","4.5","90","3","4","8","9","10","5.23","6.27","0","10","6","7"
"2009","35-65","AkademikerIn","6.97","6.5","2615","4","6","9","10","10","6.89","7.05","0","10","7","8"
"2009","35-65","Hauptschule","6.46","6.5","3086","3","5","8","9","10","6.38","6.54","0","10","7","7"
"2009","35-65","Realschule","6.56","6.5","3132","3","5","8","9","10","6.48","6.64","0","10","7","7"
"2009","66 +","(Fach-)Abitur","6.59","6.5","168","3","5","9","9","10","6.24","6.94","0","10","7","8"
"2009","66 +","(noch) kein Abschluss","6.02","6.5","53","2","4","8","8","10","5.36","6.68","0","10","5","8"
"2009","66 +","AkademikerIn","6.61","6.5","879","3","5","9","10","10","6.46","6.76","0","10","7","8"
"2009","66 +","Hauptschule","6.26","6.5","2483","3","5","8","9","10","6.17","6.35","0","10","7","7"
"2009","66 +","Realschule","6.59","6.5","557","3","5","8","10","10","6.39","6.79","0","10","7","7"
"2010","17-34","(Fach-)Abitur","7.35","7.5","1341","5","6","9","10","10","7.23","7.47","0","10","7","8"
"2010","17-34","(noch) kein Abschluss","7.15","7.5","550","3","6","9","10","10","6.97","7.33","0","10","7","8"
"2010","17-34","AkademikerIn","7.29","7.5","917","4","6","9","10","10","7.15","7.43","1","10","7","8"
"2010","17-34","Hauptschule","7.22","7.5","1350","4","6","9","10","10","7.09","7.35","0","10","7","8"
"2010","17-34","Realschule","7","7.5","1981","4","5","9","10","10","6.9","7.1","0","10","7","8"
"2010","35-65","(Fach-)Abitur","6.7","6.5","1547","3","5","8","9","10","6.59","6.81","0","10","7","7"
"2010","35-65","(noch) kein Abschluss","5.74","5.5","172","2","3","8","10","10","5.33","6.15","0","10","5","7"
"2010","35-65","AkademikerIn","6.93","6.5","3556","4","5","8","10","10","6.86","7","0","10","7","7"
"2010","35-65","Hauptschule","6.36","6.5","3821","3","5","8","9","10","6.28","6.44","0","10","7","7"
"2010","35-65","Realschule","6.63","6.5","4220","3","5","8","9","10","6.56","6.7","0","10","7","7"
"2010","66 +","(Fach-)Abitur","6.87","6.5","169","3","5","9","10","10","6.51","7.23","0","10","7","8"
"2010","66 +","(noch) kein Abschluss","5.54","4.5","49","3","4","8","9","10","4.85","6.23","1","10","5","7"
"2010","66 +","AkademikerIn","6.68","6.5","896","3","5","9","10","10","6.53","6.83","0","10","7","7"
"2010","66 +","Hauptschule","6.29","6.5","2313","3","5","8","9","10","6.19","6.39","0","10","7","7"
"2010","66 +","Realschule","6.51","6.5","577","3","5","8","9","10","6.32","6.7","1","10","7","8"
