"plb0218","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Schleswig-Holstein","maennlich","42","0.212168406002631","0.152933241414834","0.271403570590429"
"Nein, nie","2005","Schleswig-Holstein","weiblich","75","0.442628571895021","0.368614020233905","0.516643123556137"
"Nein, nie","2005","Hamburg","maennlich","31","0.357647039043265","0.256930070207118","0.458364007879412"
"Nein, nie","2005","Hamburg","weiblich","38","0.593979339894083","0.478936708416875","0.709021971371292"
"Nein, nie","2005","Niedersachsen","maennlich","136","","",""
"Nein, nie","2005","Niedersachsen","weiblich","195","","",""
"Nein, nie","2005","Bremen","maennlich","7","0.170812774705644","0.0443114400587834","0.297314109352505"
"Nein, nie","2005","Bremen","weiblich","13","","",""
"Nein, nie","2005","Nordrhein-Westfalen","maennlich","429","0.320770960970062","0.29543630912881","0.346105612811315"
"Nein, nie","2005","Nordrhein-Westfalen","weiblich","543","0.47074789951848","0.441264339466085","0.500231459570875"
"Nein, nie","2005","Hessen","maennlich","123","","",""
"Nein, nie","2005","Hessen","weiblich","166","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","maennlich","123","","",""
"Nein, nie","2005","Rheinland-Pfalz,Saarland","weiblich","145","","",""
"Nein, nie","2005","Baden-Wuerttemberg","maennlich","287","","",""
"Nein, nie","2005","Baden-Wuerttemberg","weiblich","313","0.456428897722028","0.417221592559508","0.495636202884548"
"Nein, nie","2005","Bayern","maennlich","300","0.335521529046362","0.304377959179296","0.366665098913428"
"Nein, nie","2005","Bayern","weiblich","411","0.479057531003934","0.445314758552796","0.512800303455071"
"Nein, nie","2005","Saarland","maennlich","","","",""
"Nein, nie","2005","Saarland","weiblich","","","",""
"Nein, nie","2005","Berlin","maennlich","65","0.301120126878285","0.240223813246512","0.362016440510057"
"Nein, nie","2005","Berlin","weiblich","83","0.466005228738151","0.394886974712522","0.53712348276378"
"Nein, nie","2005","Brandenburg","maennlich","64","0.264098630991832","0.206622602439563","0.321574659544101"
"Nein, nie","2005","Brandenburg","weiblich","87","0.369771327397811","0.3056894038861","0.433853250909521"
"Nein, nie","2005","Mecklenburg-Vorpommern","maennlich","33","0.320811813943674","0.239628557376929","0.401995070510418"
"Nein, nie","2005","Mecklenburg-Vorpommern","weiblich","59","0.444348233833576","0.359258821956729","0.529437645710423"
"Nein, nie","2005","Sachsen","maennlich","91","0.205200822411443","0.166485916942626","0.243915727880259"
