"plb0218","year","migback","n","percent","lower_confidence","upper_confidence","NA"
"Nein, nie","2005","kein Migrationshintergrund","3565","0.360795121992362","0.351264810746795","0.370325433237929",""
"Nein, nie","2005","direkter Migrationshintergrund","511","0.395317238343838","0.367666084556101","0.422968392131575",""
"Nein, nie","2005","indirekter Migrationshintergrund","200","0.413698974141937","0.369031417195487","0.458366531088388",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2005","kein Migrationshintergrund","1380","0.150205622602793","0.143115451156257","0.157295794049329",""
"Ja, jede Woche","2005","direkter Migrationshintergrund","151","0.131908597228805","0.112770627388058","0.151046567069551",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","71","0.144767334300968","0.112854374900087","0.17668029370185",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","1356","0.145160387635699","0.138169648533012","0.152151126738385",""
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","167","0.149829119826479","0.129644163493426","0.170014076159532",""
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","67","0.151967180055658","0.119408193137893","0.184526166973424",""
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","885","0.089774016043481","0.0841010960741414","0.0954469360128207",""
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","117","0.0934699953549186","0.0770071920466315","0.109932798663206",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","42","0.0973947408501315","0.0705037791752399","0.124285702525023",""
"Ja, alle 3-4 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2005","kein Migrationshintergrund","2568","0.254064851725665","0.245425532039364","0.262704171411967",""
"Seltener","2005","direkter Migrationshintergrund","255","0.229475049245959","0.20569363508382","0.253256463408099",""
"Seltener","2005","indirekter Migrationshintergrund","87","0.192171770651304","0.156436756428192","0.227906784874416",""
"Seltener","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2006","kein Migrationshintergrund","","","","",""
"Nein, nie","2006","direkter Migrationshintergrund","","","","",""
"Nein, nie","2006","indirekter Migrationshintergrund","","","","",""
"Nein, nie","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2006","kein Migrationshintergrund","","","","",""
"Ja, jede Woche","2006","direkter Migrationshintergrund","","","","",""
"Ja, jede Woche","2006","indirekter Migrationshintergrund","","","","",""
"Ja, jede Woche","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2006","kein Migrationshintergrund","","","","",""
"Ja, alle 2 Wochen","2006","direkter Migrationshintergrund","","","","",""
"Ja, alle 2 Wochen","2006","indirekter Migrationshintergrund","","","","",""
"Ja, alle 2 Wochen","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2006","kein Migrationshintergrund","","","","",""
"Ja, alle 3-4 Wochen","2006","direkter Migrationshintergrund","","","","",""
"Ja, alle 3-4 Wochen","2006","indirekter Migrationshintergrund","","","","",""
"Ja, alle 3-4 Wochen","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2006","kein Migrationshintergrund","","","","",""
"Seltener","2006","direkter Migrationshintergrund","","","","",""
"Seltener","2006","indirekter Migrationshintergrund","","","","",""
"Seltener","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2007","kein Migrationshintergrund","3503","0.346157017507268","0.336786105402551","0.355527929611985",""
"Nein, nie","2007","direkter Migrationshintergrund","431","0.415237142336152","0.385862456485613","0.444611828186691",""
"Nein, nie","2007","indirekter Migrationshintergrund","218","0.424688358039893","0.38109991306951","0.468276803010276",""
"Nein, nie","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2007","kein Migrationshintergrund","1473","0.148641918550001","0.141634866503724","0.155648970596279",""
"Ja, jede Woche","2007","direkter Migrationshintergrund","138","0.129342585872555","0.109337995402914","0.149347176342196",""
"Ja, jede Woche","2007","indirekter Migrationshintergrund","78","0.187828033731244","0.153385997436055","0.222270070026432",""
"Ja, jede Woche","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2007","kein Migrationshintergrund","1445","0.153216466713758","0.146121547017359","0.160311386410157",""
"Ja, alle 2 Wochen","2007","direkter Migrationshintergrund","186","0.169937960211375","0.147548907377248","0.192327013045501",""
"Ja, alle 2 Wochen","2007","indirekter Migrationshintergrund","59","0.120020615550928","0.0913624233894947","0.148678807712361",""
"Ja, alle 2 Wochen","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2007","kein Migrationshintergrund","957","0.0991610157449242","0.0932738992433046","0.105048132246544",""
"Ja, alle 3-4 Wochen","2007","direkter Migrationshintergrund","101","0.0792379230826038","0.063136083418005","0.0953397627472025",""
"Ja, alle 3-4 Wochen","2007","indirekter Migrationshintergrund","53","0.13470854732326","0.104601830352024","0.164815264294496",""
"Ja, alle 3-4 Wochen","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2007","kein Migrationshintergrund","2523","0.252823581484049","0.244262494123912","0.261384668844185",""
"Seltener","2007","direkter Migrationshintergrund","225","0.206244388497314","0.182124809729282","0.230363967265347",""
"Seltener","2007","indirekter Migrationshintergrund","86","0.132754445354676","0.102833163576347","0.162675727133005",""
"Seltener","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2008","kein Migrationshintergrund","","","","",""
"Nein, nie","2008","direkter Migrationshintergrund","","","","",""
"Nein, nie","2008","indirekter Migrationshintergrund","","","","",""
"Nein, nie","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2008","kein Migrationshintergrund","","","","",""
"Ja, jede Woche","2008","direkter Migrationshintergrund","","","","",""
"Ja, jede Woche","2008","indirekter Migrationshintergrund","","","","",""
"Ja, jede Woche","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2008","kein Migrationshintergrund","","","","",""
"Ja, alle 2 Wochen","2008","direkter Migrationshintergrund","","","","",""
"Ja, alle 2 Wochen","2008","indirekter Migrationshintergrund","","","","",""
"Ja, alle 2 Wochen","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2008","kein Migrationshintergrund","","","","",""
"Ja, alle 3-4 Wochen","2008","direkter Migrationshintergrund","","","","",""
"Ja, alle 3-4 Wochen","2008","indirekter Migrationshintergrund","","","","",""
"Ja, alle 3-4 Wochen","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2008","kein Migrationshintergrund","","","","",""
"Seltener","2008","direkter Migrationshintergrund","","","","",""
"Seltener","2008","indirekter Migrationshintergrund","","","","",""
"Seltener","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2009","kein Migrationshintergrund","3120","0.345728913048186","0.335823422182484","0.355634403913888",""
"Nein, nie","2009","direkter Migrationshintergrund","361","0.424636480212822","0.391866801255655","0.457406159169988",""
"Nein, nie","2009","indirekter Migrationshintergrund","196","0.420487055145848","0.375179194547164","0.465794915744532",""
"Nein, nie","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2009","kein Migrationshintergrund","1333","0.15070596771923","0.143254813567182","0.158157121871278",""
"Ja, jede Woche","2009","direkter Migrationshintergrund","146","0.179922066203783","0.154455983053644","0.205388149353923",""
"Ja, jede Woche","2009","indirekter Migrationshintergrund","81","0.190716540091658","0.154657830443359","0.226775249739957",""
"Ja, jede Woche","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2009","kein Migrationshintergrund","1257","0.150269735224369","0.14282746232479","0.157712008123948",""
"Ja, alle 2 Wochen","2009","direkter Migrationshintergrund","130","0.13960608287335","0.116629088854838","0.162583076891861",""
"Ja, alle 2 Wochen","2009","indirekter Migrationshintergrund","69","0.156415215597959","0.123074912981682","0.189755518214235",""
"Ja, alle 2 Wochen","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2009","kein Migrationshintergrund","823","0.0907720535902929","0.0847887401335122","0.0967553670470737",""
"Ja, alle 3-4 Wochen","2009","direkter Migrationshintergrund","61","0.0784405859227156","0.0606157943951912","0.09626537745024",""
"Ja, alle 3-4 Wochen","2009","indirekter Migrationshintergrund","27","","","",""
"Ja, alle 3-4 Wochen","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2009","kein Migrationshintergrund","2323","0.262523330417922","0.253359281843002","0.271687378992843",""
"Seltener","2009","direkter Migrationshintergrund","176","0.17739478478733","0.152069255655895","0.202720313918764",""
"Seltener","2009","indirekter Migrationshintergrund","83","0.181855664784899","0.146452339902308","0.217258989667491",""
"Seltener","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2010","kein Migrationshintergrund","1229","0.361853693803079","0.346039606508883","0.377667781097276",""
"Nein, nie","2010","direkter Migrationshintergrund","212","0.304664629629736","0.270974964618525","0.338354294640948",""
"Nein, nie","2010","indirekter Migrationshintergrund","93","0.33858961944062","0.280845127975178","0.396334110906062",""
"Nein, nie","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2010","kein Migrationshintergrund","486","0.130669235481726","0.11957757170247","0.141760899260982",""
"Ja, jede Woche","2010","direkter Migrationshintergrund","108","0.143850531159782","0.118163196496308","0.169537865823256",""
"Ja, jede Woche","2010","indirekter Migrationshintergrund","39","0.153076125967793","0.109140769229616","0.197011482705969",""
"Ja, jede Woche","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2010","kein Migrationshintergrund","569","0.159788243601306","0.147729993558234","0.171846493644378",""
"Ja, alle 2 Wochen","2010","direkter Migrationshintergrund","144","0.193617792860192","0.164695573614738","0.222540012105647",""
"Ja, alle 2 Wochen","2010","indirekter Migrationshintergrund","46","0.17390750514201","0.127657504966943","0.220157505317078",""
"Ja, alle 2 Wochen","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2010","kein Migrationshintergrund","327","0.0892252662010263","0.0798438822635271","0.0986066501385256",""
"Ja, alle 3-4 Wochen","2010","direkter Migrationshintergrund","83","0.12213393078094","0.0981665369534674","0.146101324608413",""
"Ja, alle 3-4 Wochen","2010","indirekter Migrationshintergrund","23","","","",""
"Ja, alle 3-4 Wochen","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2010","kein Migrationshintergrund","936","0.258463560912862","0.244056234122823","0.272870887702902",""
"Seltener","2010","direkter Migrationshintergrund","170","0.235733115569349","0.204664540709976","0.266801690428721",""
"Seltener","2010","indirekter Migrationshintergrund","57","0.232709041106113","0.181147616655729","0.284270465556497",""
"Seltener","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2011","kein Migrationshintergrund","5314","0.370043108904674","0.362087902594471","0.377998315214878",""
"Nein, nie","2011","direkter Migrationshintergrund","688","0.394777346581178","0.371966967641676","0.417587725520679",""
"Nein, nie","2011","indirekter Migrationshintergrund","311","0.374162878088116","0.341021760556096","0.407303995620136",""
"Nein, nie","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2011","kein Migrationshintergrund","2032","0.145279459609048","0.139473365786927","0.151085553431169",""
"Ja, jede Woche","2011","direkter Migrationshintergrund","264","0.147714348853781","0.131156545089167","0.164272152618396",""
"Ja, jede Woche","2011","indirekter Migrationshintergrund","135","0.193062365763183","0.166030567520285","0.220094164006081",""
"Ja, jede Woche","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2011","kein Migrationshintergrund","2183","0.150358780132245","0.144469637744903","0.156247922519588",""
"Ja, alle 2 Wochen","2011","direkter Migrationshintergrund","304","0.176509284951085","0.158717810888285","0.194300759013884",""
"Ja, alle 2 Wochen","2011","indirekter Migrationshintergrund","129","0.172234746661843","0.146375246771947","0.198094246551739",""
"Ja, alle 2 Wochen","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2011","kein Migrationshintergrund","1304","0.0909780745988058","0.0862397433195666","0.095716405878045",""
"Ja, alle 3-4 Wochen","2011","direkter Migrationshintergrund","166","0.0973892871946444","0.0835534757090136","0.111225098680275",""
"Ja, alle 3-4 Wochen","2011","indirekter Migrationshintergrund","82","0.0895955376301969","0.0700356426375177","0.109155432622876",""
"Ja, alle 3-4 Wochen","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Seltener","2011","kein Migrationshintergrund","3317","0.243340576755226","0.236270447393315","0.250410706117137",""
"Seltener","2011","direkter Migrationshintergrund","342","0.183609732419312","0.165542336613505","0.20167712822512",""
"Seltener","2011","indirekter Migrationshintergrund","162","0.170944471856661","0.145161944911835","0.196726998801487",""
"Seltener","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein, nie","2012","kein Migrationshintergrund","1658","0.40386478810976","0.388889363498798","0.418840212720723",""
"Nein, nie","2012","direkter Migrationshintergrund","273","0.382868434463533","0.347313528819157","0.418423340107908",""
"Nein, nie","2012","indirekter Migrationshintergrund","117","0.390766806268564","0.336364230458271","0.445169382078857",""
"Nein, nie","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, jede Woche","2012","kein Migrationshintergrund","597","0.139951603616564","0.12936298886615","0.150540218366977",""
"Ja, jede Woche","2012","direkter Migrationshintergrund","106","0.142049560982853","0.116514498950853","0.167584623014853",""
"Ja, jede Woche","2012","indirekter Migrationshintergrund","41","0.145957265338228","0.106591245095788","0.185323285580668",""
"Ja, jede Woche","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 2 Wochen","2012","kein Migrationshintergrund","652","0.15425573823687","0.143231998357063","0.165279478116677",""
"Ja, alle 2 Wochen","2012","direkter Migrationshintergrund","141","0.228268794816625","0.197568526401852","0.258969063231398",""
"Ja, alle 2 Wochen","2012","indirekter Migrationshintergrund","66","0.210587745544241","0.165126918653256","0.256048572435226",""
"Ja, alle 2 Wochen","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja, alle 3-4 Wochen","2012","kein Migrationshintergrund","366","0.0894690616909958","0.0807579705515976","0.0981801528303941",""
"Ja, alle 3-4 Wochen","2012","direkter Migrationshintergrund","79","0.102036250940062","0.0798954912754762","0.124177010604648",""
"Ja, alle 3-4 Wochen","2012","indirekter Migrationshintergrund","26","","","",""
