"plb0218","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","kein Migrationshintergrund","Staedtischer Raum","2398","0.378025055894545","0.366002700371626","0.390047411417464"
"Nein, nie","2005","kein Migrationshintergrund","Laendlicher Raum","1167","0.326883795503466","0.311354712947233","0.342412878059698"
"Nein, nie","2005","direkter Migrationshintergrund","Staedtischer Raum","432","0.395039540764037","0.364935336850917","0.425143744677158"
"Nein, nie","2005","direkter Migrationshintergrund","Laendlicher Raum","79","0.396738452091142","0.326806744055027","0.466670160127256"
"Nein, nie","2005","indirekter Migrationshintergrund","Staedtischer Raum","173","0.410951333668071","0.36315201876267","0.458750648573472"
"Nein, nie","2005","indirekter Migrationshintergrund","Laendlicher Raum","27","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2005","kein Migrationshintergrund","Staedtischer Raum","825","0.13839205958325","0.129830492550141","0.146953626616358"
"Ja, jede Woche","2005","kein Migrationshintergrund","Laendlicher Raum","555","0.173456645782988","0.160921413933387","0.185991877632588"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Staedtischer Raum","133","0.141520362924108","0.12005600833193","0.162984717516286"
"Ja, jede Woche","2005","direkter Migrationshintergrund","Laendlicher Raum","18","","",""
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Staedtischer Raum","66","0.158026599398551","0.12258892859383","0.193464270203272"
"Ja, jede Woche","2005","indirekter Migrationshintergrund","Laendlicher Raum","5","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, jede Woche","2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Staedtischer Raum","817","0.139641191416413","0.131047309020978","0.148235073811849"
"Ja, alle 2 Wochen","2005","kein Migrationshintergrund","Laendlicher Raum","539","0.156023068015729","0.14400972784243","0.168036408189027"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Staedtischer Raum","138","0.150712879756535","0.128681290746821","0.172744468766248"
"Ja, alle 2 Wochen","2005","direkter Migrationshintergrund","Laendlicher Raum","29","","",""
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","Staedtischer Raum","53","0.128708991197293","0.0961750298919809","0.161242952502605"
"Ja, alle 2 Wochen","2005","indirekter Migrationshintergrund","Laendlicher Raum","14","","",""
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","Staedtischer Raum","534","0.0841623020507784","0.077278777118981","0.0910458269825758"
"Ja, alle 3-4 Wochen","2005","kein Migrationshintergrund","Laendlicher Raum","351","0.100818786525434","0.0908510069599148","0.110786566090954"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","Staedtischer Raum","100","0.0935421084794318","0.0756104374458877","0.111473779512976"
"Ja, alle 3-4 Wochen","2005","direkter Migrationshintergrund","Laendlicher Raum","17","","",""
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","Staedtischer Raum","39","0.109064705221233","0.0787805067744737","0.139348903667992"
"Ja, alle 3-4 Wochen","2005","indirekter Migrationshintergrund","Laendlicher Raum","3","","",""
"Ja, alle 3-4 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","2005","kein Migrationshintergrund","Staedtischer Raum","1675","0.259779391055013","0.248906982537847","0.27065179957218"
"Seltener","2005","kein Migrationshintergrund","Laendlicher Raum","893","0.242817704172384","0.228622407298358","0.257013001046409"
"Seltener","2005","direkter Migrationshintergrund","Staedtischer Raum","210","0.219185108075888","0.193709595310777","0.244660620840999"
"Seltener","2005","direkter Migrationshintergrund","Laendlicher Raum","45","0.282137394594241","0.217806416046242","0.34646837314224"
"Seltener","2005","indirekter Migrationshintergrund","Staedtischer Raum","76","0.193248370514852","0.154888358692775","0.231608382336929"
"Seltener","2005","indirekter Migrationshintergrund","Laendlicher Raum","11","","",""
"Seltener","2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nein, nie","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","2006","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","2006","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2006","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","2006","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2006","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","2006","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nein, nie","2007","kein Migrationshintergrund","Staedtischer Raum","2335","0.363268583709254","0.35134327473154","0.375193892686969"
"Nein, nie","2007","kein Migrationshintergrund","Laendlicher Raum","1168","0.314411272758517","0.29935546213992","0.329467083377113"
"Nein, nie","2007","direkter Migrationshintergrund","Staedtischer Raum","352","0.410112241095521","0.37761527531322","0.442609206877822"
"Nein, nie","2007","direkter Migrationshintergrund","Laendlicher Raum","79","0.435100699739961","0.366562850549244","0.503638548930678"
"Nein, nie","2007","indirekter Migrationshintergrund","Staedtischer Raum","185","0.438228270337363","0.390719781665011","0.485736759009714"
"Nein, nie","2007","indirekter Migrationshintergrund","Laendlicher Raum","33","0.347133807894986","0.239393551338088","0.454874064451883"
"Nein, nie","2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2007","kein Migrationshintergrund","Staedtischer Raum","897","0.143853180800609","0.13515133388297","0.152555027718248"
"Ja, jede Woche","2007","kein Migrationshintergrund","Laendlicher Raum","576","0.157526087565651","0.145712610865368","0.169339564265934"
"Ja, jede Woche","2007","direkter Migrationshintergrund","Staedtischer Raum","116","0.135429720963606","0.112821629696465","0.158037812230748"
"Ja, jede Woche","2007","direkter Migrationshintergrund","Laendlicher Raum","22","","",""
"Ja, jede Woche","2007","indirekter Migrationshintergrund","Staedtischer Raum","65","0.183114476063025","0.146081977140817","0.220146974985234"
"Ja, jede Woche","2007","indirekter Migrationshintergrund","Laendlicher Raum","13","","",""
