"plb0218","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","kein Migrationshintergrund","21","","",""
"Nein, nie","2005","(noch) kein Abschluss","direkter Migrationshintergrund","23","","",""
"Nein, nie","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","5","0.81912733305998","0.552401378774996","1.08585328734496"
"Nein, nie","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Hauptschule","kein Migrationshintergrund","859","0.368611222607618","0.349249829394397","0.38797261582084"
"Nein, nie","2005","Hauptschule","direkter Migrationshintergrund","253","","",""
"Nein, nie","2005","Hauptschule","indirekter Migrationshintergrund","61","0.393615128004765","0.315948157224857","0.471282098784672"
"Nein, nie","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","Realschule","kein Migrationshintergrund","1235","","",""
"Nein, nie","2005","Realschule","direkter Migrationshintergrund","50","0.369780069870842","0.28267871630198","0.456881423439703"
"Nein, nie","2005","Realschule","indirekter Migrationshintergrund","61","0.420216109095317","0.338744188283708","0.501688029906926"
"Nein, nie","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","(Fach-)Abitur","kein Migrationshintergrund","480","0.44672655113685","0.417440212624134","0.476012889649565"
"Nein, nie","2005","(Fach-)Abitur","direkter Migrationshintergrund","88","0.347164172370977","0.285233670093834","0.40909467464812"
"Nein, nie","2005","(Fach-)Abitur","indirekter Migrationshintergrund","41","0.466968780970778","0.357642809810147","0.576294752131408"
"Nein, nie","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein, nie","2005","AkademikerIn","kein Migrationshintergrund","909","0.330124840201869","0.312267489839489","0.34798219056425"
"Nein, nie","2005","AkademikerIn","direkter Migrationshintergrund","88","0.411880995773401","0.34499504464661","0.478766946900192"
"Nein, nie","2005","AkademikerIn","indirekter Migrationshintergrund","15","","",""
"Nein, nie","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","kein Migrationshintergrund","20","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","direkter Migrationshintergrund","8","0.21857288757814","0.100420760477243","0.336725014679036"
"Ja, jede Woche","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","Hauptschule","kein Migrationshintergrund","413","0.175246447921961","0.159988693916712","0.190504201927211"
"Ja, jede Woche","2005","Hauptschule","direkter Migrationshintergrund","77","0.148447867519339","0.119562413326199","0.177333321712479"
"Ja, jede Woche","2005","Hauptschule","indirekter Migrationshintergrund","22","","",""
"Ja, jede Woche","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","Realschule","kein Migrationshintergrund","431","0.139616011782542","0.127928231408101","0.151303792156983"
"Ja, jede Woche","2005","Realschule","direkter Migrationshintergrund","9","0.0676126989472347","0.0223104879514886","0.112914909942981"
"Ja, jede Woche","2005","Realschule","indirekter Migrationshintergrund","24","","",""
"Ja, jede Woche","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","kein Migrationshintergrund","108","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","direkter Migrationshintergrund","30","0.115651257168838","0.0740484991420262","0.157254015195649"
"Ja, jede Woche","2005","(Fach-)Abitur","indirekter Migrationshintergrund","11","","",""
"Ja, jede Woche","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
