"pli0096_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Taeglich","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1985","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1985","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1985","Realschule","Staedtischer Raum","","","",""
"Taeglich","1985","Realschule","Laendlicher Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1985","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1985","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Staedtischer Raum","31","0.0715456443753239","0.0550166462034944","0.0880746425471534"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Min 1x pro Woche","1985","Hauptschule","Staedtischer Raum","292","0.0669721414252027","0.0598960493625695","0.074048233487836"
"Min 1x pro Woche","1985","Hauptschule","Laendlicher Raum","107","0.0696276484297141","0.0569323268940349","0.0823229699653933"
"Min 1x pro Woche","1985","Realschule","Staedtischer Raum","142","0.0980030830492039","0.0823729351840938","0.113633230914314"
"Min 1x pro Woche","1985","Realschule","Laendlicher Raum","61","0.141946049974767","0.107914920624978","0.175977179324555"
"Min 1x pro Woche","1985","(Fach-)Abitur","Staedtischer Raum","71","0.121684184880734","0.0968741374750045","0.146494232286463"
"Min 1x pro Woche","1985","(Fach-)Abitur","Laendlicher Raum","10","","",""
"Min 1x pro Woche","1985","AkademikerIn","Staedtischer Raum","72","0.119477231294091","0.0939874699722152","0.144966992615968"
"Min 1x pro Woche","1985","AkademikerIn","Laendlicher Raum","17","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Min 1x pro Monat","1985","Hauptschule","Staedtischer Raum","235","0.0520948051420776","0.0458043982743846","0.0583852120097706"
"Min 1x pro Monat","1985","Hauptschule","Laendlicher Raum","100","0.0636269895450921","0.0514519725978685","0.0758020064923157"
"Min 1x pro Monat","1985","Realschule","Staedtischer Raum","97","0.0700285481698521","0.0566128567400897","0.0834442395996145"
"Min 1x pro Monat","1985","Realschule","Laendlicher Raum","35","0.0880359055646119","0.0604062038557909","0.115665607273433"
"Min 1x pro Monat","1985","(Fach-)Abitur","Staedtischer Raum","42","0.0676858154784825","0.0486217661635719","0.0867498647933931"
"Min 1x pro Monat","1985","(Fach-)Abitur","Laendlicher Raum","6","","",""
"Min 1x pro Monat","1985","AkademikerIn","Staedtischer Raum","64","0.0983996572884609","0.074992066006892","0.12180724857003"
"Min 1x pro Monat","1985","AkademikerIn","Laendlicher Raum","20","","",""
