"pli0096_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Taeglich","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Taeglich","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Taeglich","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Taeglich","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Taeglich","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Taeglich","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Nie","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Nie","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Nie","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
