"pli0096_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Taeglich","1985","(noch) kein Abschluss","","","",""
"Taeglich","1985","Hauptschule","","","",""
"Taeglich","1985","Realschule","","","",""
"Taeglich","1985","(Fach-)Abitur","","","",""
"Taeglich","1985","AkademikerIn","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","38","0.0735680506139455","0.0579619197243187","0.0891741815035722"
"Min 1x pro Woche","1985","Hauptschule","399","0.0676986961908182","0.0615136881050687","0.0738837042765677"
"Min 1x pro Woche","1985","Realschule","203","0.108242669403587","0.0938659610503026","0.122619377756872"
"Min 1x pro Woche","1985","(Fach-)Abitur","81","0.116595620729394","0.0940294185431913","0.139161822915598"
"Min 1x pro Woche","1985","AkademikerIn","89","0.121945163779452","0.0984165254274","0.145473802131504"
"Min 1x pro Monat","1985","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1985","Hauptschule","335","0.0552500457502672","0.0496253798048604","0.0608747116956739"
"Min 1x pro Monat","1985","Realschule","132","0.0742246210333488","0.0620945406351534","0.0863547014315443"
"Min 1x pro Monat","1985","(Fach-)Abitur","48","0.0665001829989443","0.0489813117695053","0.0840190542283833"
"Min 1x pro Monat","1985","AkademikerIn","84","0.110486424322126","0.0879448401612536","0.133028008482998"
"Seltener","1985","(noch) kein Abschluss","42","0.0724398303546885","0.0569444009118931","0.087935259797484"
"Seltener","1985","Hauptschule","465","0.073923840666749","0.0674823321293463","0.0803653492041516"
"Seltener","1985","Realschule","172","0.094024882603899","0.0805192041241109","0.107530561083687"
"Seltener","1985","(Fach-)Abitur","66","0.0963420598119194","0.0755954289480598","0.117088690675779"
"Seltener","1985","AkademikerIn","93","0.122302834852897","0.0987445160928704","0.145861153612924"
"Nie","1985","(noch) kein Abschluss","978","0.832545624842634","0.810225525160182","0.854865724525085"
"Nie","1985","Hauptschule","5139","0.803127417392166","0.793338000608703","0.812916834175628"
"Nie","1985","Realschule","1287","0.723507826959165","0.702811183916299","0.744204470002031"
"Nie","1985","(Fach-)Abitur","582","0.720562136459742","0.689010933202286","0.752113339717198"
"Nie","1985","AkademikerIn","477","0.645265577045525","0.610864297225412","0.679666856865638"
"Taeglich","1986","(noch) kein Abschluss","","","",""
"Taeglich","1986","Hauptschule","","","",""
"Taeglich","1986","Realschule","","","",""
"Taeglich","1986","(Fach-)Abitur","","","",""
"Taeglich","1986","AkademikerIn","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","38","0.0445738267128955","0.031878215996719","0.057269437429072"
"Min 1x pro Woche","1986","Hauptschule","380","0.0694512887585662","0.0630187534857486","0.0758838240313838"
"Min 1x pro Woche","1986","Realschule","170","0.097207569743224","0.0833597101037359","0.111055429382712"
"Min 1x pro Woche","1986","(Fach-)Abitur","83","0.107059540285261","0.0856476124573499","0.128471468113172"
"Min 1x pro Woche","1986","AkademikerIn","94","0.123969783280715","0.100226012260664","0.147713554300766"
"Min 1x pro Monat","1986","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1986","Hauptschule","350","0.062704666792981","0.0565704287455247","0.0688389048404374"
"Min 1x pro Monat","1986","Realschule","118","0.0663484054781712","0.0547139430264026","0.0779828679299397"
"Min 1x pro Monat","1986","(Fach-)Abitur","50","0.0719373879985525","0.0540437847376695","0.0898309912594355"
"Min 1x pro Monat","1986","AkademikerIn","74","0.0953159675107733","0.0741585077279346","0.116473427293612"
"Seltener","1986","(noch) kein Abschluss","34","0.0309583170549574","0.0203027891448298","0.041613844965085"
"Seltener","1986","Hauptschule","402","0.069412101655875","0.0629812459784335","0.0758429573333166"
"Seltener","1986","Realschule","170","0.0866586328146269","0.0735075613957269","0.099809704233527"
"Seltener","1986","(Fach-)Abitur","76","0.102751660804368","0.0817244054082355","0.1237789162005"
"Seltener","1986","AkademikerIn","77","0.10977046681355","0.0872474798418119","0.132293453785289"
"Nie","1986","(noch) kein Abschluss","923","0.89672760276435","0.878006239590859","0.915448965937841"
"Nie","1986","Hauptschule","4868","0.798431942792578","0.788281096011533","0.808582789573623"
"Nie","1986","Realschule","1300","0.749785391963978","0.729538261857619","0.770032522070337"
"Nie","1986","(Fach-)Abitur","592","0.718251410911819","0.687098333675475","0.749404488148163"
"Nie","1986","AkademikerIn","495","0.670943782394962","0.637089754466595","0.704797810323328"
"Taeglich","1987","(noch) kein Abschluss","","","",""
"Taeglich","1987","Hauptschule","","","",""
"Taeglich","1987","Realschule","","","",""
"Taeglich","1987","(Fach-)Abitur","","","",""
"Taeglich","1987","AkademikerIn","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","Hauptschule","","","",""
"Min 1x pro Woche","1987","Realschule","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","AkademikerIn","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","Hauptschule","","","",""
"Min 1x pro Monat","1987","Realschule","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","AkademikerIn","","","",""
"Seltener","1987","(noch) kein Abschluss","","","",""
"Seltener","1987","Hauptschule","","","",""
"Seltener","1987","Realschule","","","",""
"Seltener","1987","(Fach-)Abitur","","","",""
"Seltener","1987","AkademikerIn","","","",""
"Nie","1987","(noch) kein Abschluss","","","",""
"Nie","1987","Hauptschule","","","",""
"Nie","1987","Realschule","","","",""
"Nie","1987","(Fach-)Abitur","","","",""
"Nie","1987","AkademikerIn","","","",""
"Taeglich","1988","(noch) kein Abschluss","","","",""
"Taeglich","1988","Hauptschule","","","",""
"Taeglich","1988","Realschule","","","",""
"Taeglich","1988","(Fach-)Abitur","","","",""
"Taeglich","1988","AkademikerIn","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","39","0.0824946229059952","0.0645405926734965","0.100448653138494"
"Min 1x pro Woche","1988","Hauptschule","408","0.0773807875686172","0.0704204655385405","0.0843411095986939"
"Min 1x pro Woche","1988","Realschule","182","0.102895154154299","0.0884013986055693","0.117388909703029"
"Min 1x pro Woche","1988","(Fach-)Abitur","70","0.113581010428041","0.0905160201876377","0.136646000668444"
"Min 1x pro Woche","1988","AkademikerIn","99","0.144801236474567","0.118657772016224","0.170944700932909"
"Min 1x pro Monat","1988","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1988","Hauptschule","331","0.0616292705473487","0.0553648305546481","0.0678937105400493"
"Min 1x pro Monat","1988","Realschule","136","0.0801817956401098","0.0672263976490771","0.0931371936311426"
"Min 1x pro Monat","1988","(Fach-)Abitur","37","0.0494219603884743","0.0336663672195027","0.0651775535574459"
"Min 1x pro Monat","1988","AkademikerIn","77","0.107242020287036","0.0842544624459275","0.130229578128145"
"Seltener","1988","(noch) kein Abschluss","37","0.0533246096373157","0.038662069688114","0.0679871495865175"
"Seltener","1988","Hauptschule","462","0.0869293067083848","0.0795903077961746","0.0942683056205951"
"Seltener","1988","Realschule","160","0.0943914594182081","0.080443891813817","0.108339027022599"
"Seltener","1988","(Fach-)Abitur","88","0.120956103834986","0.0972532814874392","0.144658926182532"
"Seltener","1988","AkademikerIn","84","0.123214875748227","0.0987962269110274","0.147633524585426"
"Nie","1988","(noch) kein Abschluss","814","0.856928419728924","0.834078021013917","0.87977881844393"
"Nie","1988","Hauptschule","4460","0.774060635175649","0.763166695744506","0.784954574606793"
"Nie","1988","Realschule","1210","0.722531590787383","0.701171796678925","0.74389138489584"
"Nie","1988","(Fach-)Abitur","532","0.716040925348499","0.68326328510255","0.748818565594448"
"Nie","1988","AkademikerIn","436","0.62474186749017","0.588770343861153","0.660713391119187"
"Taeglich","1989","(noch) kein Abschluss","","","",""
