year,quintil_oecd,sampreg,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,West,At least once per week,0.010990256533092074,112,10858,0.010961255853908036,0.011019257212276113
1985,1st Quintile,West,At least once per month,0.008287450899303234,97,10858,0.008262233089921555,0.008312668708684913
1985,1st Quintile,West,Seldom,0.014457044126620792,159,10858,0.014423840807350907,0.014490247445890678
1985,1st Quintile,West,Never,0.15031396716268133,1839,10858,0.1502145565209674,0.15041337780439526
1985,2nd Quintile,West,At least once per week,0.014801914887779231,152,10858,0.014768323751111513,0.01483550602444695
1985,2nd Quintile,West,At least once per month,0.011205761885364436,107,10858,0.011176481443421165,0.011235042327307708
1985,2nd Quintile,West,Seldom,0.014263667839188192,148,10858,0.01423068409455253,0.014296651583823854
1985,2nd Quintile,West,Never,0.15058392354564337,1723,10858,0.15048443948316,0.15068340760812673
1985,3rd Quintile,West,At least once per week,0.01889497836048586,193,10858,0.01885710490614894,0.01893285181482278
1985,3rd Quintile,West,At least once per month,0.013250116507007663,129,10858,0.013218309898789747,0.013281923115225578
1985,3rd Quintile,West,Seldom,0.016693784266221284,162,10858,0.016658145245699984,0.016729423286742585
1985,3rd Quintile,West,Never,0.15225413166868748,1692,10858,0.15215419580887452,0.15235406752850045
1985,4th Quintile,West,At least once per week,0.01880492710332817,169,10858,0.018767142273074636,0.018842711933581707
1985,4th Quintile,West,At least once per month,0.012914512733609083,129,10858,0.01288310617399861,0.012945919293219555
1985,4th Quintile,West,Seldom,0.017093358030546235,180,10858,0.017057302341585184,0.017129413719507287
1985,4th Quintile,West,Never,0.15958425413051175,1722,10858,0.15948238418392682,0.15968612407709668
1985,5th Quintile,West,At least once per week,0.019613916463422143,188,10858,0.01957534334961548,0.019652489577228805
1985,5th Quintile,West,At least once per month,0.016528220825662295,158,10858,0.016492755988223643,0.016563685663100947
1985,5th Quintile,West,Seldom,0.020419842877508507,198,10858,0.020380501446160406,0.02045918430885661
1985,5th Quintile,West,Never,0.15904397015333682,1601,10858,0.15894224011277766,0.15914570019389598
1986,1st Quintile,West,At least once per week,0.01030705921093009,106,10442,0.010278973288981088,0.010335145132879092
1986,1st Quintile,West,At least once per month,0.008180918631429692,78,10442,0.00815586975045716,0.008205967512402225
1986,1st Quintile,West,Seldom,0.01312889908133076,124,10442,0.013097246040818874,0.013160552121842644
1986,1st Quintile,West,Never,0.15537845061366662,1737,10442,0.1552777116369862,0.15547918959034704
1986,2nd Quintile,West,At least once per week,0.0143386458833454,143,10442,0.014305586937809107,0.014371704828881695
1986,2nd Quintile,West,At least once per month,0.013263418365528887,129,10442,0.013231605747437137,0.013295230983620638
1986,2nd Quintile,West,Seldom,0.013890933271497657,137,10442,0.013858387149252216,0.013923479393743098
1986,2nd Quintile,West,Never,0.1476238307788348,1643,10442,0.14752518807955173,0.1477224734781179
1986,3rd Quintile,West,At least once per week,0.01813068209179473,175,10442,0.018093579437580016,0.018167784746009445
1986,3rd Quintile,West,At least once per month,0.012391987943717458,116,10442,0.01236122457744897,0.012422751309985948
1986,3rd Quintile,West,Seldom,0.015206479993566852,158,10442,0.015172450302893018,0.015240509684240686
1986,3rd Quintile,West,Never,0.15249987734777914,1633,10442,0.15239990596598899,0.1525998487295693
1986,4th Quintile,West,At least once per week,0.01832372326518148,167,10442,0.018286427280919684,0.018361019249443278
1986,4th Quintile,West,At least once per month,0.015680593671081634,149,10442,0.015646045875821617,0.01571514146634165
1986,4th Quintile,West,Seldom,0.016152036786306914,162,10442,0.016116981888465807,0.01618709168414802
1986,4th Quintile,West,Never,0.15974612071629812,1711,10442,0.15964424011811784,0.1598480013144784
1986,5th Quintile,West,At least once per week,0.01986077830389092,180,10442,0.01982197996975725,0.019899576638024587
1986,5th Quintile,West,At least once per month,0.015560279878052018,143,10442,0.015525862773660075,0.015594696982443961
1986,5th Quintile,West,Seldom,0.018552922607973636,186,10442,0.018515398474475107,0.018590446741472165
1986,5th Quintile,West,Never,0.16178236155779327,1565,10442,0.1616799579999337,0.16188476511565283
1988,1st Quintile,West,At least once per week,0.01327591892636533,113,9848,0.013244141505328402,0.013307696347402257
1988,1st Quintile,West,At least once per month,0.007170020908054869,73,9848,0.007146595555216962,0.007193446260892776
1988,1st Quintile,West,Seldom,0.0125382528176193,119,9848,0.012507359315696112,0.012569146319542488
1988,1st Quintile,West,Never,0.1540117823531676,1643,9848,0.15391156391749353,0.15411200078884166
1988,2nd Quintile,West,At least once per week,0.01486986778752401,146,9848,0.014836263952504118,0.014903471622543902
1988,2nd Quintile,West,At least once per month,0.012626606241456903,118,9848,0.01259560546884704,0.012657607014066766
1988,2nd Quintile,West,Seldom,0.01642028366001267,148,9848,0.016384999190009793,0.016455568130015547
1988,2nd Quintile,West,Never,0.1442799538105774,1552,9848,0.14418239705715744,0.14437751056399736
1988,3rd Quintile,West,At least once per week,0.018866328463862735,178,9848,0.018828554176949498,0.01890410275077597
1988,3rd Quintile,West,At least once per month,0.013189252667451589,116,9848,0.013157577748069063,0.013220927586834115
1988,3rd Quintile,West,Seldom,0.020329990990190155,197,9848,0.020290808052966697,0.020369173927413612
1988,3rd Quintile,West,Never,0.14536470453892886,1479,9848,0.14526684382357782,0.1454625652542799
1988,4th Quintile,West,At least once per week,0.021812311658301078,195,9848,0.021771756095543326,0.02185286722105883
