year,pgisced97,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Never,0.69586,131,131,0.61677,0.77494
1985,Primary Level,Never,0.91736,788,788,0.89812,0.93660
1985,Lower Secondary Level,At least once per week,0.05286,146,3008,0.04486,0.06086
1985,Lower Secondary Level,At least once per month,0.03953,114,3008,0.03257,0.04650
1985,Lower Secondary Level,Seldom,0.06253,188,3008,0.05388,0.07119
1985,Lower Secondary Level,Never,0.82646,2560,3008,0.81292,0.83999
1985,Upper Secondary Level,At least once per week,0.08718,439,5117,0.07945,0.09491
1985,Upper Secondary Level,At least once per month,0.06592,324,5117,0.05912,0.07272
1985,Upper Secondary Level,Seldom,0.08523,437,5117,0.07758,0.09289
1985,Upper Secondary Level,Never,0.74915,3917,5117,0.73727,0.76103
1985,Post-secondary Non-tertiary Level,Never,0.72440,201,201,0.66247,0.78632
1985,First Stage of Tertiary Education,At least once per week,0.12241,75,608,0.09633,0.14848
1985,First Stage of Tertiary Education,At least once per month,0.08441,57,608,0.06230,0.10653
1985,First Stage of Tertiary Education,Seldom,0.10533,64,608,0.08091,0.12976
1985,First Stage of Tertiary Education,Never,0.67313,412,608,0.63581,0.71045
1985,Second Stage of Tertiary Education,At least once per week,0.12002,89,743,0.09663,0.14340
1985,Second Stage of Tertiary Education,At least once per month,0.10880,84,743,0.08639,0.13120
1985,Second Stage of Tertiary Education,Seldom,0.12040,93,743,0.09698,0.14381
1985,Second Stage of Tertiary Education,Never,0.63488,477,743,0.60024,0.66952
1986,Pre-primary Level,Never,0.81733,149,149,0.75508,0.87958
1986,Primary Level,Never,0.93227,723,723,0.91394,0.95060
1986,Lower Secondary Level,At least once per week,0.05241,128,2861,0.04424,0.06058
1986,Lower Secondary Level,At least once per month,0.04457,110,2861,0.03701,0.05213
1986,Lower Secondary Level,Seldom,0.06238,182,2861,0.05351,0.07124
1986,Lower Secondary Level,Never,0.82271,2441,2861,0.80871,0.83670
1986,Upper Secondary Level,At least once per week,0.08772,422,4936,0.07982,0.09561
1986,Upper Secondary Level,At least once per month,0.07142,349,4936,0.06423,0.07860
1986,Upper Secondary Level,Seldom,0.07676,379,4936,0.06934,0.08419
1986,Upper Secondary Level,Never,0.75059,3786,4936,0.73852,0.76266
1986,Post-secondary Non-tertiary Level,Never,0.73512,205,205,0.67456,0.79567
1986,First Stage of Tertiary Education,At least once per week,0.09642,59,572,0.07221,0.12063
1986,First Stage of Tertiary Education,At least once per month,0.09083,57,572,0.06726,0.11440
1986,First Stage of Tertiary Education,Seldom,0.09146,57,572,0.06782,0.11511
1986,First Stage of Tertiary Education,Never,0.70180,399,572,0.66427,0.73932
1986,Second Stage of Tertiary Education,At least once per week,0.12250,94,740,0.09886,0.14614
1986,Second Stage of Tertiary Education,At least once per month,0.09426,74,740,0.07319,0.11533
1986,Second Stage of Tertiary Education,Seldom,0.10837,77,740,0.08596,0.13078
1986,Second Stage of Tertiary Education,Never,0.66308,495,740,0.62900,0.69716
1988,Pre-primary Level,Never,0.73763,119,119,0.65825,0.81701
1988,Primary Level,Never,0.91914,647,647,0.89811,0.94016
1988,Lower Secondary Level,At least once per week,0.06129,158,2686,0.05222,0.07037
1988,Lower Secondary Level,At least once per month,0.04597,111,2686,0.03805,0.05390
1988,Lower Secondary Level,Seldom,0.06798,170,2686,0.05846,0.07750
1988,Lower Secondary Level,Never,0.81076,2247,2686,0.79594,0.82557
1988,Upper Secondary Level,At least once per week,0.09008,414,4678,0.08188,0.09829
1988,Upper Secondary Level,At least once per month,0.07105,333,4678,0.06369,0.07842
1988,Upper Secondary Level,Seldom,0.09467,444,4678,0.08628,0.10306
1988,Upper Secondary Level,Never,0.72856,3487,4678,0.71581,0.74130
1988,Post-secondary Non-tertiary Level,Never,0.73063,199,199,0.66883,0.79242
1988,First Stage of Tertiary Education,At least once per week,0.12065,63,533,0.09298,0.14833
1988,First Stage of Tertiary Education,At least once per month,0.08814,52,533,0.06405,0.11223
1988,First Stage of Tertiary Education,Seldom,0.13316,72,533,0.10429,0.16204
1988,First Stage of Tertiary Education,Never,0.64345,346,533,0.60274,0.68415
1988,Second Stage of Tertiary Education,At least once per week,0.14350,99,696,0.11744,0.16957
1988,Second Stage of Tertiary Education,At least once per month,0.10624,77,696,0.08333,0.12915
1988,Second Stage of Tertiary Education,Seldom,0.12203,84,696,0.09770,0.14637
1988,Second Stage of Tertiary Education,Never,0.61875,436,696,0.58264,0.65486
1990,Pre-primary Level,Never,0.72769,152,152,0.65669,0.79870
1990,Primary Level,Seldom,0.07183,33,624,0.05156,0.09211
