year,age_gr,sampreg,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,West,Often,0.03140,91,2833,0.02498,0.03782
2013,17-29 y.,West,Sometimes,0.09752,289,2833,0.08659,0.10845
2013,17-29 y.,West,Seldom,0.28897,812,2833,0.27227,0.30566
2013,17-29 y.,West,Never,0.57529,1641,2833,0.55709,0.59350
2013,17-29 y.,East,Sometimes,0.14085,97,665,0.11439,0.16731
2013,17-29 y.,East,Seldom,0.31333,208,665,0.27805,0.34861
2013,17-29 y.,East,Never,0.49906,360,665,0.46103,0.53709
2013,30-45 y.,West,Very often,0.00778,66,6290,0.00561,0.00996
2013,30-45 y.,West,Often,0.03984,218,6290,0.03501,0.04468
2013,30-45 y.,West,Sometimes,0.09622,646,6290,0.08893,0.10351
2013,30-45 y.,West,Seldom,0.27303,1657,6290,0.26202,0.28404
2013,30-45 y.,West,Never,0.58312,3703,6290,0.57093,0.59530
2013,30-45 y.,East,Often,0.03619,67,1677,0.02724,0.04513
2013,30-45 y.,East,Sometimes,0.12754,209,1677,0.11157,0.14351
2013,30-45 y.,East,Seldom,0.31801,519,1677,0.29571,0.34030
2013,30-45 y.,East,Never,0.50580,882,1677,0.48187,0.52974
2013,46-65 y.,West,Very often,0.01349,77,6883,0.01076,0.01621
2013,46-65 y.,West,Often,0.04054,249,6883,0.03588,0.04520
2013,46-65 y.,West,Sometimes,0.09770,634,6883,0.09068,0.10471
2013,46-65 y.,West,Seldom,0.28234,1870,6883,0.27170,0.29297
2013,46-65 y.,West,Never,0.56594,4053,6883,0.55423,0.57765
2013,46-65 y.,East,Very often,0.02471,46,2077,0.01803,0.03138
2013,46-65 y.,East,Often,0.05463,104,2077,0.04486,0.06441
2013,46-65 y.,East,Sometimes,0.13726,253,2077,0.12246,0.15206
2013,46-65 y.,East,Seldom,0.30859,622,2077,0.28872,0.32846
2013,46-65 y.,East,Never,0.47482,1052,2077,0.45334,0.49630
2013,66 and older,West,Very often,0.00960,35,3703,0.00646,0.01274
2013,66 and older,West,Often,0.03594,110,3703,0.02995,0.04194
2013,66 and older,West,Sometimes,0.09004,285,3703,0.08082,0.09926
2013,66 and older,West,Seldom,0.26096,905,3703,0.24681,0.27510
2013,66 and older,West,Never,0.60346,2368,3703,0.58770,0.61922
2013,66 and older,East,Often,0.05317,49,1212,0.04053,0.06580
2013,66 and older,East,Sometimes,0.12029,141,1212,0.10196,0.13861
2013,66 and older,East,Seldom,0.29034,344,1212,0.26478,0.31591
2013,66 and older,East,Never,0.53061,678,1212,0.50250,0.55872
2019,17-29 y.,West,Never,0.62335,54,54,0.49289,0.75380
2019,30-45 y.,West,Never,0.36940,36,36,0.20950,0.52930
2020,17-29 y.,West,Sometimes,0.26492,85,302,0.21507,0.31478
2020,17-29 y.,West,Seldom,0.24214,90,302,0.19374,0.29053
2020,17-29 y.,West,Never,0.36499,127,302,0.31060,0.41938
