year,quintil_oecd,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Very often,0.02933,146,5092,0.02470,0.03397
2013,1st Quintile,Often,0.08939,407,5092,0.08155,0.09723
2013,1st Quintile,Sometimes,0.17200,862,5092,0.16164,0.18237
2013,1st Quintile,Seldom,0.26515,1430,5092,0.25302,0.27727
2013,1st Quintile,Never,0.44413,2247,5092,0.43048,0.45778
2013,2nd Quintile,Very often,0.01133,62,5183,0.00845,0.01421
2013,2nd Quintile,Often,0.04212,188,5183,0.03665,0.04759
2013,2nd Quintile,Sometimes,0.11402,570,5183,0.10536,0.12267
2013,2nd Quintile,Seldom,0.28609,1460,5183,0.27378,0.29839
2013,2nd Quintile,Never,0.54644,2903,5183,0.53289,0.56000
2013,3rd Quintile,Very often,0.01032,37,4858,0.00748,0.01316
2013,3rd Quintile,Often,0.03503,145,4858,0.02986,0.04020
2013,3rd Quintile,Sometimes,0.10042,443,4858,0.09197,0.10888
2013,3rd Quintile,Seldom,0.29217,1363,4858,0.27938,0.30496
2013,3rd Quintile,Never,0.56206,2870,4858,0.54810,0.57601
2013,4th Quintile,Often,0.02770,106,4800,0.02305,0.03234
2013,4th Quintile,Sometimes,0.07205,339,4800,0.06473,0.07936
2013,4th Quintile,Seldom,0.28333,1303,4800,0.27058,0.29607
2013,4th Quintile,Never,0.61249,3052,4800,0.59871,0.62628
2013,5th Quintile,Often,0.01544,71,5453,0.01216,0.01871
2013,5th Quintile,Sometimes,0.06844,339,5453,0.06173,0.07514
2013,5th Quintile,Seldom,0.27853,1380,5453,0.26663,0.29043
2013,5th Quintile,Never,0.63402,3663,5453,0.62123,0.64680
2021,1st Quintile,Very often,0.03369,227,4774,0.02857,0.03881
2021,1st Quintile,Often,0.09708,502,4774,0.08868,0.10548
2021,1st Quintile,Sometimes,0.16366,872,4774,0.15317,0.17416
2021,1st Quintile,Seldom,0.29285,1167,4774,0.27994,0.30576
2021,1st Quintile,Never,0.41272,2006,4774,0.39875,0.42669
2021,2nd Quintile,Very often,0.02530,102,3539,0.02012,0.03047
2021,2nd Quintile,Often,0.06700,261,3539,0.05876,0.07524
2021,2nd Quintile,Sometimes,0.13041,470,3539,0.11931,0.14150
2021,2nd Quintile,Seldom,0.33989,1081,3539,0.32428,0.35550
2021,2nd Quintile,Never,0.43740,1625,3539,0.42106,0.45375
2021,3rd Quintile,Very often,0.01118,47,3144,0.00750,0.01485
2021,3rd Quintile,Often,0.05607,178,3144,0.04803,0.06411
2021,3rd Quintile,Sometimes,0.11019,367,3144,0.09925,0.12114
2021,3rd Quintile,Seldom,0.32270,969,3144,0.30635,0.33904
2021,3rd Quintile,Never,0.49986,1583,3144,0.48238,0.51734
2021,4th Quintile,Very often,0.01141,32,3202,0.00773,0.01509
2021,4th Quintile,Often,0.04077,120,3202,0.03392,0.04762
2021,4th Quintile,Sometimes,0.11143,317,3202,0.10053,0.12233
2021,4th Quintile,Seldom,0.30859,947,3202,0.29259,0.32459
2021,4th Quintile,Never,0.52780,1786,3202,0.51051,0.54510
2021,5th Quintile,Very often,0.00570,33,4288,0.00345,0.00795
2021,5th Quintile,Often,0.02739,128,4288,0.02251,0.03228
2021,5th Quintile,Sometimes,0.08935,312,4288,0.08081,0.09789
2021,5th Quintile,Seldom,0.27905,1123,4288,0.26563,0.29248
2021,5th Quintile,Never,0.59850,2692,4288,0.58383,0.61318
2022,1st Quintile,Very often,0.06806,92,1388,0.05480,0.08131
2022,1st Quintile,Often,0.13371,136,1388,0.11580,0.15162
2022,1st Quintile,Sometimes,0.24008,318,1388,0.21760,0.26256
2022,1st Quintile,Seldom,0.15298,190,1388,0.13404,0.17193
2022,1st Quintile,Never,0.40517,652,1388,0.37933,0.43101
2022,2nd Quintile,Sometimes,0.21595,55,227,0.16230,0.26960
2022,2nd Quintile,Seldom,0.20795,39,227,0.15504,0.26086
2022,2nd Quintile,Never,0.41621,133,227,0.35195,0.48048
2022,3rd Quintile,Never,0.40024,41,41,0.24841,0.55208
