year,age_gr,regtyp,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Urban regions,Often,0.03237,75,2306,0.02515,0.03960
2013,17-29 y.,Urban regions,Sometimes,0.09833,244,2306,0.08617,0.11049
2013,17-29 y.,Urban regions,Seldom,0.28774,651,2306,0.26926,0.30622
2013,17-29 y.,Urban regions,Never,0.57559,1336,2306,0.55541,0.59577
2013,17-29 y.,Rural regions,Often,0.03446,45,1221,0.02422,0.04470
2013,17-29 y.,Rural regions,Sometimes,0.11959,142,1221,0.10138,0.13780
2013,17-29 y.,Rural regions,Seldom,0.30481,369,1221,0.27898,0.33064
2013,17-29 y.,Rural regions,Never,0.53296,665,1221,0.50497,0.56096
2013,30-45 y.,Urban regions,Very often,0.00841,55,5140,0.00591,0.01090
2013,30-45 y.,Urban regions,Often,0.03977,192,5140,0.03443,0.04512
2013,30-45 y.,Urban regions,Sometimes,0.10419,528,5140,0.09583,0.11254
2013,30-45 y.,Urban regions,Seldom,0.25933,1318,5140,0.24735,0.27132
2013,30-45 y.,Urban regions,Never,0.58830,3047,5140,0.57485,0.60176
2013,30-45 y.,Rural regions,Very often,0.00917,33,2849,0.00567,0.01267
2013,30-45 y.,Rural regions,Often,0.03783,93,2849,0.03082,0.04483
2013,30-45 y.,Rural regions,Sometimes,0.09701,327,2849,0.08614,0.10788
2013,30-45 y.,Rural regions,Seldom,0.33040,858,2849,0.31313,0.34768
2013,30-45 y.,Rural regions,Never,0.52559,1538,2849,0.50725,0.54393
2013,46-65 y.,Urban regions,Very often,0.01353,66,5544,0.01049,0.01657
2013,46-65 y.,Urban regions,Often,0.04064,207,5544,0.03544,0.04584
2013,46-65 y.,Urban regions,Sometimes,0.10695,543,5544,0.09882,0.11509
2013,46-65 y.,Urban regions,Seldom,0.28200,1520,5544,0.27015,0.29384
2013,46-65 y.,Urban regions,Never,0.55688,3208,5544,0.54380,0.56996
2013,46-65 y.,Rural regions,Very often,0.01961,57,3416,0.01496,0.02426
2013,46-65 y.,Rural regions,Often,0.04815,146,3416,0.04097,0.05533
2013,46-65 y.,Rural regions,Sometimes,0.10413,344,3416,0.09389,0.11438
2013,46-65 y.,Rural regions,Seldom,0.29739,972,3416,0.28206,0.31272
2013,46-65 y.,Rural regions,Never,0.53072,1897,3416,0.51398,0.54746
2013,66 and older,Urban regions,Often,0.03643,93,3133,0.02987,0.04299
2013,66 and older,Urban regions,Sometimes,0.08996,260,3133,0.07994,0.09998
2013,66 and older,Urban regions,Seldom,0.26509,784,3133,0.24963,0.28055
