year,migback,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Further vocational education,1.0,93,93,1.0,1.0
1985,No migration background,Further vocational education,1.0,81,81,1.0,1.0
1986,No migration background,Further vocational education,1.0,90,90,1.0,1.0
1987,No migration background,Further vocational education,1.0,87,87,1.0,1.0
1988,No migration background,Further vocational education,1.0,77,77,1.0,1.0
1989,No migration background,Further vocational education,1.0,61,61,1.0,1.0
1990,No migration background,Vocational Retraining,0.1789838403182569,39,220,0.17821581332618863,0.17975186731032516
1990,No migration background,Further vocational education,0.713797524425954,148,220,0.7128919629650311,0.7147030858868769
1990,No migration background,Further general/political education,0.10721863525578919,33,220,0.10659876411780138,0.107838506393777
1991,No migration background,Further vocational education,1.0,77,77,1.0,1.0
1992,No migration background,Vocational Retraining,0.29432703866895393,116,355,0.2935821546332937,0.2950719227046142
1992,No migration background,Further vocational education,0.5674507889485548,204,355,0.5666410338117278,0.5682605440853818
1992,No migration background,Others,0.1382221723824912,35,355,0.13765806944310155,0.13878627532188087
1993,No migration background,Vocational Retraining,0.3298746242740453,106,301,0.3290406592560963,0.33070858929199426
1993,No migration background,Further vocational education,0.6701253757259547,195,301,0.6692914107080057,0.6709593407439036
1994,No migration background,Vocational Retraining,0.28713916338042966,76,241,0.28631432925475425,0.2879639975061051
1994,No migration background,Further vocational education,0.7128608366195704,165,241,0.7120360024938951,0.7136856707452458
1995,No migration background,Vocational Retraining,0.2952171811511851,63,223,0.2943282603267264,0.29610610197564385
1995,No migration background,Further vocational education,0.7047828188488149,160,223,0.7038938980243562,0.7056717396732736
1996,No migration background,Vocational Retraining,0.3156736255373396,72,214,0.3147267376057055,0.31662051346897363
1996,No migration background,Further vocational education,0.6843263744626603,142,214,0.6833794865310262,0.6852732623942944
1997,No migration background,Vocational Retraining,0.3202794110851722,63,193,0.31932336625649993,0.3212354559138445
1997,No migration background,Further vocational education,0.6797205889148278,130,193,0.6787645440861555,0.6806766337435001
1998,No migration background,Vocational Retraining,0.28666347712702817,56,156,0.2855999378101987,0.2877270164438576
1998,No migration background,Further vocational education,0.7133365228729719,100,156,0.7122729835561424,0.7144000621898013
1999,No migration background,Vocational Retraining,0.20746898058739785,49,203,0.20662228860660722,0.20831567256818848
1999,No migration background,Further vocational education,0.6294276338396992,120,203,0.6284191936544546,0.6304360740249438
1999,No migration background,Others,0.16310338557290285,34,203,0.16233193497721615,0.16387483616858955
2000,No migration background,Vocational Retraining,0.15146234897376415,52,351,0.15071710986338976,0.15220758808413853
2000,No migration background,Further vocational education,0.5379376550172839,200,351,0.5369012631467283,0.5389740468878395
2000,No migration background,Others,0.3105999960089521,99,351,0.30963806461275645,0.31156192740514776
2001,No migration background,Vocational Retraining,0.1462285686207125,54,322,0.14551022183279,0.14694691540863503
2001,No migration background,Further vocational education,0.5811646838591646,183,322,0.5801616433216518,0.5821677243966775
2001,No migration background,Others,0.27260674752012287,85,322,0.27170143158422777,0.273512063456018
2002,No migration background,Vocational Retraining,0.20033241460119117,67,347,0.19954275141280028,0.20112207778958205
2002,No migration background,Further vocational education,0.4828683402520683,164,347,0.4818824547882924,0.48385422571584424
2002,No migration background,Others,0.31679924514674046,116,347,0.3158813823399028,0.3177171079535781
2003,No migration background,Vocational Retraining,0.1819906592158826,54,276,0.18117434696908022,0.18280697146268496
2003,No migration background,Further vocational education,0.5467680288051204,146,276,0.5457148200601832,0.5478212375500576
2003,No migration background,Others,0.2712413119789969,76,276,0.27030067418910275,0.2721819497688911
