year,migback,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Married,0.49868,5446,8668,0.48815,0.50920
1984,No migration background,"Married, living apart",0.00973,94,8668,0.00766,0.01179
1984,No migration background,Single,0.19410,2023,8668,0.18578,0.20243
1984,No migration background,Divorced,0.03712,356,8668,0.03314,0.04110
1984,No migration background,Widowed,0.10191,749,8668,0.09554,0.10828
1984,Direct migration background,Married,0.60910,2487,3367,0.59261,0.62558
1984,Direct migration background,"Married, living apart",0.04330,132,3367,0.03643,0.05018
1984,Direct migration background,Single,0.15141,596,3367,0.13930,0.16352
1984,Direct migration background,Divorced,0.03631,74,3367,0.02999,0.04263
1984,Direct migration background,Widowed,0.04748,78,3367,0.04030,0.05466
1984,Indirect migration background,Married,0.03508,32,120,0.00202,0.06813
1984,Indirect migration background,Single,0.06131,88,120,0.01821,0.10441
1985,No migration background,Married,0.49313,4956,7978,0.48216,0.50410
1985,No migration background,"Married, living apart",0.01037,88,7978,0.00814,0.01259
1985,No migration background,Single,0.20756,1945,7978,0.19866,0.21646
1985,No migration background,Divorced,0.04075,332,7978,0.03641,0.04509
1985,No migration background,Widowed,0.10234,657,7978,0.09569,0.10899
1985,Direct migration background,Married,0.62627,2159,2906,0.60867,0.64386
1985,Direct migration background,"Married, living apart",0.03509,91,2906,0.02840,0.04178
1985,Direct migration background,Single,0.15397,515,2906,0.14085,0.16710
1985,Direct migration background,Divorced,0.04036,74,2906,0.03320,0.04751
1985,Direct migration background,Widowed,0.05459,67,2906,0.04633,0.06285
1985,Indirect migration background,Single,0.08711,106,106,0.03317,0.14105
1986,No migration background,Married,0.48923,4666,7602,0.47799,0.50046
1986,No migration background,"Married, living apart",0.01355,114,7602,0.01095,0.01615
1986,No migration background,Single,0.20979,1914,7602,0.20064,0.21895
1986,No migration background,Divorced,0.04085,317,7602,0.03640,0.04530
1986,No migration background,Widowed,0.10007,591,7602,0.09332,0.10682
1986,Direct migration background,Married,0.62127,2045,2823,0.60337,0.63916
1986,Direct migration background,"Married, living apart",0.04252,117,2823,0.03508,0.04997
1986,Direct migration background,Single,0.15186,526,2823,0.13862,0.16510
1986,Direct migration background,Divorced,0.03879,71,2823,0.03167,0.04592
1986,Direct migration background,Widowed,0.06336,64,2823,0.05437,0.07235
1986,Indirect migration background,Single,0.09003,118,118,0.03816,0.14189
1987,No migration background,Married,0.48925,4551,7466,0.47791,0.50059
1987,No migration background,"Married, living apart",0.01252,107,7466,0.01000,0.01505
1987,No migration background,Single,0.20530,1882,7466,0.19614,0.21446
1987,No migration background,Divorced,0.04391,329,7466,0.03926,0.04856
1987,No migration background,Widowed,0.10089,597,7466,0.09406,0.10772
1987,Direct migration background,Married,0.64304,2041,2813,0.62534,0.66075
1987,Direct migration background,"Married, living apart",0.03621,114,2813,0.02931,0.04312
1987,Direct migration background,Single,0.14424,510,2813,0.13125,0.15722
1987,Direct migration background,Divorced,0.04440,81,2813,0.03679,0.05202
1987,Direct migration background,Widowed,0.06376,67,2813,0.05473,0.07279
1987,Indirect migration background,Married,0.03363,35,164,0.00596,0.06131
1987,Indirect migration background,Single,0.08755,129,164,0.04416,0.13094
1988,No migration background,Married,0.48687,4329,7080,0.47523,0.49852
1988,No migration background,"Married, living apart",0.01707,130,7080,0.01406,0.02009
1988,No migration background,Single,0.20575,1756,7080,0.19634,0.21517
1988,No migration background,Divorced,0.04341,302,7080,0.03867,0.04816
1988,No migration background,Widowed,0.09856,563,7080,0.09162,0.10551
1988,Direct migration background,Married,0.64420,1948,2668,0.62603,0.66237
1988,Direct migration background,"Married, living apart",0.03558,111,2668,0.02855,0.04261
1988,Direct migration background,Single,0.14215,463,2668,0.12889,0.15540
1988,Direct migration background,Divorced,0.05011,78,2668,0.04183,0.05839
1988,Direct migration background,Widowed,0.06315,68,2668,0.05392,0.07239
1988,Indirect migration background,Married,0.03538,41,209,0.01027,0.06049
1988,Indirect migration background,Single,0.11104,168,209,0.06834,0.15374
1989,No migration background,Married,0.48215,4097,6817,0.47029,0.49401
1989,No migration background,"Married, living apart",0.01780,130,6817,0.01466,0.02093
1989,No migration background,Single,0.20667,1719,6817,0.19706,0.21628
1989,No migration background,Divorced,0.04741,315,6817,0.04237,0.05246
1989,No migration background,Widowed,0.09939,556,6817,0.09229,0.10649
1989,Direct migration background,Married,0.65943,1917,2586,0.64116,0.67770
