year,age_gr,sampreg,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Married,0.27373,1114,3430,0.25881,0.28865
1984,17-29 y.,West,"Married, living apart",0.01229,53,3430,0.00861,0.01598
1984,17-29 y.,West,Single,0.69758,2217,3430,0.68221,0.71295
1984,17-29 y.,West,Divorced,0.01544,46,3430,0.01132,0.01957
1984,30-45 y.,West,Married,0.79269,3271,3905,0.77997,0.80540
1984,30-45 y.,West,"Married, living apart",0.02380,95,3905,0.01902,0.02859
1984,30-45 y.,West,Single,0.10386,296,3905,0.09429,0.11343
1984,30-45 y.,West,Divorced,0.06436,194,3905,0.05666,0.07205
1984,30-45 y.,West,Widowed,0.01530,49,3905,0.01145,0.01915
1984,46-65 y.,West,Married,0.78949,2945,3555,0.77609,0.80289
1984,46-65 y.,West,"Married, living apart",0.01554,72,3555,0.01147,0.01960
1984,46-65 y.,West,Single,0.04482,124,3555,0.03802,0.05162
1984,46-65 y.,West,Divorced,0.05680,156,3555,0.04919,0.06441
1984,46-65 y.,West,Widowed,0.09336,258,3555,0.08379,0.10292
1984,66 and older,West,Married,0.43474,635,1260,0.40736,0.46213
1984,66 and older,West,Single,0.06285,70,1260,0.04945,0.07626
1984,66 and older,West,Divorced,0.03110,38,1260,0.02151,0.04069
1984,66 and older,West,Widowed,0.46596,517,1260,0.43841,0.49352
1985,17-29 y.,West,Married,0.24822,935,3133,0.23309,0.26335
1985,17-29 y.,West,"Married, living apart",0.01041,34,3133,0.00685,0.01396
1985,17-29 y.,West,Single,0.72347,2123,3133,0.70781,0.73914
1985,17-29 y.,West,Divorced,0.01610,41,3133,0.01169,0.02051
1985,30-45 y.,West,Married,0.78478,2912,3475,0.77112,0.79845
1985,30-45 y.,West,"Married, living apart",0.01954,72,3475,0.01494,0.02415
1985,30-45 y.,West,Single,0.11286,269,3475,0.10234,0.12338
1985,30-45 y.,West,Divorced,0.06970,181,3475,0.06123,0.07816
1985,30-45 y.,West,Widowed,0.01312,41,3475,0.00933,0.01690
1985,46-65 y.,West,Married,0.78170,2743,3304,0.76761,0.79579
1985,46-65 y.,West,"Married, living apart",0.01888,67,3304,0.01424,0.02352
1985,46-65 y.,West,Single,0.04791,114,3304,0.04062,0.05519
1985,46-65 y.,West,Divorced,0.06041,150,3304,0.05228,0.06853
1985,46-65 y.,West,Widowed,0.09110,230,3304,0.08129,0.10092
1985,66 and older,West,Married,0.42995,553,1099,0.40066,0.45923
1985,66 and older,West,Single,0.05976,60,1099,0.04573,0.07378
1985,66 and older,West,Divorced,0.03780,38,1099,0.02652,0.04908
