year,quintil_oecd,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Married,0.50744,1525,2484,0.48777,0.52710
1984,1st Quintile,"Married, living apart",0.01731,47,2484,0.01218,0.02245
1984,1st Quintile,Single,0.23485,581,2484,0.21818,0.25152
1984,1st Quintile,Divorced,0.05877,104,2484,0.04952,0.06802
1984,1st Quintile,Widowed,0.18163,227,2484,0.16646,0.19679
1984,2nd Quintile,Married,0.60217,1596,2370,0.58246,0.62188
1984,2nd Quintile,Single,0.20896,499,2370,0.19259,0.22533
1984,2nd Quintile,Divorced,0.04319,89,2370,0.03500,0.05137
1984,2nd Quintile,Widowed,0.13580,186,2370,0.12201,0.14960
1984,3rd Quintile,Married,0.62748,1592,2354,0.60795,0.64702
1984,3rd Quintile,"Married, living apart",0.01324,41,2354,0.00862,0.01785
1984,3rd Quintile,Single,0.22599,508,2354,0.20909,0.24289
1984,3rd Quintile,Divorced,0.03924,75,2354,0.03140,0.04709
1984,3rd Quintile,Widowed,0.09405,138,2354,0.08226,0.10585
1984,4th Quintile,Married,0.62073,1622,2484,0.60164,0.63981
1984,4th Quintile,"Married, living apart",0.01567,52,2484,0.01079,0.02056
1984,4th Quintile,Single,0.23621,588,2484,0.21950,0.25292
1984,4th Quintile,Divorced,0.03720,76,2484,0.02975,0.04464
1984,4th Quintile,Widowed,0.09019,146,2484,0.07892,0.10146
1984,5th Quintile,Married,0.63997,1626,2418,0.62084,0.65911
1984,5th Quintile,"Married, living apart",0.01837,57,2418,0.01302,0.02373
1984,5th Quintile,Single,0.22159,521,2418,0.20503,0.23814
1984,5th Quintile,Divorced,0.04223,87,2418,0.03421,0.05025
1984,5th Quintile,Widowed,0.07783,127,2418,0.06715,0.08851
1985,1st Quintile,Married,0.47749,1362,2257,0.45688,0.49810
1985,1st Quintile,"Married, living apart",0.01937,41,2257,0.01369,0.02506
1985,1st Quintile,Single,0.25849,558,2257,0.24042,0.27655
1985,1st Quintile,Divorced,0.06923,104,2257,0.05875,0.07970
1985,1st Quintile,Widowed,0.17542,192,2257,0.15972,0.19111
1985,2nd Quintile,Married,0.61763,1474,2135,0.59701,0.63825
1985,2nd Quintile,Single,0.19294,429,2135,0.17620,0.20969
1985,2nd Quintile,Divorced,0.04570,77,2135,0.03684,0.05456
1985,2nd Quintile,Widowed,0.13386,155,2135,0.11942,0.14831
1985,3rd Quintile,Married,0.59428,1427,2207,0.57379,0.61477
1985,3rd Quintile,"Married, living apart",0.01280,34,2207,0.00811,0.01750
1985,3rd Quintile,Single,0.25505,548,2207,0.23686,0.27324
1985,3rd Quintile,Divorced,0.03692,69,2207,0.02905,0.04479
1985,3rd Quintile,Widowed,0.10094,129,2207,0.08837,0.11351
1985,4th Quintile,Married,0.59511,1414,2212,0.57465,0.61557
1985,4th Quintile,"Married, living apart",0.01433,41,2212,0.00937,0.01928
1985,4th Quintile,Single,0.25871,548,2212,0.24046,0.27696
1985,4th Quintile,Divorced,0.04034,77,2212,0.03214,0.04855
1985,4th Quintile,Widowed,0.09151,132,2212,0.07949,0.10353
1985,5th Quintile,Married,0.63564,1464,2182,0.61544,0.65584
1985,5th Quintile,"Married, living apart",0.01733,39,2182,0.01186,0.02281
1985,5th Quintile,Single,0.22234,480,2182,0.20489,0.23979
1985,5th Quintile,Divorced,0.04784,82,2182,0.03889,0.05680
1985,5th Quintile,Widowed,0.07684,117,2182,0.06566,0.08802
1986,1st Quintile,Married,0.48590,1236,2071,0.46437,0.50743
1986,1st Quintile,"Married, living apart",0.02409,51,2071,0.01749,0.03070
1986,1st Quintile,Single,0.24610,505,2071,0.22754,0.26466
1986,1st Quintile,Divorced,0.06152,94,2071,0.05117,0.07187
1986,1st Quintile,Widowed,0.18239,185,2071,0.16575,0.19902
1986,2nd Quintile,Married,0.61885,1426,2092,0.59803,0.63967
1986,2nd Quintile,"Married, living apart",0.01186,32,2092,0.00722,0.01650
1986,2nd Quintile,Single,0.20117,448,2092,0.18399,0.21835
1986,2nd Quintile,Divorced,0.03559,52,2092,0.02765,0.04353
1986,2nd Quintile,Widowed,0.13253,134,2092,0.11800,0.14706
1986,3rd Quintile,Married,0.58494,1320,2098,0.56385,0.60603
