year,migback,sampreg,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Married,0.59258,5446,8668,0.58224,0.60293
1984,No migration background,West,"Married, living apart",0.01156,94,8668,0.00931,0.01381
1984,No migration background,West,Single,0.23066,2023,8668,0.22179,0.23952
1984,No migration background,West,Divorced,0.04411,356,8668,0.03978,0.04843
1984,No migration background,West,Widowed,0.12110,749,8668,0.11423,0.12797
1984,Direct migration background,West,Married,0.68622,2487,3367,0.67055,0.70190
1984,Direct migration background,West,"Married, living apart",0.04879,132,3367,0.04151,0.05607
1984,Direct migration background,West,Single,0.17059,596,3367,0.15788,0.18329
1984,Direct migration background,West,Divorced,0.04091,74,3367,0.03422,0.04760
1984,Direct migration background,West,Widowed,0.05349,78,3367,0.04589,0.06109
1984,Indirect migration background,West,Married,0.29935,32,120,0.21706,0.38164
1984,Indirect migration background,West,Single,0.52320,88,120,0.43346,0.61294
1985,No migration background,West,Married,0.57734,4956,7978,0.56650,0.58818
1985,No migration background,West,"Married, living apart",0.01214,88,7978,0.00974,0.01454
1985,No migration background,West,Single,0.24300,1945,7978,0.23359,0.25241
1985,No migration background,West,Divorced,0.04770,332,7978,0.04303,0.05238
1985,No migration background,West,Widowed,0.11982,657,7978,0.11269,0.12694
1985,Direct migration background,West,Married,0.68799,2159,2906,0.67115,0.70484
1985,Direct migration background,West,"Married, living apart",0.03855,91,2906,0.03155,0.04555
1985,Direct migration background,West,Single,0.16915,515,2906,0.15552,0.18278
1985,Direct migration background,West,Divorced,0.04433,74,2906,0.03685,0.05182
1985,Direct migration background,West,Widowed,0.05997,67,2906,0.05134,0.06860
1985,Indirect migration background,West,Single,0.60371,106,106,0.51015,0.69727
1986,No migration background,West,Married,0.57320,4666,7602,0.56208,0.58432
1986,No migration background,West,"Married, living apart",0.01588,114,7602,0.01307,0.01869
1986,No migration background,West,Single,0.24581,1914,7602,0.23613,0.25549
1986,No migration background,West,Divorced,0.04786,317,7602,0.04307,0.05266
1986,No migration background,West,Widowed,0.11725,591,7602,0.11002,0.12448
1986,Direct migration background,West,Married,0.67691,2045,2823,0.65965,0.69416
1986,Direct migration background,West,"Married, living apart",0.04633,117,2823,0.03858,0.05409
1986,Direct migration background,West,Single,0.16546,526,2823,0.15175,0.17917
1986,Direct migration background,West,Divorced,0.04227,71,2823,0.03484,0.04969
1986,Direct migration background,West,Widowed,0.06904,64,2823,0.05968,0.07839
1986,Indirect migration background,West,Single,0.61407,118,118,0.52586,0.70229
1987,No migration background,West,Married,0.57432,4551,7466,0.56311,0.58554
1987,No migration background,West,"Married, living apart",0.01470,107,7466,0.01197,0.01743
1987,No migration background,West,Single,0.24100,1882,7466,0.23130,0.25070
1987,No migration background,West,Divorced,0.05154,329,7466,0.04653,0.05656
1987,No migration background,West,Widowed,0.11843,597,7466,0.11110,0.12576
1987,Direct migration background,West,Married,0.69021,2041,2813,0.67312,0.70730
1987,Direct migration background,West,"Married, living apart",0.03887,114,2813,0.03172,0.04601
