"plb0219","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","Staedtischer Raum","Westdeutschland","4183","0.635915541808281","0.624236914998711","0.647594168617851"
"Nein, nie","2005","Staedtischer Raum","Ostdeutschland","493","0.55508599112731","0.521736305129745","0.588435677124875"
"Nein, nie","2005","Laendlicher Raum","Westdeutschland","1215","","",""
"Nein, nie","2005","Laendlicher Raum","Ostdeutschland","911","0.573199824740589","0.548544617052902","0.597855032428275"
"Ja, jede Woche","2005","Staedtischer Raum","Westdeutschland","369","0.0535900140354806","0.0481239768315187","0.0590560512394424"
"Ja, jede Woche","2005","Staedtischer Raum","Ostdeutschland","42","0.0396895555856625","0.0265881612185121","0.0527909499528129"
"Ja, jede Woche","2005","Laendlicher Raum","Westdeutschland","138","","",""
"Ja, jede Woche","2005","Laendlicher Raum","Ostdeutschland","92","0.0642250710284614","0.0520047857184826","0.0764453563384403"
"Ja, alle 2 Wochen","2005","Staedtischer Raum","Westdeutschland","507","0.0855653975024993","0.0787762318902902","0.0923545631147083"
"Ja, alle 2 Wochen","2005","Staedtischer Raum","Ostdeutschland","90","0.134950404152061","0.112021612184275","0.157879196119848"
"Ja, alle 2 Wochen","2005","Laendlicher Raum","Westdeutschland","144","","",""
"Ja, alle 2 Wochen","2005","Laendlicher Raum","Ostdeutschland","173","","",""
"Ja, alle 3-4 Wochen","2005","Staedtischer Raum","Westdeutschland","323","0.0528821116671839","0.0474502662128705","0.0583139571214972"
"Ja, alle 3-4 Wochen","2005","Staedtischer Raum","Ostdeutschland","46","0.0586079224635374","0.0428449902342147","0.0743708546928602"
"Ja, alle 3-4 Wochen","2005","Laendlicher Raum","Westdeutschland","114","","",""
"Ja, alle 3-4 Wochen","2005","Laendlicher Raum","Ostdeutschland","87","0.0627807278240684","0.0506893128977771","0.0748721427503596"
"Seltener","2005","Staedtischer Raum","Westdeutschland","1139","","",""
"Seltener","2005","Staedtischer Raum","Ostdeutschland","182","","",""
"Seltener","2005","Laendlicher Raum","Westdeutschland","367","0.177223028880727","0.160394889960423","0.194051167801031"
"Seltener","2005","Laendlicher Raum","Ostdeutschland","283","","",""
"Nein, nie","2006","Staedtischer Raum","Westdeutschland","","","",""
"Nein, nie","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Nein, nie","2006","Laendlicher Raum","Westdeutschland","","","",""
"Nein, nie","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Staedtischer Raum","Westdeutschland","","","",""
"Ja, jede Woche","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Laendlicher Raum","Westdeutschland","","","",""
"Ja, jede Woche","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Seltener","2006","Staedtischer Raum","Westdeutschland","","","",""
"Seltener","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Seltener","2006","Laendlicher Raum","Westdeutschland","","","",""
"Seltener","2006","Laendlicher Raum","Ostdeutschland","","","",""
