"plb0219","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2005","(noch) kein Abschluss","Staedtischer Raum","65","0.741150536827469","0.654871092027578","0.82742998162736"
"Nein, nie","2005","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"Nein, nie","2005","Hauptschule","Staedtischer Raum","1397","0.679025157652795","0.658696589029524","0.699353726276066"
"Nein, nie","2005","Hauptschule","Laendlicher Raum","592","0.644910108251274","0.614154426130778","0.67566579037177"
"Nein, nie","2005","Realschule","Staedtischer Raum","1330","0.641469110903396","0.620602196684641","0.66233602512215"
"Nein, nie","2005","Realschule","Laendlicher Raum","852","0.582991053739016","0.557245856361236","0.608736251116796"
"Nein, nie","2005","(Fach-)Abitur","Staedtischer Raum","693","0.649124217717041","0.620407751065836","0.677840684368246"
"Nein, nie","2005","(Fach-)Abitur","Laendlicher Raum","194","0.634434298017048","0.580298150463697","0.688570445570398"
"Nein, nie","2005","AkademikerIn","Staedtischer Raum","1096","0.514326067332413","0.492563003507217","0.536089131157609"
"Nein, nie","2005","AkademikerIn","Laendlicher Raum","432","0.514752515351264","0.48016321384127","0.549341816861258"
"Ja, jede Woche","2005","(noch) kein Abschluss","Staedtischer Raum","9","","",""
"Ja, jede Woche","2005","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Ja, jede Woche","2005","Hauptschule","Staedtischer Raum","97","0.0531127341381568","0.043347630928171","0.0628778373481425"
"Ja, jede Woche","2005","Hauptschule","Laendlicher Raum","66","0.0768671472700559","0.0597469366960962","0.0939873578440156"
"Ja, jede Woche","2005","Realschule","Staedtischer Raum","74","0.0351819862666295","0.0271653912098863","0.0431985813233727"
"Ja, jede Woche","2005","Realschule","Laendlicher Raum","72","0.0614257334566349","0.0488884890788713","0.0739629778343985"
"Ja, jede Woche","2005","(Fach-)Abitur","Staedtischer Raum","49","0.0350565733042551","0.02398967150348","0.0461234751050302"
"Ja, jede Woche","2005","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Ja, jede Woche","2005","AkademikerIn","Staedtischer Raum","177","0.0847406205934568","0.0726138186496535","0.09686742253726"
"Ja, jede Woche","2005","AkademikerIn","Laendlicher Raum","74","0.100030334394907","0.0792649151924966","0.120795753597317"
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","Staedtischer Raum","7","","",""
"Ja, alle 2 Wochen","2005","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Ja, alle 2 Wochen","2005","Hauptschule","Staedtischer Raum","163","0.0836486702687504","0.0715930683631211","0.0957042721743797"
"Ja, alle 2 Wochen","2005","Hauptschule","Laendlicher Raum","81","0.0839129094694357","0.0660936608199031","0.101732158118968"
"Ja, alle 2 Wochen","2005","Realschule","Staedtischer Raum","196","0.107366125079528","0.0938958213228666","0.12083642883619"
"Ja, alle 2 Wochen","2005","Realschule","Laendlicher Raum","145","0.107324023206625","0.0911622878729224","0.123485758540328"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","Staedtischer Raum","82","0.0983394185660758","0.0804219868093162","0.116256850322835"
"Ja, alle 2 Wochen","2005","(Fach-)Abitur","Laendlicher Raum","23","","",""
"Ja, alle 2 Wochen","2005","AkademikerIn","Staedtischer Raum","133","0.0682647298228358","0.0572829476213133","0.0792465120243584"
"Ja, alle 2 Wochen","2005","AkademikerIn","Laendlicher Raum","64","0.0974474804820668","0.0769225140386598","0.117972446925474"
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","Staedtischer Raum","6","","",""
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","Staedtischer Raum","84","0.0439611234359161","0.0350342261420792","0.0528880207297531"
"Ja, alle 3-4 Wochen","2005","Hauptschule","Laendlicher Raum","52","0.0602024700337606","0.0449151653467691","0.0754897747207521"
"Ja, alle 3-4 Wochen","2005","Realschule","Staedtischer Raum","99","0.0550916409856944","0.0451640296262649","0.0650192523451238"
"Ja, alle 3-4 Wochen","2005","Realschule","Laendlicher Raum","76","0.0602424194483856","0.0478186976979503","0.0726661411988209"
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","Staedtischer Raum","57","0.0547518486491673","0.0410631327183676","0.068440564579967"
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","Laendlicher Raum","17","","",""
"Ja, alle 3-4 Wochen","2005","AkademikerIn","Staedtischer Raum","114","0.0603386819883834","0.0499702769420493","0.0707070870347175"
"Ja, alle 3-4 Wochen","2005","AkademikerIn","Laendlicher Raum","53","0.0685484248816911","0.0510604392585281","0.086036410504854"
"Seltener","2005","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Seltener","2005","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Seltener","2005","Hauptschule","Staedtischer Raum","285","0.140252314504382","0.125131718964388","0.155372910044376"
"Seltener","2005","Hauptschule","Laendlicher Raum","139","0.134107364975474","0.112206314089412","0.156008415861536"
"Seltener","2005","Realschule","Staedtischer Raum","330","0.160891136764752","0.144903573288127","0.176878700241378"
"Seltener","2005","Realschule","Laendlicher Raum","264","0.188016770149339","0.167615161230638","0.20841837906804"
"Seltener","2005","(Fach-)Abitur","Staedtischer Raum","180","0.162727941763461","0.140517624424054","0.184938259102867"
"Seltener","2005","(Fach-)Abitur","Laendlicher Raum","58","0.213612289109572","0.167539683391418","0.259684894827725"
"Seltener","2005","AkademikerIn","Staedtischer Raum","506","0.272329900262911","0.252945904821965","0.291713895703858"
"Seltener","2005","AkademikerIn","Laendlicher Raum","179","0.219221244890071","0.19058828660427","0.247854203175873"
"Nein, nie","2006","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein, nie","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein, nie","2006","Hauptschule","Staedtischer Raum","","","",""
"Nein, nie","2006","Hauptschule","Laendlicher Raum","","","",""
"Nein, nie","2006","Realschule","Staedtischer Raum","","","",""
"Nein, nie","2006","Realschule","Laendlicher Raum","","","",""
"Nein, nie","2006","(Fach-)Abitur","Staedtischer Raum","","","",""
