"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Hauptmieter","1985","Staedtischer Raum","Westdeutschland","7450","0.562754759831792","0.553657739887999","0.571851779775584"
"Hauptmieter","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Hauptmieter","1985","Laendlicher Raum","Westdeutschland","1310","0.369901841624906","0.352996838885149","0.386806844364664"
"Hauptmieter","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Untermieter","1985","Staedtischer Raum","Westdeutschland","158","0.0138059371557459","0.0116660486251847","0.015945825686307"
"Untermieter","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Untermieter","1985","Laendlicher Raum","Westdeutschland","","","",""
"Untermieter","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Eigentuemer","1985","Staedtischer Raum","Westdeutschland","3814","0.423439303012462","0.414377906952041","0.432500699072884"
"Eigentuemer","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Eigentuemer","1985","Laendlicher Raum","Westdeutschland","1795","0.621005605175194","0.604018004359999","0.63799320599039"
"Eigentuemer","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1985","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1985","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1985","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1985","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1986","Staedtischer Raum","Westdeutschland","6950","0.563331674168383","0.554013481040077","0.572649867296688"
"Hauptmieter","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Hauptmieter","1986","Laendlicher Raum","Westdeutschland","1197","0.368346935988462","0.351060410180583","0.385633461796341"
"Hauptmieter","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Untermieter","1986","Staedtischer Raum","Westdeutschland","176","0.0166843738676763","0.0142779329507622","0.0190908147845905"
"Untermieter","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Untermieter","1986","Laendlicher Raum","Westdeutschland","57","0.0134953502913458","0.00936029297542238","0.0176304076072692"
"Untermieter","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Eigentuemer","1986","Staedtischer Raum","Westdeutschland","3757","0.419983951963941","0.41071116826588","0.429256735662003"
"Eigentuemer","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Eigentuemer","1986","Laendlicher Raum","Westdeutschland","1737","0.618157713720192","0.600746399957335","0.63556902748305"
"Eigentuemer","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1986","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1986","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1986","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1986","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1987","Staedtischer Raum","Westdeutschland","6716","0.560852398899596","0.551444583508917","0.570260214290276"
