"hlf0001_h","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1995","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1995","2","2897","0.503433567830088","0.489505038741534","0.517362096918641"
"Hauptmieter","1995","3","1595","0.470922299985301","0.453111033861711","0.48873356610889"
"Hauptmieter","1995","4","847","0.454265378813702","0.431231799155416","0.477298958471988"
"Hauptmieter","1995","5 Einkommensstärkstes Quintil","","","",""
"Untermieter","1995","1 Einkommensschwächstes Quintil","","","",""
"Untermieter","1995","2","111","0.0284140176809843","0.0237853880108566","0.0330426473511121"
"Untermieter","1995","3","53","0.0154651254293594","0.0110620846118294","0.0198681662468894"
"Untermieter","1995","4","41","0.0290842185037448","0.0213103830455086","0.0368580539619809"
"Untermieter","1995","5 Einkommensstärkstes Quintil","","","",""
"Eigentuemer","1995","1 Einkommensschwächstes Quintil","","","",""
"Eigentuemer","1995","2","1942","0.468152414488928","0.454251840896241","0.482052988081615"
"Eigentuemer","1995","3","1369","0.51361257458534","0.495777725895384","0.531447423275296"
"Eigentuemer","1995","4","907","0.516650402682553","0.493532686305328","0.539768119059779"
"Eigentuemer","1995","5 Einkommensstärkstes Quintil","","","",""
"Altersheim/Seniorenwohnheim","1995","1 Einkommensschwächstes Quintil","","","",""
"Altersheim/Seniorenwohnheim","1995","2","","","",""
"Altersheim/Seniorenwohnheim","1995","3","","","",""
"Altersheim/Seniorenwohnheim","1995","4","","","",""
"Altersheim/Seniorenwohnheim","1995","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1996","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1996","2","2900","0.522378444576564","0.508443825575884","0.536313063577244"
"Hauptmieter","1996","3","1619","0.465807518810998","0.448404214011132","0.483210823610864"
"Hauptmieter","1996","4","850","0.411406482173495","0.38928570733808","0.43352725700891"
"Hauptmieter","1996","5 Einkommensstärkstes Quintil","","","",""
"Untermieter","1996","1 Einkommensschwächstes Quintil","","","",""
"Untermieter","1996","2","114","0.0250282261845978","0.0206703832592287","0.029386069109967"
"Untermieter","1996","3","49","0.0134356301866418","0.00941891232218847","0.0174523480510952"
"Untermieter","1996","4","49","0.0246416059463384","0.0176725548344177","0.031610657058259"
"Untermieter","1996","5 Einkommensstärkstes Quintil","","","",""
"Eigentuemer","1996","1 Einkommensschwächstes Quintil","","","",""
"Eigentuemer","1996","2","1922","0.452593329238838","0.438707569946663","0.466479088531014"
"Eigentuemer","1996","3","1488","0.52075685100236","0.503327747602047","0.538185954402673"
"Eigentuemer","1996","4","1002","0.563951911880167","0.541660105483853","0.586243718276481"
"Eigentuemer","1996","5 Einkommensstärkstes Quintil","","","",""
"Altersheim/Seniorenwohnheim","1996","1 Einkommensschwächstes Quintil","","","",""
"Altersheim/Seniorenwohnheim","1996","2","","","",""
"Altersheim/Seniorenwohnheim","1996","3","","","",""
"Altersheim/Seniorenwohnheim","1996","4","","","",""
"Altersheim/Seniorenwohnheim","1996","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1997","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1997","2","2725","0.514548511127765","0.500449276971096","0.528647745284434"
"Hauptmieter","1997","3","1711","0.476703339783077","0.459639285316145","0.493767394250008"
"Hauptmieter","1997","4","886","0.422527247037689","0.400518226525269","0.444536267550109"
"Hauptmieter","1997","5 Einkommensstärkstes Quintil","","","",""
"Untermieter","1997","1 Einkommensschwächstes Quintil","","","",""
"Untermieter","1997","2","115","0.0239338961230599","0.0196221244195077","0.0282456678266121"
"Untermieter","1997","3","58","0.018129727783909","0.0135713864019802","0.0226880691658378"
"Untermieter","1997","4","25","","",""
"Untermieter","1997","5 Einkommensstärkstes Quintil","","","",""
"Eigentuemer","1997","1 Einkommensschwächstes Quintil","","","",""
"Eigentuemer","1997","2","1987","0.461517592749175","0.447454225064384","0.475580960433967"
"Eigentuemer","1997","3","1522","0.505166932433014","0.488085237394678","0.522248627471351"
"Eigentuemer","1997","4","1024","0.566068888773906","0.543986164801467","0.588151612746345"
"Eigentuemer","1997","5 Einkommensstärkstes Quintil","","","",""
"Altersheim/Seniorenwohnheim","1997","1 Einkommensschwächstes Quintil","","","",""
"Altersheim/Seniorenwohnheim","1997","2","","","",""
"Altersheim/Seniorenwohnheim","1997","3","","","",""
"Altersheim/Seniorenwohnheim","1997","4","","","",""
"Altersheim/Seniorenwohnheim","1997","5 Einkommensstärkstes Quintil","","","",""
"Hauptmieter","1998","1 Einkommensschwächstes Quintil","","","",""
"Hauptmieter","1998","2","2748","0.505340175886729","0.491716945167092","0.518963406606367"
"Hauptmieter","1998","3","1754","0.466727967232085","0.450424341811545","0.483031592652625"
"Hauptmieter","1998","4","1051","0.414858149385672","0.395076319484855","0.434639979286489"
"Hauptmieter","1998","5 Einkommensstärkstes Quintil","","","",""
"Untermieter","1998","1 Einkommensschwächstes Quintil","","","",""
"Untermieter","1998","2","148","0.0348592708274009","0.0298613502578502","0.0398571913969517"
"Untermieter","1998","3","87","0.0208797715177576","0.0162071699037152","0.0255523731318001"
"Untermieter","1998","4","42","0.0169425914042786","0.0117609729741981","0.022124209834359"
"Untermieter","1998","5 Einkommensstärkstes Quintil","","","",""
"Eigentuemer","1998","1 Einkommensschwächstes Quintil","","","",""
"Eigentuemer","1998","2","2278","0.45980055328587","0.446220649557872","0.473380457013867"
"Eigentuemer","1998","3","1756","0.512392261250158","0.496057437688258","0.528727084812057"
"Eigentuemer","1998","4","1290","0.568199259210049","0.548311855360042","0.588086663060056"
