"hlf0001_h","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1995","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Hauptmieter","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Hauptmieter","1995","2","Westdeutschland","1981","","",""
"Hauptmieter","1995","2","Ostdeutschland","916","0.61285114558259","0.588443894660763","0.637258396504417"
"Hauptmieter","1995","3","Westdeutschland","1161","","",""
"Hauptmieter","1995","3","Ostdeutschland","434","0.621558858010497","0.585501326564043","0.657616389456952"
"Hauptmieter","1995","4","Westdeutschland","679","0.433497831499169","0.408787526716772","0.458208136281566"
"Hauptmieter","1995","4","Ostdeutschland","168","","",""
"Hauptmieter","1995","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Hauptmieter","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Untermieter","1995","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Untermieter","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Untermieter","1995","2","Westdeutschland","70","0.0292828591603581","0.0236323429320476","0.0349333753886686"
"Untermieter","1995","2","Ostdeutschland","41","0.0253083970890382","0.0174385135086616","0.0331782806694147"
"Untermieter","1995","3","Westdeutschland","39","0.0148156434667233","0.0099016339177861","0.0197296530156605"
"Untermieter","1995","3","Ostdeutschland","14","","",""
"Untermieter","1995","4","Westdeutschland","31","0.0290519242883979","0.0206772234196787","0.0374266251571171"
"Untermieter","1995","4","Ostdeutschland","10","","",""
"Untermieter","1995","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Untermieter","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Eigentuemer","1995","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Eigentuemer","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Eigentuemer","1995","2","Westdeutschland","1369","","",""
"Eigentuemer","1995","2","Ostdeutschland","573","0.361840457328372","0.337762171180133","0.38591874347661"
"Eigentuemer","1995","3","Westdeutschland","1122","","",""
"Eigentuemer","1995","3","Ostdeutschland","247","","",""
