"hlf0001_h","year","hhtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1984","1-Pers.- Haushalt","Westdeutschland","973","0.737397237483663","0.713365201927958","0.761429273039368"
"Hauptmieter","1984","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1652","","",""
"Hauptmieter","1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Hauptmieter","1984","Alleinerziehende","Westdeutschland","606","0.656772612902518","0.624433253937133","0.689111971867904"
"Hauptmieter","1984","Alleinerziehende","Ostdeutschland","","","",""
"Hauptmieter","1984","Paar mit Kind(ern)","Westdeutschland","6259","0.455365602905023","0.445774143029433","0.464957062780613"
"Hauptmieter","1984","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Hauptmieter","1984","Sonstige","Westdeutschland","516","0.344514651207277","0.315090796141855","0.373938506272699"
"Hauptmieter","1984","Sonstige","Ostdeutschland","","","",""
"Untermieter","1984","1-Pers.- Haushalt","Westdeutschland","55","0.0284244438441957","0.0193488628400146","0.0375000248483767"
"Untermieter","1984","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Untermieter","1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","22","","",""
"Untermieter","1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Untermieter","1984","Alleinerziehende","Westdeutschland","8","0.013234808053824","0.00545088280110105","0.021018733306547"
"Untermieter","1984","Alleinerziehende","Ostdeutschland","","","",""
"Untermieter","1984","Paar mit Kind(ern)","Westdeutschland","81","0.00627813078581112","0.0047568840012514","0.00779937757037084"
"Untermieter","1984","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Untermieter","1984","Sonstige","Westdeutschland","2","","",""
"Untermieter","1984","Sonstige","Ostdeutschland","","","",""
"Eigentuemer","1984","1-Pers.- Haushalt","Westdeutschland","256","","",""
"Eigentuemer","1984","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1020","","",""
"Eigentuemer","1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
