"plh0036","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","kein Migrationshintergrund","Westdeutschland","4697","0.533523513646423","0.522967593213934","0.544079434078911"
"Grosse Sorgen","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1984","direkter Migrationshintergrund","Westdeutschland","1205","","",""
"Grosse Sorgen","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1984","indirekter Migrationshintergrund","Westdeutschland","68","0.636085742627442","0.55105951692183","0.721111968333053"
"Grosse Sorgen","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Grosse Sorgen","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Einige Sorgen","1984","kein Migrationshintergrund","Westdeutschland","3325","0.393754542994456","0.383416425005622","0.40409266098329"
"Einige Sorgen","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1984","direkter Migrationshintergrund","Westdeutschland","1410","","",""
"Einige Sorgen","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1984","indirekter Migrationshintergrund","Westdeutschland","43","0.32523160966591","0.242443250621576","0.408019968710243"
"Einige Sorgen","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Einige Sorgen","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Keine Sorgen","1984","kein Migrationshintergrund","Westdeutschland","558","0.0727219433591215","0.0672272662504719","0.078216620467771"
"Keine Sorgen","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1984","direkter Migrationshintergrund","Westdeutschland","679","0.160059109463713","0.147537768151145","0.172580450776281"
"Keine Sorgen","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1984","indirekter Migrationshintergrund","Westdeutschland","12","","",""
"Keine Sorgen","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Keine Sorgen","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Grosse Sorgen","1985","kein Migrationshintergrund","Westdeutschland","3849","0.476936075072906","0.46591447663543","0.487957673510382"
"Grosse Sorgen","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1985","direkter Migrationshintergrund","Westdeutschland","1004","","",""
"Grosse Sorgen","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1985","indirekter Migrationshintergrund","Westdeutschland","69","0.548716590494213","0.466287064439782","0.631146116548643"
"Grosse Sorgen","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Grosse Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Einige Sorgen","1985","kein Migrationshintergrund","Westdeutschland","3508","0.448733760564147","0.437758567121091","0.459708954007203"
"Einige Sorgen","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1985","direkter Migrationshintergrund","Westdeutschland","1322","","",""
"Einige Sorgen","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1985","indirekter Migrationshintergrund","Westdeutschland","54","0.405426766300394","0.324098229459469","0.486755303141319"
"Einige Sorgen","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Einige Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Keine Sorgen","1985","kein Migrationshintergrund","Westdeutschland","532","0.0743301643629469","0.0685419085649741","0.0801184201609197"
"Keine Sorgen","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1985","direkter Migrationshintergrund","Westdeutschland","515","0.129106328369876","0.116776165683978","0.141436491055773"
"Keine Sorgen","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1985","indirekter Migrationshintergrund","Westdeutschland","17","","",""
"Keine Sorgen","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Keine Sorgen","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Grosse Sorgen","1986","kein Migrationshintergrund","Westdeutschland","3393","0.438804106303898","0.427584537082563","0.450023675525233"
"Grosse Sorgen","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1986","direkter Migrationshintergrund","Westdeutschland","902","0.346418396735951","0.328724138806436","0.364112654665465"
"Grosse Sorgen","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1986","indirekter Migrationshintergrund","Westdeutschland","72","0.507512710104184","0.428294805524632","0.586730614683735"
"Grosse Sorgen","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Grosse Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Einige Sorgen","1986","kein Migrationshintergrund","Westdeutschland","3470","0.463703228305331","0.452428495730927","0.474977960879735"
"Einige Sorgen","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1986","direkter Migrationshintergrund","Westdeutschland","1373","","",""
"Einige Sorgen","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1986","indirekter Migrationshintergrund","Westdeutschland","59","0.414816589243485","0.336747981075299","0.49288519741167"
"Einige Sorgen","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Einige Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Keine Sorgen","1986","kein Migrationshintergrund","Westdeutschland","652","0.0974926653907711","0.0907861806535793","0.104199150127963"
"Keine Sorgen","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1986","direkter Migrationshintergrund","Westdeutschland","503","0.15699309949887","0.143464967972703","0.170521231025037"
"Keine Sorgen","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1986","indirekter Migrationshintergrund","Westdeutschland","22","","",""
"Keine Sorgen","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Keine Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Grosse Sorgen","1987","kein Migrationshintergrund","Westdeutschland","4493","0.597642546392938","0.586458482990364","0.608826609795511"
"Grosse Sorgen","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1987","direkter Migrationshintergrund","Westdeutschland","1095","","",""
"Grosse Sorgen","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1987","indirekter Migrationshintergrund","Westdeutschland","98","0.687315361450326","0.61843351741891","0.756197205481743"
"Grosse Sorgen","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Grosse Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Einige Sorgen","1987","kein Migrationshintergrund","Westdeutschland","2591","","",""
"Einige Sorgen","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1987","direkter Migrationshintergrund","Westdeutschland","1251","","",""
"Einige Sorgen","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1987","indirekter Migrationshintergrund","Westdeutschland","59","0.2738354951823","0.207577873009775","0.340093117354824"
"Einige Sorgen","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Einige Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Keine Sorgen","1987","kein Migrationshintergrund","Westdeutschland","301","0.0458845097299108","0.0411124445992963","0.0506565748605253"
"Keine Sorgen","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1987","direkter Migrationshintergrund","Westdeutschland","426","0.115026466852029","0.103149227476282","0.126903706227775"
"Keine Sorgen","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1987","indirekter Migrationshintergrund","Westdeutschland","17","","",""
"Keine Sorgen","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Keine Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Grosse Sorgen","1988","kein Migrationshintergrund","Westdeutschland","4088","0.573016018132851","0.561436000152561","0.584596036113142"
"Grosse Sorgen","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1988","direkter Migrationshintergrund","Westdeutschland","1032","","",""
"Grosse Sorgen","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1988","indirekter Migrationshintergrund","Westdeutschland","117","","",""
"Grosse Sorgen","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Grosse Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Einige Sorgen","1988","kein Migrationshintergrund","Westdeutschland","2617","","",""
"Einige Sorgen","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1988","direkter Migrationshintergrund","Westdeutschland","1256","","",""
"Einige Sorgen","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1988","indirekter Migrationshintergrund","Westdeutschland","73","0.277838310861523","0.218782145786152","0.336894475936894"
"Einige Sorgen","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Einige Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Keine Sorgen","1988","kein Migrationshintergrund","Westdeutschland","304","0.0468573503444148","0.0419098267277512","0.0518048739610784"
"Keine Sorgen","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1988","direkter Migrationshintergrund","Westdeutschland","347","0.0945104363381655","0.083340790834035","0.105680081842296"
"Keine Sorgen","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1988","indirekter Migrationshintergrund","Westdeutschland","31","0.0784742772066808","0.0430199419177296","0.113928612495632"
"Keine Sorgen","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Keine Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Grosse Sorgen","1989","kein Migrationshintergrund","Westdeutschland","4376","0.640368961239597","0.628932543460744","0.651805379018449"
"Grosse Sorgen","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1989","direkter Migrationshintergrund","Westdeutschland","1118","","",""
"Grosse Sorgen","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1989","indirekter Migrationshintergrund","Westdeutschland","142","","",""
"Grosse Sorgen","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Grosse Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Grosse Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Einige Sorgen","1989","kein Migrationshintergrund","Westdeutschland","2156","","",""
"Einige Sorgen","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1989","direkter Migrationshintergrund","Westdeutschland","1071","","",""
"Einige Sorgen","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1989","indirekter Migrationshintergrund","Westdeutschland","90","0.30632976682983","0.249862178777849","0.362797354881811"
"Einige Sorgen","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Einige Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Einige Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Keine Sorgen","1989","kein Migrationshintergrund","Westdeutschland","232","","",""
"Keine Sorgen","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1989","direkter Migrationshintergrund","Westdeutschland","358","0.107065360066672","0.0950574356664689","0.119073284466875"
"Keine Sorgen","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1989","indirekter Migrationshintergrund","Westdeutschland","24","","",""
"Keine Sorgen","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Keine Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Keine Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Grosse Sorgen","1990","kein Migrationshintergrund","Westdeutschland","4225","0.632577238605153","0.620936564087399","0.644217913122908"
