year,bula_h,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,No,0.97094,486,486,0.95599,0.98589
2016,Hamburg,No,0.99372,259,259,0.98408,1.00336
2016,Lower Saxony,Yes,0.01840,39,1348,0.01122,0.02558
2016,Lower Saxony,No,0.98160,1309,1348,0.97442,0.98878
2016,Bremen,No,0.99432,103,103,0.97974,1.00890
2016,North Rhine-Westphalia,Yes,0.01351,75,2907,0.00931,0.01771
2016,North Rhine-Westphalia,No,0.98649,2832,2907,0.98229,0.99069
2016,Hesse,No,0.98553,959,959,0.97796,0.99309
2016,"Rhineland-Palatinate, Saarland",No,0.98712,831,831,0.97945,0.99479
2016,Baden-Wuerttemberg,Yes,0.01412,42,1627,0.00839,0.01986
2016,Baden-Wuerttemberg,No,0.98588,1585,1627,0.98014,0.99161
2016,Bavaria,Yes,0.01345,58,2300,0.00875,0.01816
2016,Bavaria,No,0.98655,2242,2300,0.98184,0.99125
2016,Berlin,No,0.99084,597,597,0.98319,0.99849
2016,Brandenburg,No,0.97793,542,542,0.96554,0.99031
2016,Mecklenburg-Western Pomerania,No,0.97433,314,314,0.95681,0.99185
2016,Saxony,Yes,0.04088,36,865,0.02768,0.05409
2016,Saxony,No,0.95912,829,865,0.94591,0.97232
2016,Saxony-Anhalt,No,0.98031,496,496,0.96806,0.99255
2016,Thuringa,No,0.97803,527,527,0.96551,0.99056
2021,Schleswig-Holstein,No,0.97832,416,416,0.96430,0.99233
2021,Hamburg,No,0.96114,261,261,0.93764,0.98463
2021,Lower Saxony,No,0.98404,1039,1039,0.97641,0.99166
2021,North Rhine-Westphalia,Yes,0.01405,51,2283,0.00922,0.01888
2021,North Rhine-Westphalia,No,0.98595,2232,2283,0.98112,0.99078
2021,Hesse,No,0.99538,686,686,0.99030,1.00046
2021,"Rhineland-Palatinate, Saarland",No,0.98448,522,522,0.97387,0.99509
2021,Baden-Wuerttemberg,No,0.98236,1187,1187,0.97486,0.98985
2021,Bavaria,Yes,0.01542,37,1747,0.00964,0.02119
2021,Bavaria,No,0.98458,1710,1747,0.97881,0.99036
2021,Berlin,No,0.99756,549,549,0.99343,1.00169
2021,Brandenburg,No,0.98865,437,437,0.97871,0.99859
2021,Mecklenburg-Western Pomerania,No,0.99890,259,259,0.99486,1.00294
2021,Saxony,Yes,0.02949,31,733,0.01723,0.04174
2021,Saxony,No,0.97051,702,733,0.95826,0.98277
2021,Saxony-Anhalt,No,0.98245,358,358,0.96883,0.99607
2021,Thuringa,No,0.98950,375,375,0.97916,0.99983
