year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,,,,,,,,,,,,
1984,Direct migration background,,,,,,,,,,,,
1984,Indirect migration background,,,,,,,,,,,,
1985,No migration background,,,,,,,,,,,,
1985,Direct migration background,,,,,,,,,,,,
1985,Indirect migration background,,,,,,,,,,,,
1986,No migration background,,,,,,,,,,,,
1986,Direct migration background,,,,,,,,,,,,
1986,Indirect migration background,,,,,,,,,,,,
1987,No migration background,,,,,,,,,,,,
1987,Direct migration background,,,,,,,,,,,,
1987,Indirect migration background,,,,,,,,,,,,
1988,No migration background,,,,,,,,,,,,
1988,Direct migration background,,,,,,,,,,,,
1988,Indirect migration background,,,,,,,,,,,,
1989,No migration background,,,,,,,,,,,,
1989,Direct migration background,,,,,,,,,,,,
1989,Indirect migration background,,,,,,,,,,,,
1990,No migration background,,,,,,,,,,,,
1990,Direct migration background,,,,,,,,,,,,
1990,Indirect migration background,,,,,,,,,,,,
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
1992,No migration background,,,,,,,,,,,,
1992,Direct migration background,,,,,,,,,,,,
1992,Indirect migration background,,,,,,,,,,,,
1993,No migration background,,,,,,,,,,,,
1993,Direct migration background,,,,,,,,,,,,
1993,Indirect migration background,,,,,,,,,,,,
1994,No migration background,,,,,,,,,,,,
1994,Direct migration background,,,,,,,,,,,,
1994,Indirect migration background,,,,,,,,,,,,
1995,No migration background,,,,,,,,,,,,
1995,Direct migration background,,,,,,,,,,,,
1995,Indirect migration background,,,,,,,,,,,,
1996,No migration background,,,,,,,,,,,,
1996,Direct migration background,,,,,,,,,,,,
1996,Indirect migration background,,,,,,,,,,,,
1997,No migration background,,,,,,,,,,,,
1997,Direct migration background,,,,,,,,,,,,
1997,Indirect migration background,,,,,,,,,,,,
1998,No migration background,,,,,,,,,,,,
1998,Direct migration background,,,,,,,,,,,,
1998,Indirect migration background,,,,,,,,,,,,
1999,No migration background,,,,,,,,,,,,
1999,Direct migration background,,,,,,,,,,,,
1999,Indirect migration background,,,,,,,,,,,,
2000,No migration background,,,,,,,,,,,,
2000,Direct migration background,,,,,,,,,,,,
2000,Indirect migration background,,,,,,,,,,,,
2001,No migration background,,,,,,,,,,,,
2001,Direct migration background,,,,,,,,,,,,
2001,Indirect migration background,,,,,,,,,,,,
2002,No migration background,,,,,,,,,,,,
2002,Direct migration background,,,,,,,,,,,,
2002,Indirect migration background,,,,,,,,,,,,
2003,No migration background,,,,,,,,,,,,
2003,Direct migration background,,,,,,,,,,,,
2003,Indirect migration background,,,,,,,,,,,,
2004,No migration background,,,,,,,,,,,,
2004,Direct migration background,,,,,,,,,,,,
2004,Indirect migration background,,,,,,,,,,,,
2005,No migration background,,,,,,,,,,,,
2005,Direct migration background,,,,,,,,,,,,
2005,Indirect migration background,,,,,,,,,,,,
2006,No migration background,,,,,,,,,,,,
2006,Direct migration background,,,,,,,,,,,,
2006,Indirect migration background,,,,,,,,,,,,
2007,No migration background,,,,,,,,,,,,
2007,Direct migration background,,,,,,,,,,,,
2007,Indirect migration background,,,,,,,,,,,,
2008,No migration background,16587,7.066309849697439,7.057406397900899,7.075213301493979,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2008,Direct migration background,1903,7.020068601563356,6.99257100638783,7.047566196738882,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2008,Indirect migration background,764,7.04397848732581,7.002761627388161,7.085195347263459,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,No migration background,15582,7.015009794432193,7.006208627101191,7.0238109617631945,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,Direct migration background,1653,7.024655625641812,6.995885124549701,7.053426126733924,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2009,Indirect migration background,703,7.040937634450101,7.0012221598007605,7.080653109099441,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,No migration background,19858,6.973986147437912,6.965925139079411,6.982047155796413,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,Direct migration background,2937,6.932412216459511,6.909604157493988,6.955220275425034,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2010,Indirect migration background,1100,6.95895333905707,6.923321035501212,6.994585642612927,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,No migration background,23778,6.945720622201308,6.938302461808722,6.953138782593894,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,Direct migration background,3290,6.880345008125779,6.859720678384939,6.90096933786662,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2011,Indirect migration background,1253,6.955478103683647,6.922574760814398,6.9883814465528955,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2012,No migration background,23219,6.958140064335127,6.9505202091328755,6.965759919537378,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2012,Direct migration background,3121,6.902587208276959,6.881084787501728,6.924089629052189,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2012,Indirect migration background,1213,6.875898571844652,6.842857390446063,6.908939753243241,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2013,No migration background,21678,6.913352671356569,6.905529923011434,6.921175419701704,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2013,Direct migration background,2793,6.824544746283002,6.801816164370428,6.847273328195576,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2013,Indirect migration background,1146,6.88781806501734,6.856738920256347,6.918897209778334,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2014,No migration background,,,,,,,,,,,,
2014,Direct migration background,,,,,,,,,,,,
2014,Indirect migration background,,,,,,,,,,,,
2015,No migration background,18998,6.908933668348029,6.900578273152374,6.9172890635436834,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2015,Direct migration background,4401,6.824812466689826,6.806743137002338,6.842881796377314,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2015,Indirect migration background,1556,6.876720947453366,6.847807306443233,6.905634588463499,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2016,No migration background,,,,,,,,,,,,
2016,Direct migration background,,,,,,,,,,,,
2016,Indirect migration background,,,,,,,,,,,,
2017,No migration background,20108,6.856479174379811,6.848247913077771,6.864710435681851,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2017,Direct migration background,4740,6.747219568284931,6.729320019901033,6.76511911666883,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2017,Indirect migration background,1636,6.8588137380941845,6.830574615955743,6.887052860232626,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2018,No migration background,,,,,,,,,,,,
2018,Direct migration background,,,,,,,,,,,,
2018,Indirect migration background,,,,,,,,,,,,
2019,No migration background,20142,6.814719613661758,6.806399938910163,6.823039288413353,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2019,Direct migration background,3956,6.683422921408211,6.663298165062116,6.703547677754306,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2019,Indirect migration background,1573,6.716993115972778,6.689131709622581,6.744854522322974,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0
2020,No migration background,18512,6.913683075362583,6.905150083078088,6.922216067647077,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2020,Direct migration background,8265,6.8043197308740035,6.790935994567143,6.8177034671808645,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2020,Indirect migration background,1531,6.903338009560722,6.874925371647805,6.931750647473638,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2021,No migration background,13183,6.880365919877843,6.870566519217355,6.890165320538331,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2021,Direct migration background,5127,6.774372440273254,6.758469825349024,6.790275055197484,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
2021,Indirect migration background,933,6.8354555133383545,6.793919801753403,6.876991224923306,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0
