"plh0112","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Westdeutschland","34","0.176396469263883","0.119598987160968","0.233193951366798"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"1 Sehr wichtig","1990","Hauptschule","Westdeutschland","400","0.097033115046532","0.0879615475636252","0.106104682529439"
"1 Sehr wichtig","1990","Hauptschule","Ostdeutschland","","","",""
"1 Sehr wichtig","1990","Realschule","Westdeutschland","202","0.134487551185205","0.117352877359367","0.151622225011043"
"1 Sehr wichtig","1990","Realschule","Ostdeutschland","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Westdeutschland","113","0.21032149318423","0.176627931623364","0.244015054745096"
"1 Sehr wichtig","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"1 Sehr wichtig","1990","AkademikerIn","Westdeutschland","123","0.186334953082909","0.156538390494094","0.216131515671724"
"1 Sehr wichtig","1990","AkademikerIn","Ostdeutschland","","","",""
"2 Wichtig","1990","(noch) kein Abschluss","Westdeutschland","75","0.454499214256977","0.380301709882929","0.528696718631024"
"2 Wichtig","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"2 Wichtig","1990","Hauptschule","Westdeutschland","1462","0.35537524895171","0.340706822965528","0.370043674937892"
"2 Wichtig","1990","Hauptschule","Ostdeutschland","","","",""
"2 Wichtig","1990","Realschule","Westdeutschland","616","0.395254802564993","0.370700764137507","0.419808840992479"
"2 Wichtig","1990","Realschule","Ostdeutschland","","","",""
"2 Wichtig","1990","(Fach-)Abitur","Westdeutschland","259","0.452492739771004","0.411341712404414","0.493643767137595"
"2 Wichtig","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"2 Wichtig","1990","AkademikerIn","Westdeutschland","280","0.426902452013661","0.38905167745243","0.464753226574892"
"2 Wichtig","1990","AkademikerIn","Ostdeutschland","","","",""
"3 Weniger wichtig","1990","(noch) kein Abschluss","Westdeutschland","53","0.299580952221883","0.231321765122156","0.36784013932161"
"3 Weniger wichtig","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"3 Weniger wichtig","1990","Hauptschule","Westdeutschland","1666","0.397522463540424","0.382524313153098","0.412520613927751"
"3 Weniger wichtig","1990","Hauptschule","Ostdeutschland","","","",""
"3 Weniger wichtig","1990","Realschule","Westdeutschland","603","0.399188950534701","0.374593411174509","0.423784489894892"
"3 Weniger wichtig","1990","Realschule","Ostdeutschland","","","",""
"3 Weniger wichtig","1990","(Fach-)Abitur","Westdeutschland","163","0.289046345599095","0.251567662703943","0.326525028494246"
"3 Weniger wichtig","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"3 Weniger wichtig","1990","AkademikerIn","Westdeutschland","226","0.346241314442371","0.309833521623549","0.382649107261193"
"3 Weniger wichtig","1990","AkademikerIn","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","(noch) kein Abschluss","Westdeutschland","11","","",""
"4 Ganz unwichtig","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","Hauptschule","Westdeutschland","562","0.150069172461333","0.13912396565886","0.161014379263806"
"4 Ganz unwichtig","1990","Hauptschule","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","Realschule","Westdeutschland","102","0.0710686957151017","0.0581645543774687","0.0839728370527347"
"4 Ganz unwichtig","1990","Realschule","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","(Fach-)Abitur","Westdeutschland","27","","",""
"4 Ganz unwichtig","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","AkademikerIn","Westdeutschland","27","","",""
"4 Ganz unwichtig","1990","AkademikerIn","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","Hauptschule","Westdeutschland","","","",""
"1 Sehr wichtig","1991","Hauptschule","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","Realschule","Westdeutschland","","","",""
"1 Sehr wichtig","1991","Realschule","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","Westdeutschland","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","AkademikerIn","Westdeutschland","","","",""
"1 Sehr wichtig","1991","AkademikerIn","Ostdeutschland","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"2 Wichtig","1991","Hauptschule","Westdeutschland","","","",""
"2 Wichtig","1991","Hauptschule","Ostdeutschland","","","",""
"2 Wichtig","1991","Realschule","Westdeutschland","","","",""
"2 Wichtig","1991","Realschule","Ostdeutschland","","","",""
"2 Wichtig","1991","(Fach-)Abitur","Westdeutschland","","","",""
"2 Wichtig","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"2 Wichtig","1991","AkademikerIn","Westdeutschland","","","",""
"2 Wichtig","1991","AkademikerIn","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","Hauptschule","Westdeutschland","","","",""
"3 Weniger wichtig","1991","Hauptschule","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","Realschule","Westdeutschland","","","",""
"3 Weniger wichtig","1991","Realschule","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","Westdeutschland","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","AkademikerIn","Westdeutschland","","","",""
"3 Weniger wichtig","1991","AkademikerIn","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","Hauptschule","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","Hauptschule","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","Realschule","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","Realschule","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","AkademikerIn","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","AkademikerIn","Ostdeutschland","","","",""
"1 Sehr wichtig","1992","(noch) kein Abschluss","Westdeutschland","33","0.185166209696177","0.126603640374425","0.243728779017929"
"1 Sehr wichtig","1992","(noch) kein Abschluss","Ostdeutschland","15","","",""
"1 Sehr wichtig","1992","Hauptschule","Westdeutschland","378","0.0951205652376137","0.0858796925510745","0.104361437924153"
"1 Sehr wichtig","1992","Hauptschule","Ostdeutschland","152","0.11435105128994","0.0977520625924438","0.130950039987437"
"1 Sehr wichtig","1992","Realschule","Westdeutschland","221","0.149786938062219","0.132009733463242","0.167564142661196"
"1 Sehr wichtig","1992","Realschule","Ostdeutschland","151","0.117460452668387","0.100761204832203","0.134159700504571"
"1 Sehr wichtig","1992","(Fach-)Abitur","Westdeutschland","114","0.207170155216452","0.174215739530009","0.240124570902895"
"1 Sehr wichtig","1992","(Fach-)Abitur","Ostdeutschland","19","","",""
"1 Sehr wichtig","1992","AkademikerIn","Westdeutschland","114","0.179444698669597","0.150895915646941","0.207993481692252"
"1 Sehr wichtig","1992","AkademikerIn","Ostdeutschland","83","0.0935758247613703","0.0747258403657602","0.11242580915698"
"2 Wichtig","1992","(noch) kein Abschluss","Westdeutschland","63","0.363705904140213","0.291177376529844","0.436234431750581"
"2 Wichtig","1992","(noch) kein Abschluss","Ostdeutschland","30","0.415343108827298","0.299903961004939","0.530782256649658"
"2 Wichtig","1992","Hauptschule","Westdeutschland","1353","0.347984858556475","0.332981467432662","0.362988249680289"
"2 Wichtig","1992","Hauptschule","Ostdeutschland","574","0.391338931324873","0.365882645881627","0.416795216768118"
"2 Wichtig","1992","Realschule","Westdeutschland","612","0.393010186735968","0.368679452339223","0.417340921132713"
"2 Wichtig","1992","Realschule","Ostdeutschland","581","0.397941252031258","0.372554163128627","0.42332834093389"
"2 Wichtig","1992","(Fach-)Abitur","Westdeutschland","236","0.405789987930146","0.365861701611342","0.44571827424895"
"2 Wichtig","1992","(Fach-)Abitur","Ostdeutschland","55","0.474849630164673","0.383975767957001","0.565723492372345"
"2 Wichtig","1992","AkademikerIn","Westdeutschland","323","0.463385186728743","0.426285455993061","0.500484917464425"
"2 Wichtig","1992","AkademikerIn","Ostdeutschland","385","0.441116273583087","0.408979616754962","0.473252930411212"
"3 Weniger wichtig","1992","(noch) kein Abschluss","Westdeutschland","56","0.341848052315167","0.27033515411011","0.413360950520225"
"3 Weniger wichtig","1992","(noch) kein Abschluss","Ostdeutschland","18","","",""
"3 Weniger wichtig","1992","Hauptschule","Westdeutschland","1584","0.400059256510936","0.384628161085305","0.415490351936568"
"3 Weniger wichtig","1992","Hauptschule","Ostdeutschland","515","0.344766389881036","0.319975547364387","0.369557232397685"
"3 Weniger wichtig","1992","Realschule","Westdeutschland","598","0.374035305808733","0.349931044256696","0.39813956736077"
"3 Weniger wichtig","1992","Realschule","Ostdeutschland","624","0.435716064551173","0.40999821704995","0.461433912052395"
"3 Weniger wichtig","1992","(Fach-)Abitur","Westdeutschland","195","0.323315691961038","0.285282176507635","0.36134920741444"
"3 Weniger wichtig","1992","(Fach-)Abitur","Ostdeutschland","36","0.31505807899083","0.230522159566596","0.399593998415065"
"3 Weniger wichtig","1992","AkademikerIn","Westdeutschland","219","0.30025956648286","0.26615714110598","0.33436199185974"
"3 Weniger wichtig","1992","AkademikerIn","Ostdeutschland","409","0.419014148485346","0.387079617277873","0.450948679692818"
"4 Ganz unwichtig","1992","(noch) kein Abschluss","Westdeutschland","17","","",""
"4 Ganz unwichtig","1992","(noch) kein Abschluss","Ostdeutschland","7","","",""
