"plh0112","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Schleswig-Holstein","2","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Hamburg","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Niedersachsen","3","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Bremen","1","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Nordrhein-Westfalen","12","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Hessen","3","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","2","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Baden-Wuerttemberg","2","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Bayern","5","0.142309942253777","0.0105300894659398","0.274089795041613"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Saarland","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Berlin","4","0.519047662944781","0.172823210422776","0.865272115466786"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Brandenburg","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Sachsen","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","Thueringen","","","",""
"1 Sehr wichtig","1990","Hauptschule","Schleswig-Holstein","11","","",""
"1 Sehr wichtig","1990","Hauptschule","Hamburg","12","","",""
"1 Sehr wichtig","1990","Hauptschule","Niedersachsen","40","0.0858960995069601","0.0607498393612047","0.111042359652716"
"1 Sehr wichtig","1990","Hauptschule","Bremen","11","","",""
"1 Sehr wichtig","1990","Hauptschule","Nordrhein-Westfalen","109","","",""
"1 Sehr wichtig","1990","Hauptschule","Hessen","41","0.112427603656013","0.079567246075011","0.145287961237014"
"1 Sehr wichtig","1990","Hauptschule","Rheinland-Pfalz,Saarland","32","0.0886893080718807","0.060510113324929","0.116868502818833"
"1 Sehr wichtig","1990","Hauptschule","Baden-Wuerttemberg","70","0.0975009977404488","0.0755103815700991","0.119491613910799"
"1 Sehr wichtig","1990","Hauptschule","Bayern","58","0.0714590930453238","0.0530484718922476","0.0898697141984001"
"1 Sehr wichtig","1990","Hauptschule","Saarland","","","",""
"1 Sehr wichtig","1990","Hauptschule","Berlin","16","","",""
"1 Sehr wichtig","1990","Hauptschule","Brandenburg","","","",""
"1 Sehr wichtig","1990","Hauptschule","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","Hauptschule","Sachsen","","","",""
"1 Sehr wichtig","1990","Hauptschule","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","Hauptschule","Thueringen","","","",""
"1 Sehr wichtig","1990","Realschule","Schleswig-Holstein","7","0.0936575909281384","0.0217134454705751","0.165601736385702"
"1 Sehr wichtig","1990","Realschule","Hamburg","2","","",""
"1 Sehr wichtig","1990","Realschule","Niedersachsen","27","","",""
"1 Sehr wichtig","1990","Realschule","Bremen","4","0.184047485497422","0.0183042431735382","0.349790727821306"
"1 Sehr wichtig","1990","Realschule","Nordrhein-Westfalen","55","0.14779183010796","0.113313283809219","0.182270376406702"
"1 Sehr wichtig","1990","Realschule","Hessen","19","","",""
"1 Sehr wichtig","1990","Realschule","Rheinland-Pfalz,Saarland","9","0.10092295394317","0.0365057485744102","0.16534015931193"
"1 Sehr wichtig","1990","Realschule","Baden-Wuerttemberg","44","0.179044770635446","0.130540159462332","0.22754938180856"
"1 Sehr wichtig","1990","Realschule","Bayern","28","","",""
"1 Sehr wichtig","1990","Realschule","Saarland","","","",""
"1 Sehr wichtig","1990","Realschule","Berlin","7","0.115687185196067","0.032653129770221","0.198721240621912"
"1 Sehr wichtig","1990","Realschule","Brandenburg","","","",""
"1 Sehr wichtig","1990","Realschule","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","Realschule","Sachsen","","","",""
"1 Sehr wichtig","1990","Realschule","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","Realschule","Thueringen","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Schleswig-Holstein","3","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Hamburg","2","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Niedersachsen","13","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Bremen","3","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Nordrhein-Westfalen","36","0.214278130928604","0.155310325632843","0.273245936224364"
"1 Sehr wichtig","1990","(Fach-)Abitur","Hessen","12","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Rheinland-Pfalz,Saarland","6","0.20236682545172","0.0561422544833963","0.348591396420043"
"1 Sehr wichtig","1990","(Fach-)Abitur","Baden-Wuerttemberg","15","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Bayern","21","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Saarland","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Berlin","2","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Brandenburg","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Sachsen","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Thueringen","","","",""
"1 Sehr wichtig","1990","AkademikerIn","Schleswig-Holstein","2","","",""
