"plh0112","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"1 Sehr wichtig","1990","(noch) kein Abschluss","34","0.176396469263883","0.119598987160968","0.233193951366798"
"1 Sehr wichtig","1990","Hauptschule","400","0.097033115046532","0.0879615475636252","0.106104682529439"
"1 Sehr wichtig","1990","Realschule","202","0.134487551185205","0.117352877359367","0.151622225011043"
"1 Sehr wichtig","1990","(Fach-)Abitur","113","0.21032149318423","0.176627931623364","0.244015054745096"
"1 Sehr wichtig","1990","AkademikerIn","123","0.186334953082909","0.156538390494094","0.216131515671724"
"2 Wichtig","1990","(noch) kein Abschluss","75","0.454499214256977","0.380301709882929","0.528696718631024"
"2 Wichtig","1990","Hauptschule","1462","0.35537524895171","0.340706822965528","0.370043674937892"
"2 Wichtig","1990","Realschule","616","0.395254802564993","0.370700764137507","0.419808840992479"
"2 Wichtig","1990","(Fach-)Abitur","259","0.452492739771004","0.411341712404414","0.493643767137595"
"2 Wichtig","1990","AkademikerIn","280","0.426902452013661","0.38905167745243","0.464753226574892"
"3 Weniger wichtig","1990","(noch) kein Abschluss","53","0.299580952221883","0.231321765122156","0.36784013932161"
"3 Weniger wichtig","1990","Hauptschule","1666","0.397522463540424","0.382524313153098","0.412520613927751"
"3 Weniger wichtig","1990","Realschule","603","0.399188950534701","0.374593411174509","0.423784489894892"
"3 Weniger wichtig","1990","(Fach-)Abitur","163","0.289046345599095","0.251567662703943","0.326525028494246"
"3 Weniger wichtig","1990","AkademikerIn","226","0.346241314442371","0.309833521623549","0.382649107261193"
"4 Ganz unwichtig","1990","(noch) kein Abschluss","11","","",""
"4 Ganz unwichtig","1990","Hauptschule","562","0.150069172461333","0.13912396565886","0.161014379263806"
"4 Ganz unwichtig","1990","Realschule","102","0.0710686957151017","0.0581645543774687","0.0839728370527347"
"4 Ganz unwichtig","1990","(Fach-)Abitur","27","","",""
"4 Ganz unwichtig","1990","AkademikerIn","27","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","","","",""
"1 Sehr wichtig","1991","Hauptschule","","","",""
"1 Sehr wichtig","1991","Realschule","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","","","",""
"1 Sehr wichtig","1991","AkademikerIn","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","","","",""
"2 Wichtig","1991","Hauptschule","","","",""
"2 Wichtig","1991","Realschule","","","",""
"2 Wichtig","1991","(Fach-)Abitur","","","",""
"2 Wichtig","1991","AkademikerIn","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","","","",""
"3 Weniger wichtig","1991","Hauptschule","","","",""
"3 Weniger wichtig","1991","Realschule","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","","","",""
"3 Weniger wichtig","1991","AkademikerIn","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","","","",""
"4 Ganz unwichtig","1991","Hauptschule","","","",""
"4 Ganz unwichtig","1991","Realschule","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","","","",""
"4 Ganz unwichtig","1991","AkademikerIn","","","",""
"1 Sehr wichtig","1992","(noch) kein Abschluss","48","0.187975857703908","0.138443996324778","0.237507719083039"
"1 Sehr wichtig","1992","Hauptschule","530","0.0983244888483441","0.0902962058584282","0.10635277183826"
"1 Sehr wichtig","1992","Realschule","372","0.140190021108138","0.127716432434487","0.152663609781789"
"1 Sehr wichtig","1992","(Fach-)Abitur","133","0.202070417314973","0.172260185421074","0.231880649208873"
"1 Sehr wichtig","1992","AkademikerIn","197","0.147828829612957","0.130497043979235","0.165160615246678"
"2 Wichtig","1992","(noch) kein Abschluss","93","0.371856162539596","0.31058358023907","0.433128744840122"
"2 Wichtig","1992","Hauptschule","1927","0.355207928061117","0.342304121135854","0.368111734986379"
"2 Wichtig","1992","Realschule","1193","0.394474095464601","0.376914793975618","0.412033396953584"
"2 Wichtig","1992","(Fach-)Abitur","291","0.411204889610058","0.37467545634188","0.447734322878236"
"2 Wichtig","1992","AkademikerIn","708","0.455186045293638","0.430868546558343","0.479503544028933"
"3 Weniger wichtig","1992","(noch) kein Abschluss","74","0.325661754569443","0.266250131706237","0.385073377432649"
"3 Weniger wichtig","1992","Hauptschule","2099","0.390847106572632","0.377690820966965","0.4040033921783"
"3 Weniger wichtig","1992","Realschule","1222","0.392346765038039","0.374804140319965","0.409889389756113"
