year,bula_h,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Yes,0.93182,511,543,0.91060,0.95304
2015,Schleswig-Holstein,No,0.04965,32,543,0.03136,0.06794
2015,Hamburg,Yes,0.90221,264,264,0.86631,0.93811
2015,Lower Saxony,Yes,0.93433,1397,1489,0.92174,0.94692
2015,Lower Saxony,No,0.05808,92,1489,0.04619,0.06996
2015,Bremen,Yes,0.95349,108,108,0.91358,0.99339
2015,North Rhine-Westphalia,Yes,0.92581,2937,3192,0.91672,0.93490
2015,North Rhine-Westphalia,No,0.06908,255,3192,0.06028,0.07788
2015,Hesse,Yes,0.87686,1015,1125,0.85765,0.89607
2015,Hesse,No,0.12053,110,1125,0.10149,0.13956
2015,"Rhineland-Palatinate, Saarland",Yes,0.89842,832,919,0.87887,0.91796
2015,"Rhineland-Palatinate, Saarland",No,0.09531,87,919,0.07632,0.11431
2015,Baden-Wuerttemberg,Yes,0.86805,1585,1818,0.85249,0.88361
2015,Baden-Wuerttemberg,No,0.12469,233,1818,0.10950,0.13988
2015,Bavaria,Yes,0.87521,2280,2573,0.86243,0.88798
2015,Bavaria,No,0.11439,293,2573,0.10209,0.12669
2015,Berlin,Yes,0.77501,501,644,0.74274,0.80729
2015,Berlin,No,0.21521,143,644,0.18345,0.24698
2015,Brandenburg,Yes,0.88171,542,603,0.85592,0.90751
2015,Brandenburg,No,0.10791,61,603,0.08313,0.13270
2015,Mecklenburg-Western Pomerania,Yes,0.83233,313,348,0.79302,0.87164
2015,Mecklenburg-Western Pomerania,No,0.14408,35,348,0.10713,0.18103
2015,Saxony,Yes,0.83316,789,908,0.80890,0.85743
2015,Saxony,No,0.15187,119,908,0.12851,0.17522
2015,Saxony-Anhalt,Yes,0.89584,487,543,0.87013,0.92156
2015,Saxony-Anhalt,No,0.09579,56,543,0.07101,0.12056
2015,Thuringa,Yes,0.91999,543,579,0.89787,0.94211
2015,Thuringa,No,0.07986,36,579,0.05776,0.10196
2016,Schleswig-Holstein,Yes,0.95538,483,483,0.93695,0.97381
2016,Hamburg,Yes,0.93879,249,249,0.90896,0.96863
2016,Lower Saxony,Yes,0.94738,1286,1345,0.93544,0.95932
2016,Lower Saxony,No,0.04131,59,1345,0.03067,0.05195
2016,Bremen,Yes,0.93288,96,96,0.88257,0.98320
2016,North Rhine-Westphalia,Yes,0.93393,2723,2900,0.92488,0.94297
2016,North Rhine-Westphalia,No,0.05758,177,2900,0.04910,0.06606
2016,Hesse,Yes,0.92121,908,977,0.90431,0.93811
2016,Hesse,No,0.07439,69,977,0.05792,0.09085
2016,"Rhineland-Palatinate, Saarland",Yes,0.91827,781,848,0.89982,0.93672
2016,"Rhineland-Palatinate, Saarland",No,0.07390,67,848,0.05628,0.09152
2016,Baden-Wuerttemberg,Yes,0.90697,1496,1622,0.89283,0.92111
2016,Baden-Wuerttemberg,No,0.08203,126,1622,0.06867,0.09539
2016,Bavaria,Yes,0.90104,2097,2297,0.88883,0.91326
2016,Bavaria,No,0.09185,200,2297,0.08003,0.10366
2016,Berlin,Yes,0.85163,508,610,0.82340,0.87986
2016,Berlin,No,0.14584,102,610,0.11781,0.17387
2016,Brandenburg,Yes,0.90760,522,561,0.88362,0.93159
2016,Brandenburg,No,0.07657,39,561,0.05454,0.09859
2016,Mecklenburg-Western Pomerania,Yes,0.93708,307,307,0.90987,0.96428
2016,Saxony,Yes,0.90451,785,864,0.88491,0.92412
2016,Saxony,No,0.08456,79,864,0.06600,0.10312
2016,Saxony-Anhalt,Yes,0.92713,480,513,0.90461,0.94964
2016,Saxony-Anhalt,No,0.06529,33,513,0.04389,0.08669
2016,Thuringa,Yes,0.92445,511,542,0.90218,0.94672
2016,Thuringa,No,0.06749,31,542,0.04635,0.08863
2017,Schleswig-Holstein,Yes,0.95627,537,537,0.93896,0.97358
2017,Hamburg,Yes,0.90898,275,275,0.87492,0.94304
2017,Lower Saxony,Yes,0.94411,1487,1536,0.93262,0.95560
2017,Lower Saxony,No,0.04548,49,1536,0.03505,0.05590
2017,Bremen,Yes,0.93446,120,120,0.89000,0.97893
2017,North Rhine-Westphalia,Yes,0.94460,3049,3185,0.93665,0.95255
2017,North Rhine-Westphalia,No,0.04623,136,3185,0.03894,0.05353
2017,Hesse,Yes,0.92544,990,1055,0.90958,0.94130
2017,Hesse,No,0.06793,65,1055,0.05273,0.08312
2017,"Rhineland-Palatinate, Saarland",Yes,0.94036,844,879,0.92470,0.95603
2017,"Rhineland-Palatinate, Saarland",No,0.05144,35,879,0.03683,0.06606
2017,Baden-Wuerttemberg,Yes,0.89418,1578,1724,0.87965,0.90870
2017,Baden-Wuerttemberg,No,0.10001,146,1724,0.08584,0.11417
2017,Bavaria,Yes,0.92149,2311,2502,0.91095,0.93203
2017,Bavaria,No,0.07348,191,2502,0.06325,0.08371
2017,Berlin,Yes,0.82165,555,659,0.79240,0.85090
2017,Berlin,No,0.17285,104,659,0.14395,0.20174
2017,Brandenburg,Yes,0.91758,581,617,0.89587,0.93930
2017,Brandenburg,No,0.06560,36,617,0.04605,0.08515
2017,Mecklenburg-Western Pomerania,Yes,0.89577,337,337,0.86310,0.92844
2017,Saxony,Yes,0.89366,907,985,0.87440,0.91292
2017,Saxony,No,0.09513,78,985,0.07680,0.11346
2017,Saxony-Anhalt,Yes,0.92915,541,541,0.90751,0.95079
2017,Thuringa,Yes,0.94329,565,565,0.92420,0.96238
2018,Schleswig-Holstein,Yes,0.95205,528,528,0.93381,0.97029
2018,Hamburg,Yes,0.94101,309,309,0.91470,0.96732
2018,Lower Saxony,Yes,0.96251,1431,1476,0.95282,0.97221
2018,Lower Saxony,No,0.02705,45,1476,0.01877,0.03533
2018,Bremen,Yes,0.94250,128,128,0.90202,0.98299
2018,North Rhine-Westphalia,Yes,0.95168,3038,3178,0.94422,0.95914
2018,North Rhine-Westphalia,No,0.03727,140,3178,0.03068,0.04385
2018,Hesse,Yes,0.92426,958,1005,0.90789,0.94063
2018,Hesse,No,0.06752,47,1005,0.05200,0.08304
2018,"Rhineland-Palatinate, Saarland",Yes,0.94611,846,883,0.93121,0.96101
2018,"Rhineland-Palatinate, Saarland",No,0.04137,37,883,0.02823,0.05452
2018,Baden-Wuerttemberg,Yes,0.93975,1540,1625,0.92818,0.95133
2018,Baden-Wuerttemberg,No,0.05251,85,1625,0.04166,0.06336
2018,Bavaria,Yes,0.92228,2237,2409,0.91158,0.93297
2018,Bavaria,No,0.07302,172,2409,0.06262,0.08341
2018,Berlin,Yes,0.86084,597,692,0.83503,0.88665
2018,Berlin,No,0.13144,95,692,0.10624,0.15663
2018,Brandenburg,Yes,0.90001,600,643,0.87680,0.92321
2018,Brandenburg,No,0.08008,43,643,0.05909,0.10108
2018,Mecklenburg-Western Pomerania,Yes,0.92077,351,351,0.89248,0.94907
2018,Saxony,Yes,0.92350,924,982,0.90686,0.94013
2018,Saxony,No,0.07227,58,982,0.05607,0.08847
2018,Saxony-Anhalt,Yes,0.95363,550,550,0.93604,0.97122
2018,Thuringa,Yes,0.95701,556,556,0.94013,0.97388
2019,Schleswig-Holstein,Yes,0.84240,428,428,0.80784,0.87696
2019,Hamburg,Yes,0.87881,266,266,0.83952,0.91810
2019,Lower Saxony,Yes,0.87365,1188,1221,0.85500,0.89229
2019,Lower Saxony,No,0.02089,33,1221,0.01286,0.02891
2019,Bremen,Yes,0.88975,107,107,0.83013,0.94938
2019,North Rhine-Westphalia,Yes,0.86092,2491,2594,0.84760,0.87424
2019,North Rhine-Westphalia,No,0.03144,103,2594,0.02472,0.03816
2019,Hesse,Yes,0.81113,773,809,0.78414,0.83812
2019,Hesse,No,0.05864,36,809,0.04244,0.07484
2019,"Rhineland-Palatinate, Saarland",Yes,0.86160,692,692,0.83586,0.88735
2019,Baden-Wuerttemberg,Yes,0.84976,1255,1316,0.83045,0.86907
2019,Baden-Wuerttemberg,No,0.04378,61,1316,0.03272,0.05484
2019,Bavaria,Yes,0.81835,1820,1951,0.80124,0.83546
2019,Bavaria,No,0.06564,131,1951,0.05464,0.07663
2019,Berlin,Yes,0.77504,476,557,0.74033,0.80975
2019,Berlin,No,0.13544,81,557,0.10700,0.16388
2019,Brandenburg,Yes,0.80156,523,558,0.76843,0.83468
2019,Brandenburg,No,0.07401,35,558,0.05227,0.09575
2019,Mecklenburg-Western Pomerania,Yes,0.83165,292,292,0.78866,0.87464
2019,Saxony,Yes,0.84472,778,825,0.81999,0.86945
2019,Saxony,No,0.06783,47,825,0.05066,0.08500
2019,Saxony-Anhalt,Yes,0.86195,445,445,0.82986,0.89403
2019,Thuringa,Yes,0.86123,452,452,0.82932,0.89314
2020,Schleswig-Holstein,Yes,0.94878,521,521,0.92983,0.96773
2020,Hamburg,Yes,0.95874,338,338,0.93751,0.97998
2020,Lower Saxony,Yes,0.94494,1393,1482,0.93332,0.95656
2020,Lower Saxony,No,0.04047,89,1482,0.03043,0.05051
2020,Bremen,Yes,0.95201,128,128,0.91484,0.98919
2020,North Rhine-Westphalia,Yes,0.93171,3120,3393,0.92322,0.94020
2020,North Rhine-Westphalia,No,0.05012,273,3393,0.04278,0.05746
2020,Hesse,Yes,0.91460,1032,1116,0.89820,0.93101
2020,Hesse,No,0.07336,84,1116,0.05805,0.08866
2020,"Rhineland-Palatinate, Saarland",Yes,0.95141,816,866,0.93708,0.96574
2020,"Rhineland-Palatinate, Saarland",No,0.03772,50,866,0.02502,0.05041
2020,Baden-Wuerttemberg,Yes,0.92270,1621,1748,0.91018,0.93522
2020,Baden-Wuerttemberg,No,0.06930,127,1748,0.05739,0.08121
2020,Bavaria,Yes,0.91190,2420,2631,0.90106,0.92273
2020,Bavaria,No,0.07956,211,2631,0.06922,0.08990
2020,Berlin,Yes,0.86212,716,861,0.83908,0.88517
2020,Berlin,No,0.12512,145,861,0.10301,0.14723
2020,Brandenburg,Yes,0.94801,639,680,0.93131,0.96471
2020,Brandenburg,No,0.04614,41,680,0.03036,0.06192
2020,Mecklenburg-Western Pomerania,Yes,0.90922,317,317,0.87754,0.94090
2020,Saxony,Yes,0.92385,926,981,0.90724,0.94046
2020,Saxony,No,0.06562,55,981,0.05012,0.08112
2020,Saxony-Anhalt,Yes,0.94437,532,532,0.92488,0.96387
2020,Thuringa,Yes,0.95878,552,552,0.94218,0.97538
2021,Schleswig-Holstein,Yes,0.87072,365,365,0.83625,0.90519
2021,Hamburg,Yes,0.87110,227,227,0.82741,0.91479
2021,Lower Saxony,Yes,0.85703,907,952,0.83478,0.87927
2021,Lower Saxony,No,0.03808,45,952,0.02592,0.05024
2021,Bremen,Yes,0.83416,62,62,0.74082,0.92750
2021,North Rhine-Westphalia,Yes,0.84780,1944,2061,0.83229,0.86331
2021,North Rhine-Westphalia,No,0.03936,117,2061,0.03096,0.04775
2021,Hesse,Yes,0.80522,578,616,0.77392,0.83652
2021,Hesse,No,0.05380,38,616,0.03597,0.07163
2021,"Rhineland-Palatinate, Saarland",Yes,0.86619,464,464,0.83518,0.89721
2021,Baden-Wuerttemberg,Yes,0.79828,984,1053,0.77403,0.82253
2021,Baden-Wuerttemberg,No,0.06185,69,1053,0.04729,0.07640
2021,Bavaria,Yes,0.82725,1467,1582,0.80861,0.84588
2021,Bavaria,No,0.07929,115,1582,0.06597,0.09261
2021,Berlin,Yes,0.77499,438,516,0.73893,0.81106
2021,Berlin,No,0.12699,78,516,0.09824,0.15575
2021,Brandenburg,Yes,0.86704,381,381,0.83290,0.90117
2021,Mecklenburg-Western Pomerania,Yes,0.84711,226,226,0.80008,0.89413
2021,Saxony,Yes,0.84957,646,680,0.82268,0.87646
2021,Saxony,No,0.05356,34,680,0.03663,0.07050
2021,Saxony-Anhalt,Yes,0.82188,312,312,0.77936,0.86441
2021,Thuringa,Yes,0.89184,344,344,0.85897,0.92470
2022,Schleswig-Holstein,Yes,0.94564,615,648,0.92817,0.96311
2022,Schleswig-Holstein,No,0.03942,33,648,0.02443,0.05442
2022,Hamburg,Yes,0.93998,415,415,0.91710,0.96286
2022,Lower Saxony,Yes,0.93704,1552,1636,0.92526,0.94881
2022,Lower Saxony,No,0.05161,84,1636,0.04089,0.06234
2022,Bremen,Yes,0.92505,126,126,0.87888,0.97121
2022,North Rhine-Westphalia,Yes,0.93613,3672,3917,0.92848,0.94379
2022,North Rhine-Westphalia,No,0.04656,245,3917,0.03996,0.05316
2022,Hesse,Yes,0.93973,1177,1253,0.92654,0.95291
2022,Hesse,No,0.04994,76,1253,0.03788,0.06201
2022,"Rhineland-Palatinate, Saarland",Yes,0.93963,834,895,0.92402,0.95525
2022,"Rhineland-Palatinate, Saarland",No,0.04598,61,895,0.03225,0.05971
2022,Baden-Wuerttemberg,Yes,0.92403,2098,2287,0.91317,0.93489
2022,Baden-Wuerttemberg,No,0.06606,189,2287,0.05588,0.07624
2022,Bavaria,Yes,0.89843,2832,3112,0.88782,0.90905
2022,Bavaria,No,0.09086,280,3112,0.08076,0.10096
2022,Berlin,Yes,0.86123,998,1144,0.84119,0.88127
2022,Berlin,No,0.12035,146,1144,0.10149,0.13922
2022,Brandenburg,Yes,0.94584,694,742,0.92955,0.96214
2022,Brandenburg,No,0.04937,48,742,0.03377,0.06497
