year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,67.26556306309847,66.62050925339689,67.91061687280005,44.0,61.0,81.0,0.0,136.5,61.0,61.0,64.0,3184.0
1987,63.812100323833214,63.17306122567463,64.4511394219918,40.0,55.0,76.0,0.0,130.0,55.0,54.0,59.0,3134.0
1988,61.69880243786433,61.035590777831764,62.362014097896896,40.0,51.0,76.0,0.0,130.0,51.0,48.0,51.0,3001.0
1989,60.02791822957228,59.32789497114091,60.72794148800365,38.0,51.0,76.0,0.0,133.0,51.0,51.0,51.0,2918.0
1990,50.119233900797106,49.58991800297073,50.648549798623485,25.0,46.0,66.0,0.0,127.5,46.0,44.0,49.0,4362.0
1991,54.46524444475261,53.97687215670829,54.953616732796924,30.0,51.0,76.0,0.0,145.0,51.0,51.0,51.0,4251.0
1992,65.80420408641723,65.30225836201139,66.30614981082307,40.0,61.0,81.0,5.0,142.5,61.0,61.0,66.0,4100.0
1993,67.16359784539578,66.64563463944616,67.68156105134541,43.0,61.0,83.0,0.0,143.0,61.0,61.0,63.0,4055.0
1994,65.98881126241774,65.48133434738575,66.49628817744973,42.0,61.0,79.0,0.0,134.5,61.0,61.0,65.0,3979.0
1995,66.03015210034324,65.53271650544139,66.5275876952451,41.0,61.0,81.0,0.0,141.0,61.0,61.0,66.0,4128.0
1996,57.969709242115265,57.52478226516303,58.414636219067496,39.0,51.0,75.0,0.0,129.0,51.0,51.0,51.0,4033.0
1997,57.44661662937558,56.98814566460953,57.905087594141634,38.0,51.0,72.0,4.0,123.0,51.0,51.0,51.0,3900.0
1998,55.144085988542955,54.720618347075,55.567553630010906,35.0,51.0,69.0,0.0,120.0,51.0,51.0,51.0,4296.0
1999,54.641574336187,54.221352058094226,55.06179661427977,35.0,51.0,66.0,2.0,112.5,51.0,51.0,51.0,4076.0
2000,56.233447904648806,55.86946454059626,56.59743126870135,35.0,51.0,70.0,1.0,122.5,51.0,51.0,51.0,6769.0
2001,60.24785646481929,59.84781440285281,60.647898526785774,40.0,51.0,76.0,1.0,130.0,51.0,51.0,51.0,6084.0
2002,60.517913013274644,60.1034459138908,60.932380112658485,40.0,50.0,75.0,1.0,127.5,50.0,50.0,50.0,6006.0
2003,64.59954566742773,64.1355094114433,65.06358192341217,40.0,55.0,80.0,6.0,140.0,55.0,53.0,58.0,5790.0
2004,67.38500198666074,66.89396572185356,67.87603825146792,43.0,60.0,80.0,5.0,135.5,60.0,60.0,60.0,5620.0
2005,70.36471484804609,69.85417632838953,70.87525336770265,45.0,60.0,88.0,2.0,152.5,60.0,60.0,60.0,5451.0
2006,77.06753609565109,76.5504870232095,77.58458516809269,50.0,70.0,100.0,1.0,175.0,70.0,70.0,73.0,5885.0
2007,82.67282885345206,82.06578564586646,83.27987206103766,50.0,73.0,100.0,6.0,175.0,73.0,71.0,76.0,5455.0
2008,85.27525365552076,84.59725328768722,85.95325402335429,50.0,75.0,100.0,5.0,175.0,75.0,72.0,78.0,5098.0
2009,87.0664625131484,86.38767882136827,87.74524620492852,50.0,78.0,100.0,5.0,175.0,78.0,76.0,81.0,4784.0
2010,85.76089909608149,85.21925730246734,86.30254088969563,50.0,76.0,100.0,0.0,175.0,76.0,72.0,79.0,7078.0
2011,88.26025011347001,87.75265909657325,88.76784113036676,55.0,80.0,105.0,0.0,180.0,80.0,80.0,81.025,8432.0
2012,89.12916261249426,88.61851149823296,89.63981372675555,54.0,80.0,109.0,2.0,191.5,80.0,80.0,80.0,8267.0
2013,88.89720237120828,88.41836870404343,89.37603603837313,55.0,80.0,105.0,0.0,180.0,80.0,80.0,80.0,9731.0
2014,88.55596067764994,88.03562444623758,89.0762969090623,54.0,80.0,106.0,3.0,184.0,80.0,80.0,80.0,8385.0
2015,77.97960935471777,77.48577773714106,78.47344097229447,49.0,70.0,100.0,0.0,176.5,70.0,67.0,70.0,9045.0
2016,84.48859582908794,83.96529061337583,85.01190104480006,50.0,75.0,100.0,2.0,175.0,75.0,74.0,80.0,7422.0
2017,84.03301627960134,83.55822522894557,84.50780733025711,50.0,76.0,100.0,1.0,175.0,76.0,72.0,77.0,7929.0
2018,84.9665837413423,84.47715024785283,85.45601723483178,52.0,80.0,100.0,1.0,172.0,80.0,80.0,85.0,8009.0
2019,84.90759043270847,84.38665023355328,85.42853063186367,50.0,78.0,100.0,1.0,175.0,78.0,76.0,81.0,7518.0
2020,84.52192384538853,84.09316854558983,84.95067914518722,50.0,75.0,100.0,1.0,175.0,75.0,70.0,78.0,10791.0
2021,90.64057364341674,90.01773330869564,91.26341397813785,55.0,80.0,105.0,-20.0,180.0,80.0,80.0,80.0,6903.0
